"event_pk";"event_pk_depth";"work_area";"site_id";"date";"survey";"line_out_depth";"ctd_depth";"specific_conductance_ysi";"orp_ysi";"dissolved_O2_ysi";"temp_ysi";"ph_ysi";"salinity_ysi";"lat";"long";"nuts_N";"x.no2_no3_um";"sd.no2_no3_um";"x.po4";"sd.po4";"x.sio2";"sd.sio2";"chloro_N";"x.chla";"sd.chla";"x.phaeo";"sd.phaeo";"pom_N";"x.ug_n";"sd.ug_n";"x.ug_c";"sd.ug_c";"x.c_n";"sd.c_n";"do13c_N";"x.c_doc_ppm";"sd.c_doc_ppm";"x.delta_13cvpdb_doc";"sd.delta_13cvpdb_doc";"filename";"ctd_model";"date_time";"ctd_N";"x.conductivity_mS.cm";"sd.conductivity_mS.cm";"x.temp_C";"sd.temp_C";"x.pressure_dbar";"sd.pressure_dbar";"x.PAR";"sd.PAR";"x.chlorophyll_ugL";"sd.chlorophyll_ugL";"x.turbidity_ftu";"sd.turbidity_ftu";"x.o2_mLL";"sd.o2_mLL";"x.salinity_psu";"sd.salinity_psu";"x.depth_m";"sd.depth_m";"site_name";"spatial_id";"seascape";"region";"habitat1";"habitat2";"ns_site_lat";"ns_site_long";"Date";"Year";"Month"
313541;"313541_5";"CALVERT";"KFPC01";2017-07-20;"MACRO_MGEO";5;5;NA;NA;NA;NA;NA;NA;51.9002170000001;-128.4319;1;0.0618112915984474;NA;0.088026872403473;NA;1.18872302398216;NA;1;0.322267258767682;NA;0.319420000567277;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SBE19plus_01907467_2017_07_20_0001";"SBE19plus";2017-07-20 09:39:13;1;37.972626;NA;14.672;NA;5;NA;121.43;NA;0.60254;NA;1.629;NA;6.4158;NA;30.7888;NA;4.957;NA;"Gosling";"nearshore_site";"Goose";"Outer_Coast";"kelp";"reef";"51.900221";"-128.431937";2017-07-20;"2017";7
320784;"320784_0";"CALVERT";"KOEYE KR01";2017-08-08;"FGS_Y";0;0;NA;112.7;9.2;18.1;7.86;NA;51.77597;-127.8086;1;0.954240945838824;NA;0.0290588549330157;NA;1.5816932233391;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2017-08-08;"2017";8
337722;"337722_5";"CALVERT";"MACRO1";2017-08-20;"QCS_V2";5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Triquet_Macro";"nearshore_site";"Triquet";"Outer_Coast";"kelp";"macro";"51.80571667";"-128.2579833";2017-08-20;"2017";8
342082;"342082_0";"CALVERT";"KOEYE KR01";2017-09-20;"FGS_Y";0;0;NA;171;9.83;14;6.28;NA;51.77597;-127.8086;1;1.79342766776437;NA;0.063;NA;1.82571123617464;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2017-09-20;"2017";9
348915;"348915_0";"CALVERT";"KOEYE KR01";2017-10-11;"FGS_Y";0;0;NA;113.9;11.31;11.8;7.26;NA;51.77597;-127.8086;1;2.234;NA;0.072;NA;1.60728349444862;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2017-10-11;"2017";10
360814;"360814_0";"CALVERT";"KOEYE KR01";2017-12-02;"FGS_Y";0;0;NA;186.4;12.56;5.7;5.34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2017-12-02;"2017";12
364829;"364829_0";"CALVERT";"KOEYE KR01";2018-01-11;"FGS_Y";0;0;NA;225.5;13.89;3.6;5.57;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2018-01-11;"2018";1
371377;"371377_0";"CALVERT";"KOEYE KR01";2018-02-26;"FGS_Y";0;0;12;182.3;14.26;2.4;5.02;NA;51.77597;-127.8086;1;2.4627049603271;NA;0.0170799706086258;NA;1.57255734800653;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2018-02-26;"2018";2
373886;"373886_0";"CALVERT";"PPO";2018-03-19;"NEARSHORE;BSEIN";0;0;NA;NA;NA;6.9;8.01;32.59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pruth_Pocket";"nearshore_site";"Kwakshua";"Inner_Calvert";"fish";"seagrass";"51.65768";"-128.11253";2018-03-19;"2018";3
373886;"373886_1";"CALVERT";"PPO";2018-03-19;"NEARSHORE;BSEIN";1;1;NA;NA;NA;6.9;8.01;32.72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pruth_Pocket";"nearshore_site";"Kwakshua";"Inner_Calvert";"fish";"seagrass";"51.65768";"-128.11253";2018-03-19;"2018";3
373886;"373886_10";"CALVERT";"PPO";2018-03-19;"NEARSHORE;BSEIN";10;10;NA;NA;NA;6.7;7.91;33.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pruth_Pocket";"nearshore_site";"Kwakshua";"Inner_Calvert";"fish";"seagrass";"51.65768";"-128.11253";2018-03-19;"2018";3
373886;"373886_5";"CALVERT";"PPO";2018-03-19;"NEARSHORE;BSEIN";5;5;NA;NA;NA;6.9;7.96;32.85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pruth_Pocket";"nearshore_site";"Kwakshua";"Inner_Calvert";"fish";"seagrass";"51.65768";"-128.11253";2018-03-19;"2018";3
374019;"374019_0";"CALVERT";"KOEYE KR01";2018-03-24;"FGS_Y";0;0;NA;174.6;13.51;4;5.23;NA;51.77597;-127.8086;1;2.66744350457404;NA;0.0231047664377736;NA;1.66903815024184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2018-03-24;"2018";3
377543;"377543_0";"CALVERT";"KOEYE KR01";2018-04-14;"FGS_Y";0;0;NA;208.1;14.43;4.8;4.35;NA;51.77597;-127.8086;1;1.51814077010896;NA;0.0310016552403766;NA;0.687360411284096;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2018-04-14;"2018";4
387717;"387717_0";"CALVERT";"KOEYE KR01";2018-05-15;"FGS_Y";0;0;11;243.8;10.17;12.7;5.73;NA;51.77597;-127.8086;1;1.29439172525426;NA;0.0109652632084735;NA;1.31463074106943;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Koeye_Lower";"nearshore_site";"Koeye";"East_Calvert";"fish";"seagrass";"51.77597";"-127.8086";2018-05-15;"2018";5
404756;"404756_1";"CALVERT";"CHP";2018-05-29;"BSEIN";1;1;NA;NA;NA;10.5;7.96;30.78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Choked_Pocket";"nearshore_site";"Choked";"Hakai_Pass";"fish";"seagrass";"51.67636";"-128.12405";2018-05-29;"2018";5
404756;"404756_4";"CALVERT";"CHP";2018-05-29;"BSEIN";4;4;NA;NA;NA;10.5;7.98;30.97;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Choked_Pocket";"nearshore_site";"Choked";"Hakai_Pass";"fish";"seagrass";"51.67636";"-128.12405";2018-05-29;"2018";5
404759;"404759_0";"CALVERT";"PPO";2018-05-29;"BSEIN";0;0;NA;NA;NA;10.8;8.09;30.88;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Pruth_Pocket";"nearshore_site";"Kwakshua";"Inner_Calvert";"fish";"seagrass";"51.65768";"-128.11253";2018-05-29;"2018";5
