"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Accession"
"ASV2","Eukaryota","SAR","Alveolata","Dinoflagellata","Prorocentrales",NA,NA,NA
"ASV4","Eukaryota","SAR","Alveolata","Apicomplexa","Eugregarinorida",NA,NA,NA
"ASV6","Eukaryota","SAR","Alveolata","Ciliophora","Suctoria",NA,NA,NA
"ASV8","Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda",NA,NA,NA
"ASV16","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyceae",NA,NA,NA
"ASV18","Eukaryota","SAR","Alveolata","Dinoflagellata","Gymnodiniphycidae",NA,NA,NA
"ASV19","Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales",NA,NA,NA
"ASV28","Eukaryota","Haptophyta","Prymnesiophyceae","Isochrysidales","Emiliania",NA,NA,NA
"ASV34","Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Monogononta",NA,NA,NA
"ASV35","Eukaryota","SAR","Alveolata","Protalveolata","Perkinsidae",NA,NA,NA
"ASV41","Eukaryota","SAR","Alveolata","Dinoflagellata","Suessiaceae",NA,NA,NA
"ASV46","Eukaryota","SAR","Stramenopiles","Ochrophyta","Coscinodiscophytina",NA,NA,NA
"ASV49","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Chlorodendrales",NA,NA,NA
"ASV53","Eukaryota","SAR","Alveolata","Dinoflagellata","Peridiniales",NA,NA,NA
"ASV56","Eukaryota","SAR","Alveolata","Apicomplexa","Novel_Apicomplexa_Class_1",NA,NA,NA
"ASV61","Eukaryota","SAR","Alveolata","Dinoflagellata","Gymnodinium_clade",NA,NA,NA
"ASV64","Eukaryota","SAR","Alveolata","Ciliophora","Oligotrichia",NA,NA,NA
"ASV73","Eukaryota","SAR","Rhizaria","Cercozoa","Vampyrellidae",NA,NA,NA
"ASV75","Eukaryota","SAR","Alveolata","uncultured","uncultured_marine_picoplankton",NA,NA,NA
"ASV80","Eukaryota","SAR","Stramenopiles","Peronosporomycetes","Olpidiopsis",NA,NA,NA
"ASV99","Eukaryota","SAR","Stramenopiles","Ochrophyta","Fragilariales",NA,NA,NA
"ASV108","Eukaryota","SAR","Rhizaria","Cercozoa","Phytomyxea",NA,NA,NA
"ASV110","Eukaryota","SAR","Alveolata","Dinoflagellata","Gonyaulacales",NA,NA,NA
"ASV111","Eukaryota","SAR","Alveolata","Ciliophora","Heterotrichea",NA,NA,NA
"ASV112","Eukaryota","SAR","Stramenopiles","Ochrophyta","Rhizosolenids",NA,NA,NA
"ASV127","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Chytridiaceae",NA,NA,NA
"ASV130","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Mamiellophyceae",NA,NA,NA
"ASV131","Eukaryota","Cryptophyceae","Cryptomonadales","Teleaulax","uncultured_marine_eukaryote",NA,NA,NA
"ASV137","Eukaryota","SAR","Stramenopiles","Ochrophyta","Laminariales",NA,NA,NA
"ASV140","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Ulotrichales",NA,NA,NA
"ASV147","Eukaryota","SAR","Rhizaria","Cercozoa","Novel_Clade_Gran-1",NA,NA,NA
"ASV152","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Incertae_Sedis",NA,NA,NA
"ASV156","Eukaryota","SAR","Stramenopiles","Ochrophyta","Mediophyceae",NA,NA,NA
"ASV159","Eukaryota","SAR","Rhizaria","Cercozoa","Novel_Clade_2",NA,NA,NA
"ASV160","Eukaryota","SAR","Alveolata","Apicomplexa","Archigregarinorida",NA,NA,NA
"ASV162","Eukaryota","SAR","Alveolata","Ciliophora","Nassophorea",NA,NA,NA
"ASV180","Eukaryota","Opisthokonta","Holozoa","Ichthyosporea","Pseudoperkinsidae",NA,NA,NA
"ASV183","Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesium",NA,NA,NA
