"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Accession"
"ASV2","Eukaryota","SAR","Alveolata","Dinoflagellata","Prorocentrales","Prorocentrum","Prorocentrum_foraminosum","JX912166.1.1789"
"ASV4","Eukaryota","SAR","Alveolata","Apicomplexa","Eugregarinorida","Lecudina","Lecudina_polymorpha_morphotype_2","FJ832158.1.1754"
"ASV6","Eukaryota","SAR","Alveolata","Ciliophora","Suctoria","Ephelota","Ephelota_sp._QD-5","DQ834370.1.1699"
"ASV8","Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Harpacticus_sp._France_RJH_2007","EU380285.1.1786"
"ASV18","Eukaryota","SAR","Alveolata","Dinoflagellata","Gymnodiniphycidae","Amphidinium","Amphidinium_steinii","LC054920.1.1761"
"ASV28","Eukaryota","Haptophyta","Prymnesiophyceae","Isochrysidales","Emiliania","Emiliania_huxleyi","Emiliania_huxleyi","M87327.1.1721"
"ASV33","Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Zaus_unisetosus","KR048737.1.1657"
"ASV34","Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Monogononta","Ploimida","uncultured_metazoan","JN825699.1.1555"
"ASV36","Eukaryota","SAR","Rhizaria","Cercozoa","Phytomyxea","Maullinia","uncultured_eukaryote","AB252759.1.1675"
"ASV41","Eukaryota","SAR","Alveolata","Dinoflagellata","Suessiaceae","Protodinium","Protodinium_simplex","LC189087.1.1751"
"ASV46","Eukaryota","SAR","Stramenopiles","Ochrophyta","Coscinodiscophytina","Fragilariales","Cylindrotheca_closterium","LC054954.1.1856"
"ASV47","Eukaryota","SAR","Alveolata","Dinoflagellata","Prorocentrales","Prorocentrum","Prorocentrum_foraminosum","JX912166.1.1789"
"ASV49","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Chlorodendrales","Tetraselmis","uncultured_marine_eukaryote","EF526921.1.1338"
