SampleID,ZosCIoldC17,ZosPBSoldC17,ZosPBPolEE17,ZosTQNoldB17,ZosTQNoldC17,ZosTQNoldD17,ZosTQSoldB17,ZosTQSoldC17,ZosTQSolEE17
ZosCIoldC17,0,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldC17,9780,0,NA,NA,NA,NA,NA,NA,NA
ZosPBPolEE17,9896,1814,0,NA,NA,NA,NA,NA,NA
ZosTQNoldB17,19207,25249,25352,0,NA,NA,NA,NA,NA
ZosTQNoldC17,19207,25249,25352,0,0,NA,NA,NA,NA
ZosTQNoldD17,19207,25249,25352,0,0,0,NA,NA,NA
ZosTQSoldB17,18181,24133,24271,1182,1182,1182,0,NA,NA
ZosTQSoldC17,18181,24133,24271,1182,1182,1182,0,0,NA
ZosTQSolEE17,18181,24133,24271,1182,1182,1182,0,0,0
