"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Accession"
"ASV2","Eukaryota","SAR","Alveolata","Dinoflagellata","Prorocentrales","Prorocentrum",NA,NA
"ASV4","Eukaryota","SAR","Alveolata","Apicomplexa","Eugregarinorida","Lecudina",NA,NA
"ASV6","Eukaryota","SAR","Alveolata","Ciliophora","Suctoria","Ephelota",NA,NA
"ASV8","Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida",NA,NA
"ASV18","Eukaryota","SAR","Alveolata","Dinoflagellata","Gymnodiniphycidae","Amphidinium",NA,NA
"ASV28","Eukaryota","Haptophyta","Prymnesiophyceae","Isochrysidales","Emiliania","Emiliania_huxleyi",NA,NA
"ASV34","Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Monogononta","Ploimida",NA,NA
"ASV41","Eukaryota","SAR","Alveolata","Dinoflagellata","Suessiaceae","Protodinium",NA,NA
"ASV46","Eukaryota","SAR","Stramenopiles","Ochrophyta","Coscinodiscophytina","Fragilariales",NA,NA
"ASV49","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Chlorodendrales","Tetraselmis",NA,NA
"ASV53","Eukaryota","SAR","Alveolata","Dinoflagellata","Peridiniales","Heterocapsa",NA,NA
"ASV56","Eukaryota","SAR","Alveolata","Apicomplexa","Novel_Apicomplexa_Class_1","uncultured_eukaryote",NA,NA
"ASV58","Eukaryota","SAR","Alveolata","Dinoflagellata","Suessiaceae","Biecheleria",NA,NA
"ASV60","Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Syndiniales_Group_I",NA,NA
"ASV61","Eukaryota","SAR","Alveolata","Dinoflagellata","Gymnodinium_clade","Chytriodinium",NA,NA
"ASV63","Eukaryota","SAR","Alveolata","Dinoflagellata","Suessiaceae","Pelagodinium",NA,NA
"ASV64","Eukaryota","SAR","Alveolata","Ciliophora","Oligotrichia","Strombidium",NA,NA
"ASV65","Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Calanoida",NA,NA
"ASV69","Eukaryota","SAR","Stramenopiles","Ochrophyta","Fragilariales","Striatella",NA,NA
"ASV73","Eukaryota","SAR","Rhizaria","Cercozoa","Vampyrellidae","uncultured",NA,NA
"ASV75","Eukaryota","SAR","Alveolata","uncultured","uncultured_marine_picoplankton","uncultured_marine_picoplankton",NA,NA
"ASV80","Eukaryota","SAR","Stramenopiles","Peronosporomycetes","Olpidiopsis","Olpidiopsis_sp._4439",NA,NA
"ASV82","Eukaryota","SAR","Alveolata","Dinoflagellata","Gymnodiniphycidae","Gyrodinium",NA,NA
"ASV99","Eukaryota","SAR","Stramenopiles","Ochrophyta","Fragilariales","Licmophora",NA,NA
"ASV108","Eukaryota","SAR","Rhizaria","Cercozoa","Phytomyxea","Maullinia",NA,NA
"ASV109","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyceae","Phaeodactylum",NA,NA
"ASV110","Eukaryota","SAR","Alveolata","Dinoflagellata","Gonyaulacales","Alexandrium",NA,NA
"ASV111","Eukaryota","SAR","Alveolata","Ciliophora","Heterotrichea","Eufolliculina",NA,NA
"ASV112","Eukaryota","SAR","Stramenopiles","Ochrophyta","Rhizosolenids","Rhizosolenia",NA,NA
"ASV125","Eukaryota","SAR","Alveolata","Dinoflagellata","Thoracosphaeraceae","Oodinium",NA,NA
"ASV127","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Chytridiaceae","Chytridium",NA,NA
"ASV130","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Mamiellophyceae","uncultured_marine_picoeukaryote",NA,NA
"ASV131","Eukaryota","Cryptophyceae","Cryptomonadales","Teleaulax","uncultured_marine_eukaryote","uncultured_marine_eukaryote",NA,NA
"ASV132","Eukaryota","SAR","Alveolata","Dinoflagellata","Gymnodinium_clade","Pheopolykrikos",NA,NA
"ASV133","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyceae","Cymbella",NA,NA
"ASV137","Eukaryota","SAR","Stramenopiles","Ochrophyta","Laminariales","Lessonia",NA,NA
"ASV140","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Ulotrichales","Halochlorococcum",NA,NA
"ASV147","Eukaryota","SAR","Rhizaria","Cercozoa","Novel_Clade_Gran-1","Uncultured_Cercozoa",NA,NA
"ASV152","Eukaryota","Opisthokonta","Nucletmycea","Fungi","Incertae_Sedis","Rhexocercosporidium",NA,NA
