date,site ,quad_number,sample
27/06/2015,goose_north,1,a
,goose_north,2,f
,goose_north,3,e
,goose_north,4,b
,goose_north,5,d
,goose_north,6,c
,mcmullins_south,1,b
,mcmullins_south,2,d
,mcmullins_south,3,a
,mcmullins_south,4,f
,mcmullins_south,5,e
,mcmullins_south,6,c
,mcmullins_north,1,a
,mcmullins_north,2,c
,mcmullins_north,3,f
,mcmullins_north,4,e
,mcmullins_north,5,d
,mcmullins_north,6,b
30/06/2015,pruth_pocket,1,f
,pruth_pocket,2,e
,pruth_pocket,3,d
,pruth_pocket,4,a
,pruth_pocket,5,c
,pruth_pocket,6,b
,pruth_bay,1,c
,pruth_bay,2,b
,pruth_bay,3,f
,pruth_bay,4,e
,pruth_bay,5,d
,goose_south_east,1,a
,goose_south_east,2,b
,goose_south_east,3,c
,goose_south_east,4,d
,goose_south_east,5,e
,goose_south_east,6,f
,goose_south_west,1,a
,goose_south_west,2,e
,goose_south_west,3,b
,goose_south_west,4,c
,goose_south_west,5,f
,goose_south_west,6,d
,triquet_north,1,e
,triquet_north,2,b
,triquet_north,3,f
,triquet_north,4,c
,triquet_north,5,d
,triquet_north,6,a
,triquet_south,1,b
,triquet_south,2,f
,triquet_south,3,d
,triquet_south,4,a
,triquet_south,5,c
,triquet_south,6,e
,,,
,,,
,choked_wolf,6,a
,choked_wolf,5,d
,choked_wolf,4,c
,choked_wolf,3,b
,choked_wolf,2,e
,choked_wolf,1,f
,choked_sandspit,1,a
,choked_sandspit,2,c
,choked_sandspit,3,f
,choked_sandspit,4,d
,choked_sandspit,5,e
,choked_sandspit,6,b
,,,
,spitfire,1,c
,spitfire,2,e
,spitfire,3,f
,spitfire,4,d
,spitfire,5,a
,spitfire,6,b
,,,
,simmons,1,d
,simmons,2,f
,simmons,3,e
,simmons,4,b
,simmons,5,c
,simmons,6,a
,,,
,serita,1,e
,serita,2,f
,serita,3,b
,serita,4,d
,serita,5,a
,serita,6,c
,,,
,storeys_beach,1,a
,storeys_beach,2,c
,storeys_beach,3,b
,storeys_beach,4,e
,storeys_beach,5,d
,storeys_beach,6,f
,,,
,,,
,dodgers,1,a
,dodgers,2,f
,dodgers,3,c
,dodgers,4,b
,dodgers,5,d
,dodgers,6,e
,,,
,keiths_anchroage_fitz,1,e
,keiths_anchroage_fitz,2,a
,keiths_anchroage_fitz,3,c
,keiths_anchroage_fitz,4,d
,keiths_anchroage_fitz,5,f
,keiths_anchroage_fitz,6,b
,,,
,robbers_passage,1,f
,robbers_passage,2,d
,robbers_passage,3,e
,robbers_passage,4,b
,robbers_passage,5,c
,robbers_passage,6,a
,,,
,,,
,tahsis,1,f
,tahsis,2,a
,tahsis,3,d
,tahsis,4,c
,tahsis,5,b
,tahsis,6,e
,,,
,parksville,1,e
,parksville,2,a
,parksville,3,c
,parksville,4,b
,parksville,5,d
,parksville,6,f
,,,
,san_jospeh_bay,1,a
,san_jospeh_bay,2,b
,san_jospeh_bay,3,c
,san_jospeh_bay,4,d
,san_jospeh_bay,5,e
,san_jospeh_bay,6,f
,,,
,comox,1,e
,comox,2,c
,comox,3,a
,comox,4,f
,comox,5,b
,comox,6,d
,,,
,choked_inner,1,a
,choked_inner,2,b
,choked_inner,3,c
,choked_inner,4,d
,choked_inner,5,e
,choked_inner,6,f
