meadow,sample,Sieve size (mm),heterolaophonte variabillis shape,porcellidium shaped
fitz,d,8,,
fitz,d,5.6,,
fitz,d,4,,
fitz,d,2.8,,
fitz,d,2,,
fitz,d,1.4,,
fitz,d,1,4,
fitz,d,0.71,5,
fitz,d,0.5,,
fitz,f,8,,
fitz,f,5.6,,
fitz,f,4,,
fitz,f,2.8,,
fitz,f,2,,
fitz,f,1.4,31,
fitz,f,1,29,4
fitz,f,0.71,8,1
fitz,f,0.5,,
fitz,c,8,,
fitz,c,5.6,,
fitz,c,4,,
fitz,c,2.8,,
fitz,c,2,,
fitz,c,1.4,13,
fitz,c,1,29,2
fitz,c,0.71,,3
fitz,c,0.5,,
fitz,e,8,,
fitz,e,5.6,,
fitz,e,4,,
fitz,e,2.8,,
fitz,e,2,,
fitz,e,1.4,4,
fitz,e,1,8,8
fitz,e,0.71,1,4
fitz,e,0.5,,
fitz,b,8,,
fitz,b,5.6,,
fitz,b,4,,
fitz,b,2.8,,
fitz,b,2,,
fitz,b,1.4,1,
fitz,b,1,1,1
fitz,b,0.71,,
fitz,b,0.5,,
fitz,a,8,,
fitz,a,5.6,,
fitz,a,4,,
fitz,a,2.8,,
fitz,a,2,,
fitz,a,1.4,10,5
fitz,a,1,4,6
fitz,a,0.71,1,
fitz,a,0.5,,
pruth bay north,e,8,,
pruth bay north,e,5.6,,
pruth bay north,e,4,,
pruth bay north,e,2.8,,
pruth bay north,e,2,,
pruth bay north,e,1.4,5,4
pruth bay north,e,1,6,10
pruth bay north,e,0.71,1,
pruth bay north,e,0.5,,
pruth bay north,f,8,,
pruth bay north,f,5.6,,
pruth bay north,f,4,,
pruth bay north,f,2.8,,
pruth bay north,f,2,,
pruth bay north,f,1.4,,
pruth bay north,f,1,2,4
pruth bay north,f,0.71,1,
pruth bay north,f,0.5,,
pruth bay north,a,8,,
pruth bay north,a,5.6,,
pruth bay north,a,4,,
pruth bay north,a,2.8,,
pruth bay north,a,2,,
pruth bay north,a,1.4,,
pruth bay north,a,1,,2
pruth bay north,a,0.71,3,4
pruth bay north,a,0.5,,
pruth bay north,b,8,,
pruth bay north,b,5.6,,
pruth bay north,b,4,,
pruth bay north,b,2.8,,
pruth bay north,b,2,,
pruth bay north,b,1.4,,
pruth bay north,b,1,2,3
pruth bay north,b,0.71,,4
pruth bay north,b,0.5,,
pruth bay north,c,8,,
pruth bay north,c,5.6,,
pruth bay north,c,4,,
pruth bay north,c,2.8,,
pruth bay north,c,2,,
pruth bay north,c,1.4,,
pruth bay north,c,1,1,10
pruth bay north,c,0.71,8,3
pruth bay north,c,0.5,,
pruth bay north,d,8,,
pruth bay north,d,5.6,,
pruth bay north,d,4,,
pruth bay north,d,2.8,,
pruth bay north,d,2,,
pruth bay north,d,1.4,,
pruth bay north,d,1,3,3
pruth bay north,d,0.71,4,
pruth bay north,d,0.5,,
pruth bay south,a,8,,
pruth bay south,a,5.6,,
pruth bay south,a,4,,
pruth bay south,a,2.8,,
pruth bay south,a,2,,
pruth bay south,a,1.4,,
pruth bay south,a,1,1,
pruth bay south,a,0.71,9,
pruth bay south,a,0.5,3,
pruth bay south,d,8,,
pruth bay south,d,5.6,,
pruth bay south,d,4,,
pruth bay south,d,2.8,,
pruth bay south,d,2,,
pruth bay south,d,1.4,,
pruth bay south,d,1,3,
pruth bay south,d,0.71,8,
pruth bay south,d,0.5,7,
pruth bay south,e,8,,
pruth bay south,e,5.6,,
pruth bay south,e,4,,
pruth bay south,e,2.8,,
pruth bay south,e,2,,
pruth bay south,e,1.4,1,
pruth bay south,e,1,12,
pruth bay south,e,0.71,2,
pruth bay south,e,0.5,,
pruth bay south,c,8,,
pruth bay south,c,5.6,,
pruth bay south,c,4,,
pruth bay south,c,2.8,,
pruth bay south,c,2,,
pruth bay south,c,1.4,1,
pruth bay south,c,1,2,
pruth bay south,c,0.71,3,
pruth bay south,c,0.5,,
pruth bay south,f,8,,
pruth bay south,f,5.6,,
pruth bay south,f,4,,
pruth bay south,f,2.8,,
pruth bay south,f,2,,
pruth bay south,f,1.4,,
pruth bay south,f,1,,
pruth bay south,f,0.71,,
pruth bay south,f,0.5,,
pruth bay south,b,8,,
pruth bay south,b,5.6,,
pruth bay south,b,4,,
pruth bay south,b,2.8,,
pruth bay south,b,2,,
pruth bay south,b,1.4,,
pruth bay south,b,1,,
pruth bay south,b,0.71,,
pruth bay south,b,0.5,,
spitfire,f-1,8,,
spitfire,f-1,5.6,,
spitfire,f-1,4,,
spitfire,f-1,2.8,,
spitfire,f-1,2,5,
spitfire,f-1,1.4,21,
spitfire,f-1,1,138,
spitfire,f-1,0.71,98,
spitfire,f-1,0.5,,
spitfire,f-2,8,,
spitfire,f-2,5.6,,
spitfire,f-2,4,,
spitfire,f-2,2.8,,
spitfire,f-2,2,3,
spitfire,f-2,1.4,,
spitfire,f-2,1,121,
spitfire,f-2,0.71,34,2
spitfire,f-2,0.5,17,
spitfire,b,8,,
spitfire,b,5.6,,
spitfire,b,4,,
spitfire,b,2.8,,
spitfire,b,2,,
spitfire,b,1.4,,
spitfire,b,1,13,1
spitfire,b,0.71,91,3
spitfire,b,0.5,38,
spitfire,a,8,,
spitfire,a,5.6,,
spitfire,a,4,,
spitfire,a,2.8,,
spitfire,a,2,,
spitfire,a,1.4,2,
spitfire,a,1,38,
spitfire,a,0.71,120,
spitfire,a,0.5,40,
spitfire,e,8,,
spitfire,e,5.6,,
spitfire,e,4,,
spitfire,e,2.8,,
spitfire,e,2,,
spitfire,e,1.4,1,
spitfire,e,1,12,
spitfire,e,0.71,15,
spitfire,e,0.5,,
spitfire,d-1,8,,
spitfire,d-1,5.6,,
spitfire,d-1,4,,
spitfire,d-1,2.8,,
spitfire,d-1,2,,
spitfire,d-1,1.4,8,
spitfire,d-1,1,32,
spitfire,d-1,0.71,46,
spitfire,d-1,0.5,,
spitfire,d-2,8,,
spitfire,d-2,5.6,,
spitfire,d-2,4,,
spitfire,d-2,2.8,,
spitfire,d-2,2,,
spitfire,d-2,1.4,12,2
spitfire,d-2,1,38,
spitfire,d-2,0.71,21,
spitfire,d-2,0.5,,
spitfire,c,8,,
spitfire,c,5.6,,
spitfire,c,4,,
spitfire,c,2.8,,
spitfire,c,2,,
spitfire,c,1.4,,
spitfire,c,1,,
spitfire,c,0.71,,
spitfire,c,0.5,,
wolf inner 04.07.2015,a,8,,
wolf inner 04.07.2015,a,5.6,,
wolf inner 04.07.2015,a,4,,
wolf inner 04.07.2015,a,2.8,,
wolf inner 04.07.2015,a,2,,
wolf inner 04.07.2015,a,1.4,,
wolf inner 04.07.2015,a,1,,3
wolf inner 04.07.2015,a,0.71,,2
wolf inner 04.07.2015,a,0.5,,
wolf inner 04.07.2015,c,8,,
wolf inner 04.07.2015,c,5.6,,
wolf inner 04.07.2015,c,4,,
wolf inner 04.07.2015,c,2.8,,
wolf inner 04.07.2015,c,2,,
wolf inner 04.07.2015,c,1.4,1,2
wolf inner 04.07.2015,c,1,,31
wolf inner 04.07.2015,c,0.71,,7
wolf inner 04.07.2015,c,0.5,,
wolf inner 04.07.2015,f,8,,
wolf inner 04.07.2015,f,5.6,,
wolf inner 04.07.2015,f,4,,
wolf inner 04.07.2015,f,2.8,,
wolf inner 04.07.2015,f,2,,
wolf inner 04.07.2015,f,1.4,,8
wolf inner 04.07.2015,f,1,2,32
wolf inner 04.07.2015,f,0.71,,40
wolf inner 04.07.2015,f,0.5,,
wolf inner 04.07.2015,e,8,,
wolf inner 04.07.2015,e,5.6,,
wolf inner 04.07.2015,e,4,,
wolf inner 04.07.2015,e,2.8,,
wolf inner 04.07.2015,e,2,,
wolf inner 04.07.2015,e,1.4,3,28
wolf inner 04.07.2015,e,1,2,131
wolf inner 04.07.2015,e,0.71,,
wolf inner 04.07.2015,e,0.5,,
san jospeh bay,a,8,,
san jospeh bay,a,5.6,,
san jospeh bay,a,4,,
san jospeh bay,a,2.8,,
san jospeh bay,a,2,,
san jospeh bay,a,1.4,18,
san jospeh bay,a,1,39,
san jospeh bay,a,0.71,25,
san jospeh bay,a,0.5,,
san jospeh bay,c (1 and 2 combined),8,,
san jospeh bay,c (1 and 2 combined),5.6,,
san jospeh bay,c (1 and 2 combined),4,,
san jospeh bay,c (1 and 2 combined),2.8,,
san jospeh bay,c (1 and 2 combined),2,,
san jospeh bay,c (1 and 2 combined),1.4,12,
san jospeh bay,c (1 and 2 combined),1,18,
san jospeh bay,c (1 and 2 combined),0.71,,
san jospeh bay,c (1 and 2 combined),0.5,,
san jospeh bay,d 2-2,8,,
san jospeh bay,d 2-2,5.6,,
san jospeh bay,d 2-2,4,,
san jospeh bay,d 2-2,2.8,,
san jospeh bay,d 2-2,2,,
san jospeh bay,d 2-2,1.4,3,
san jospeh bay,d 2-2,1,10,
san jospeh bay,d 2-2,0.71,,
san jospeh bay,d 2-2,0.5,,
san jospeh bay,d 1-2,8,,
san jospeh bay,d 1-2,5.6,,
san jospeh bay,d 1-2,4,,
san jospeh bay,d 1-2,2.8,,
san jospeh bay,d 1-2,2,,
san jospeh bay,d 1-2,1.4,,
san jospeh bay,d 1-2,1,6,
san jospeh bay,d 1-2,0.71,3,
san jospeh bay,d 1-2,0.5,,
san jospeh bay,b 1-2,8,,
san jospeh bay,b 1-2,5.6,,
san jospeh bay,b 1-2,4,,
san jospeh bay,b 1-2,2.8,,
san jospeh bay,b 1-2,2,,
san jospeh bay,b 1-2,1.4,,
san jospeh bay,b 1-2,1,32,
san jospeh bay,b 1-2,0.71,28,
san jospeh bay,b 1-2,0.5,,
san jospeh bay,b 2-2,8,,
san jospeh bay,b 2-2,5.6,,
san jospeh bay,b 2-2,4,,
san jospeh bay,b 2-2,2.8,,
san jospeh bay,b 2-2,2,,
san jospeh bay,b 2-2,1.4,4,
san jospeh bay,b 2-2,1,19,
san jospeh bay,b 2-2,0.71,28,
san jospeh bay,b 2-2,0.5,,
san jospeh bay,f 1-2,8,,
san jospeh bay,f 1-2,5.6,,
san jospeh bay,f 1-2,4,,
san jospeh bay,f 1-2,2.8,,
san jospeh bay,f 1-2,2,,
san jospeh bay,f 1-2,1.4,3,
san jospeh bay,f 1-2,1,16,
san jospeh bay,f 1-2,0.71,2,
san jospeh bay,f 1-2,0.5,,
san jospeh bay,f 2-2,8,,
san jospeh bay,f 2-2,5.6,,
san jospeh bay,f 2-2,4,,
san jospeh bay,f 2-2,2.8,,
san jospeh bay,f 2-2,2,,
san jospeh bay,f 2-2,1.4,6,
san jospeh bay,f 2-2,1,7,
san jospeh bay,f 2-2,0.71,,
san jospeh bay,f 2-2,0.5,,
san jospeh bay,e 2-2,8,,
san jospeh bay,e 2-2,5.6,,
san jospeh bay,e 2-2,4,,
san jospeh bay,e 2-2,2.8,,
san jospeh bay,e 2-2,2,,
san jospeh bay,e 2-2,1.4,3,
san jospeh bay,e 2-2,1,16,
san jospeh bay,e 2-2,0.71,12,
san jospeh bay,e 2-2,0.5,,
san jospeh bay,e 1-2,8,,
san jospeh bay,e 1-2,5.6,,
san jospeh bay,e 1-2,4,,
san jospeh bay,e 1-2,2.8,,
san jospeh bay,e 1-2,2,5,
