date,site ,quad_number,sample
27/06/2015,Goose N,1,a
,Goose N,2,f
,Goose N,3,e
,Goose N,4,b
,Goose N,5,d
,Goose N,6,c
,McMullins S,1,b
,McMullins S,2,d
,McMullins S,3,a
,McMullins S,4,f
,McMullins S,5,e
,McMullins S,6,c
,McMullins N,1,a
,McMullins N,2,c
,McMullins N,3,f
,McMullins N,4,e
,McMullins N,5,d
,McMullins N,6,b
30/06/2015,pruth bay north,1,f
,pruth bay north,2,e
,pruth bay north,3,d
,pruth bay north,4,a
,pruth bay north,5,c
,pruth bay north,6,b
,pruth bay south,1,c
,pruth bay south,2,b
,pruth bay south,3,f
,pruth bay south,4,e
,pruth bay south,5,d
,Goose E,1,a
,Goose E,2,b
,Goose E,3,c
,Goose E,4,d
,Goose E,5,e
,Goose E,6,f
,Goose W,1,a
,Goose W,2,e
,Goose W,3,b
,Goose W,4,c
,Goose W,5,f
,Goose W,6,d
,Triquet N,1,e
,Triquet N,2,b
,Triquet N,3,f
,Triquet N,4,c
,Triquet N,5,d
,Triquet N,6,a
,Triquet S,1,b
,Triquet S,2,f
,Triquet S,3,d
,Triquet S,4,a
,Triquet S,5,c
,Triquet S,6,e
,,,
,,,
,choked wolf,6,a
,choked wolf,5,d
,choked wolf,4,c
,choked wolf,3,b
,choked wolf,2,e
,choked wolf,1,f
,Sandspit,1,a
,Sandspit,2,c
,Sandspit,3,f
,Sandspit,4,d
,Sandspit,5,e
,Sandspit,6,b
,,,
,choked inner,1,a
,choked inner,2,b
,choked inner,3,c
,choked inner,4,d
,choked inner,5,e
,choked inner,6,f
,,,
,"Choked Pass, S. Pigu",1,a
,"Choked Pass, S. Pigu",2,b
,"Choked Pass, S. Pigu",3,c
,"Choked Pass, S. Pigu",4,d
,"Choked Pass, S. Pigu",5,e
,"Choked Pass, S. Pigu",6,f
