"","year","site","sample","n"
"1",2014,"goose south east","1",65
"2",2014,"goose south east","10",66
"3",2014,"goose south east","11",623
"4",2014,"goose south east","12",1284
"5",2014,"goose south east","4",60
"6",2014,"goose south east","6",87
"7",2014,"goose south east","7",992
"8",2014,"goose south east","8",557
"9",2014,"goose south east","9",87
"10",2014,"goose south west","10",352
"11",2014,"goose south west","11",31
"12",2014,"goose south west","13",90
"13",2014,"goose south west","2",19
"14",2014,"goose south west","3",24
"15",2014,"goose south west","4",123
"16",2014,"goose south west","5",9
"17",2014,"goose south west","6",126
"18",2014,"goose south west","7",22
"19",2014,"inner choked","11",254
"20",2014,"inner choked","11B",1273
"21",2014,"inner choked","4",392
"22",2014,"inner choked","4A",180
"23",2014,"inner choked","6",465
"24",2014,"inner choked","6A",175
"25",2014,"inner choked","8",1498
"26",2014,"mcmullins north","10",93
"27",2014,"mcmullins north","11",607
"28",2014,"mcmullins north","12",467
"29",2014,"mcmullins north","3",1770
"30",2014,"mcmullins north","4",1166
"31",2014,"mcmullins north","6",894
"32",2014,"mcmullins north","7",846
"33",2014,"mcmullins north","8",527
"34",2014,"mcmullins north","9",77
"35",2014,"mcmullins south","12",54
"36",2014,"mcmullins south","2",125
"37",2014,"mcmullins south","3",98
"38",2014,"mcmullins south","4",300
"39",2014,"mcmullins south","5",82
"40",2014,"mcmullins south","6",42
"41",2014,"mcmullins south","7",198
"42",2014,"mcmullins south","8",207
"43",2014,"sandspit","1",108
"44",2014,"sandspit","10",647
"45",2014,"sandspit","11",267
"46",2014,"sandspit","13",384
"47",2014,"sandspit","5",363
"48",2014,"sandspit","6A",263
"49",2014,"sandspit","6B",46
"50",2014,"sandspit","7A",27
"51",2014,"sandspit","7B",164
"52",2014,"sandspit","8A",200
"53",2014,"sandspit","8B",206
"54",2014,"sandspit","9",137
"55",2014,"triquet north","1",15
"56",2014,"triquet north","12",100
"57",2014,"triquet north","2",35
"58",2014,"triquet north","3",43
"59",2014,"triquet north","4",83
"60",2014,"triquet north","5",143
"61",2014,"triquet north","7",12
"62",2014,"triquet north","8",487
"63",2014,"triquet north","9",212
"64",2014,"triquet south","10",415
"65",2014,"triquet south","11",129
"66",2014,"triquet south","12",1249
"67",2014,"triquet south","13",767
"68",2014,"triquet south","2",345
"69",2014,"triquet south","4",1241
"70",2014,"triquet south","5",1341
"71",2014,"triquet south","6A",1048
