Original,Modified,Notes,flag,remove
Porcellidium,Porcellidium,,,
Porcellidium ,Porcellidium,,,
Protohyale,Hyalidae,,,
Protohyale intermedia,Hyalidae,,,
Protomedeia,Protomedeia,"doubtful, how common?",1,
Pugettia richii,Pugettia,,,
Pugettia sp,Pugettia,,,
Pycnogonid,Pycnogonida,,,
Pycnogonida,Pycnogonida,,,
Rissoidae,Rissoidae,likely Alvania compacta,1,
Sea anemone maybe Diadumene lineata but difficult to ID,Actiniidae,,,
Sea anemone perhaps Epiactis prolifera difficult to ID,Actiniidae,,,
Sessilia,Balanus,,,
Solariella permablis,Solariella,,,
Solasteridae,Solasteridae,,,
Stalked thing,????,could be Stauromedusa?,1,
Stenothoidae,Stenothoidae,,,
Sthenelais,Polynoidae,likely a Polynoid,1,
Strongylocentrotus sp,Strongylocentrotus,,,
Syllidae,Syllidae,,,
Talitridae,Hyalidae,"unlikely, could be Hyalidae?",1,
Tegula funebralis,Tegula,"possible, but could be a different trochoid",1,
Terebellidae,Terebellidae,,,
Thorlaksonius,Thorlaksonius,,,
Thorlaksonius subcarinatus,Thorlaksonius,,,
tin foil,,,,1
Tiny red striped snail,,Margarites?,1,
Unk Fish Eggs,,,,1
Unk1 polychaete,Polychaeta,,,
Unk2 polychaete,Polychaeta,,,
Unknown red Halacarid mite,Halacaridae,,,
Unknown sea star I think only 1 sp,Asteroidea,,,
unknown squiggle,,,,1
Urothoidae,Lyssianasidae,could be a Lyssianasid,1,
Veneroida,Veneroida,,,
