taxon,taxon2,taxon3,taxon4,notes,sessile,flag,remove
Janua.pagastecheri,Spirorbinae,Spirorbinae,Sabellida,potentially multiple species; sessile,1,,1
Lacuna,Lacuna,Lacuna,Littorinoidea,,,,
Lacuna.spp..Eggs,,,,,,,1
Lacuna.variegata,Lacuna.variegata,Lacuna,Littorinoidea,,,,
Lacuna.vincta,Lacuna.vincta,Lacuna,Littorinoidea,,,,
larvae,,,,unclear what this refers to,,,1
Lepasterias.hexactis,Lepasterias.hexactis,Asteroidea,Asteroidea,"seems doubtful, but okay",,,
Lepidepecreum.sp.,Lepidepecreum,Lysianassoidea,Gammaridean,,,,1
Leptochelia,Leptochelia,Leptochelia,Tanaidacea,few species if more than one,,,
Leptochelia.dubia,Leptochelia.dubia,Leptochelia,Tanaidacea,few species if more than one,,,
Lirularia,Lirularia,Lirularia,Trochoidea,,,,
Lirularia.lirulata,Lirularia.lirulata,Lirularia,Trochoidea,,,,
Littorinidae,Littorinidae,Littorinidae,Littorinoidea,this is coarse. go back to these,,1,
Littorinimorpha,Littorinidae,Littorinidae,Littorinoidea,this is extremely coarse. go back to these,,1,
Lottia.alveus,Lottia.alveus,Lottia.alveus,Lottioidea,fucking cool (Whalen),,,
Lottia.alveus.paralella,Lottia.alveus,Lottia.alveus,Lottioidea,fucking cool (Whalen),,,
Lottidae,Lottidae,Lottia.alveus,Lottioidea,,,1,
Lumbrineridae,Lumbrineridae,Lumbrineridae,Eunicida,,,,
Margarites.helicinus,Margarites.helicinus,Margarites,Trochoidea,,,,
Margarites.pupillus,Margarites.pupillus,Margarites,Trochoidea,,,,
Metacarcinus.magister,Metacarcinus.magister,Metacarcinus.magister,Decapoda,,,,
microfiber,,,,,,,1
Micronereis,Micronereis.nanaimoensis,Micronereis.nanaimoensis,Phyllodocida,,,,
microplastic,,,,,,,1
Monocorophium,Monocorophium,Corophiidae,Corophiidae,,,,
Monocorophium.acherusicum,Monocorophium,Corophiidae,Corophiidae,,,,
Munnidae,Munnidae,Munnidae,Isopoda,,,,
Mytilidae,Mytilidae,Mytilidae,Bivalvia,,,,
Mytilus.trossulus,Mytilidae,Mytilidae,Bivalvia,hard to distinguish from M. californianus when very small,,,
Nassarius.mendicus,Nassarius.mendicus,Nassarius.mendicus,Buccinoidea,?could be confused with Amphissa columbiana,,,
Nematoda,Nematoda,Nematoda,Nematoda,,,,
Nematode,Nematoda,Nematoda,Nematoda,,,,
Neogastropoda,Neogastropoda,Neogastropoda,Neogastropoda,"extremely broad, revisit",,1,
Nereididae,Nereididae,Platynereis.bicanaliculata,Phyllodocida,likely Platynereis bicanaliculata,,,
Nereis.sp.,Nereididae,Platynereis.bicanaliculata,Phyllodocida,likely Platynereis bicanaliculata,,,
Nudibranchia,Nudibranchia,Nudibranchia,Nudibranchia,"not many of these in samples, seems weird",,,
Nutricola.sp.,Veneroida,Veneroida,Bivalvia,"likely infaunal, incidental catch along with Lysianassidea",1,,1
Ophiuroidea,Ophiuroidea,Ophiuroidea,Ophiuroidea,,,,
Ostracoda,Ostracoda,Ostracoda,Ostracoda,,,,
Paguridae,Paguridae,Paguridae,Decapoda,,,,
Pagurus,Pagurus,Paguridae,Decapoda,,,,
Pagurus.quaylei,Pagurus,Paguridae,Decapoda,,,,
Paracerceis.cordata,Sphaeromatidae,Sphaeromatidae,Isopoda,"probably not this genus, need to revisit this. Likely to be Exosphaeroma amplicauda ",,1,
Paramoera,Pontogeneiidae,Pontogeneiidae,Gammaridean,,,1,
Pectinidae,Pectinidae,Pectinidae,Bivalvia,"okay, not really sessile, but probably pretty rare",1,,1
Pentidotea,Pentidotea,Idoteidae,Isopoda,,,,
Pentidotea.wosnesenskii,Pentidotea.wosnesenskii,Idoteidae,Isopoda,,,,
Peramphithoe,Ampithoidae,Ampithoidae,Gammaridean,,,,
Pholoe.tuberculata,Pholoidae,Pholoidae,Phyllodocida,could be Chrysopatelidae,,,
Pholoidae,Pholoidae,Pholoidae,Phyllodocida,could be Chrysopatelidae,,,
Photis,Photis,Photis,Gammaridean,,,,
Photis.brevipes,Photis,Photis,Gammaridean,,,,
Phyllaplysia.taylori,Phyllaplysia.taylori,Phyllaplysia.taylori,Phyllaplysia.taylori,,,,
Phyllodoce,Phyllodocidae,Phyllodocidae,Phyllodocida,,,,
Phyllodocida,Phyllodocidae,Phyllodocidae,Phyllodocida,,,,
Phyllodocidae,Phyllodocidae,Phyllodocidae,Phyllodocida,,,,
Pilargidae,Pilargidae,Syllidae,Phyllodocida,,,,
Platynereis,Platynereis.bicanaliculata,Platynereis.bicanaliculata,Phyllodocida,,,,
Platynereis.bicanaliculata,Platynereis.bicanaliculata,Platynereis.bicanaliculata,Phyllodocida,,,,
Pleocyemata,Pleocyemata,,Decapoda,"incredibly coarse, revisit this",,1,
Pleustidae,Pleustidae,Pleustidae,Gammaridean,,,,
Podarkeopsis.glabrus,Hesionidae,Hesionidae,Phyllodocida,probably a different species,,,
Podoceridae,Podoceridae,Podoceridae,Gammaridean,,,,
Polychaeta,Polychaeta,Polychaeta,Polychaeta,revisit these,,1,
Pontogeneia,Pontogeneia,Pontogeneia,Gammaridean,,,,
Pontogeneia.inermis,Pontogeneia,Pontogeneia,Gammaridean,,,,
Pontogeneia.intermedia,Pontogeneia,Pontogeneia,Gammaridean,,,,
Pontogeneia.rostrata,Pontogeneia,Pontogeneia,Gammaridean,,,,
Porcellidium,Porcellidium,Harpacticoida,Harpacticoida,,,,
Porcellidium ,Porcellidium ,Harpacticoida,Harpacticoida,,,,
Protohyale,Protohyale,Hyaloidea,Gammaridean,,,,
Protohyale.intermedia,Protohyale,Hyaloidea,Gammaridean,,,,
Protomedeia,Corophiidae,Corophiidae,Corophiidae,,,,
Pugettia.richii,Pugettia,Pugettia,Decapoda,,,,
Pugettia.sp.,Pugettia,Pugettia,Decapoda,,,,
Pycnogonid,Pycnogonida,Pycnogonida,Pycnogonida,,,,
Pycnogonida,Pycnogonida,Pycnogonida,Pycnogonida,,,,
Rissoidae,Alvania.compacta,Alvania.compacta,Rissoidae,revisted by Felipe and Whalen 20190725 ,,,
Sea.anemone..maybe.Diadumene.lineata.but.difficult.to.ID.,Diadumene,Actiniidae,Cnidaria,,1,,
Sea.anemone..perhaps.Epiactis.prolifera..difficult.to.ID.,Epiactis,Actiniidae,Cnidaria,,1,,
Sessilia,Balanus,Balanus,Balanidae,,1,,
Solariella.permablis,Margarites,Trochoidea,Trochoidea,hmmm...only from 2014. Could be Margarites?,,1,
Solasteridae,Solasteridae,Asteroidea,Asteroidea,cool,,,
Stalked.thing,,,,,,1,
Stenothoidae,Stenothoidae,Stenothoidae,Gammaridean,,,,
Sthenelais,Polynoidae,Polynoidae,Phyllodocida,,,,
Strongylocentrotus.sp..,Echinoidea,Echinoidea,Echinoidea,,,,
Syllidae,Syllidae,Syllidae,Phyllodocida,,,,
Talitridae,Lysianassoidea,Lysianassoidea,Gammaridean,"dubious, not found in revisit by Felipe and Whalen 20190725",,,1
Tegula.funebralis,Tegula.funebralis,Trochoidea,Trochoidea,probably misidentified,,,
Terebellidae,Terebellidae,Terebellidae,Terebellidae,,,,
Thorlaksonius,Thorlaksonius,Pleustidae,Gammaridean,,,,
Thorlaksonius.subcarinatus,Thorlaksonius.subcarinatus,Pleustidae,Gammaridean,,,,
tin.foil,tin.foil,,,,,,1
Tiny.red.striped.snail,Tiny.red.striped.snail,,,"did not find in revisit, likely Margarites",,,1
Unk.Fish.Eggs.,,,,,,,1
Unk1..polychaete..,Unk1..polychaete..,,,,,1,1
Unk2..polychaete..,Unk2..polychaete..,,,,,1,1
Unknown.red.Halacarid.mite,Halacaridae,Halacaridae,Halacaridae,,,,
Unknown.sea.star..I.think.only.1.sp.,Asteroidea,Asteroidea,Asteroidea,,,,
unknown.squiggle,,,,,,,1
Urothoidae,Urothoidae,Lysianassoidea,Gammaridean,,,,1
Veneroida,Veneroida,Veneroida,Bivalvia,,,,1
