query,Class,Family,Genus,Infraclass,Infraorder,Kingdom,Order,Parvorder,Phylum,Section,Species,Subclass,Subfamily,Suborder,Subphylum,Subsection,Subterclass,Superclass,Superfamily,Superorder,Tribe
Ericthonius,Malacostraca,Ischyroceridae,Ericthonius,NA,Corophiida,Animalia,Amphipoda,Caprellidira,Arthropoda,NA,NA,Eumalacostraca,Ischyrocerinae,Senticaudata,Crustacea,NA,NA,Multicrustacea,Photoidea,Peracarida,Ericthonini
Eulalia,Polychaeta,Phyllodocidae,Eulalia,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,NA,Errantia,Eteoninae,Phyllodociformia,NA,NA,NA,NA,NA,NA,NA
Gammaropsis,Malacostraca,Photidae,Gammaropsis,NA,Corophiida,Animalia,Amphipoda,Caprellidira,Arthropoda,NA,NA,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Photoidea,Peracarida,NA
Glyceridae,Polychaeta,Glyceridae,NA,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,NA,Errantia,NA,Glyceriformia,NA,NA,NA,NA,NA,NA,NA
Halacaridae,Arachnida,Halacaridae,NA,NA,NA,Animalia,Trombidiformes,NA,Arthropoda,NA,NA,Acari,NA,Prostigmata,Chelicerata,NA,NA,NA,Halacaroidea,Acariformes,NA
Haminoea,Gastropoda,Haminoeidae,Haminoea,Euthyneura,NA,Animalia,Cephalaspidea,NA,Mollusca,NA,NA,Heterobranchia,NA,NA,NA,NA,Tectipleura,NA,Haminoeoidea,NA,NA
Harpacticoida,Hexanauplia,NA,NA,Neocopepoda,NA,Animalia,Harpacticoida,NA,Arthropoda,NA,NA,Copepoda,NA,NA,Crustacea,NA,NA,Multicrustacea,NA,Podoplea,NA
Heptacarpus,Malacostraca,Thoridae,Heptacarpus,NA,Caridea,Animalia,Decapoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,Pleocyemata,Crustacea,NA,NA,Multicrustacea,Alpheoidea,Eucarida,NA
Hesionidae,Polychaeta,Hesionidae,NA,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,NA,Errantia,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA
Hyalidae,Malacostraca,Hyalidae,NA,NA,Talitrida,Animalia,Amphipoda,Talitridira,Arthropoda,NA,NA,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Hyaloidea,Peracarida,NA
Idoteidae,Malacostraca,Idoteidae,NA,NA,NA,Animalia,Isopoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,Valvifera,Crustacea,NA,NA,Multicrustacea,NA,Peracarida,NA
Isaeidae,Malacostraca,Isaeidae,NA,NA,Corophiida,Animalia,Amphipoda,Caprellidira,Arthropoda,NA,NA,Eumalacostraca,NA,Senticaudata,Crustacea,NA,NA,Multicrustacea,Isaeoidea,Peracarida,NA
Ischyrocerus,Malacostraca,Ischyroceridae,Ischyrocerus,NA,Corophiida,Animalia,Amphipoda,Caprellidira,Arthropoda,NA,NA,Eumalacostraca,Ischyrocerinae,Senticaudata,Crustacea,NA,NA,Multicrustacea,Photoidea,Peracarida,Ischyrocerini
Isopoda,Malacostraca,NA,NA,NA,NA,Animalia,Isopoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,NA,Crustacea,NA,NA,Multicrustacea,NA,Peracarida,NA
Lacuna,Gastropoda,Littorinidae,Lacuna,NA,NA,Animalia,Littorinimorpha,NA,Mollusca,NA,NA,Caenogastropoda,Lacuninae,NA,NA,NA,NA,NA,Littorinoidea,NA,NA
Lacuna variegata,Gastropoda,Littorinidae,Lacuna,NA,NA,Animalia,Littorinimorpha,NA,Mollusca,NA,Lacuna variegata,Caenogastropoda,Lacuninae,NA,NA,NA,NA,NA,Littorinoidea,NA,NA
Lacuna vincta,Gastropoda,Littorinidae,Lacuna,NA,NA,Animalia,Littorinimorpha,NA,Mollusca,NA,Lacuna vincta,Caenogastropoda,Lacuninae,NA,NA,NA,NA,NA,Littorinoidea,NA,NA
Leptochelia,Malacostraca,Leptocheliidae,Leptochelia,NA,NA,Animalia,Tanaidacea,NA,Arthropoda,NA,NA,Eumalacostraca,Leptocheliinae,Tanaidomorpha,Crustacea,NA,NA,Multicrustacea,Paratanaoidea,Peracarida,NA
Leptochelia dubia,Malacostraca,Leptocheliidae,Leptochelia,NA,NA,Animalia,Tanaidacea,NA,Arthropoda,NA,Leptochelia dubia,Eumalacostraca,Leptocheliinae,Tanaidomorpha,Crustacea,NA,NA,Multicrustacea,Paratanaoidea,Peracarida,NA
Lirularia,Gastropoda,Trochidae,Lirularia,NA,NA,Animalia,Trochida,NA,Mollusca,NA,NA,Vetigastropoda,Umboniinae,NA,NA,NA,NA,NA,Trochoidea,NA,NA
Lirularia lirulata,Gastropoda,Trochidae,Lirularia,NA,NA,Animalia,Trochida,NA,Mollusca,NA,Lirularia lirulata,Vetigastropoda,Umboniinae,NA,NA,NA,NA,NA,Trochoidea,NA,NA
Littorinidae,Gastropoda,Littorinidae,NA,NA,NA,Animalia,Littorinimorpha,NA,Mollusca,NA,NA,Caenogastropoda,NA,NA,NA,NA,NA,NA,Littorinoidea,NA,NA
Lottia alveus,Gastropoda,Lottiidae,Lottia,NA,NA,Animalia,NA,NA,Mollusca,NA,Lottia alveus,Patellogastropoda,Lottiinae,NA,NA,NA,NA,NA,Lottioidea,NA,Lottiini
Lumbrineridae,Polychaeta,Lumbrineridae,NA,NA,NA,Animalia,Eunicida,NA,Annelida,NA,NA,Errantia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Margarites,Gastropoda,Margaritidae,Margarites,NA,NA,Animalia,Trochida,NA,Mollusca,NA,NA,Vetigastropoda,NA,NA,NA,NA,NA,NA,Trochoidea,NA,NA
Margarites helicinus,Gastropoda,Margaritidae,Margarites,NA,NA,Animalia,Trochida,NA,Mollusca,NA,Margarites helicinus,Vetigastropoda,NA,NA,NA,NA,NA,NA,Trochoidea,NA,NA
Margarites pupillus,Gastropoda,Margaritidae,Margarites,NA,NA,Animalia,Trochida,NA,Mollusca,NA,Margarites pupillus,Vetigastropoda,NA,NA,NA,NA,NA,NA,Trochoidea,NA,NA
Metacaprella kennerlyi,Malacostraca,Caprellidae,Metacaprella,NA,Corophiida,Animalia,Amphipoda,Caprellidira,Arthropoda,NA,Metacaprella kennerlyi,Eumalacostraca,Caprellinae,Senticaudata,Crustacea,NA,NA,Multicrustacea,Caprelloidea,Peracarida,NA
Metacarcinus magister,Malacostraca,Cancridae,Metacarcinus,NA,Brachyura,Animalia,Decapoda,NA,Arthropoda,Eubrachyura,Metacarcinus magister,Eumalacostraca,NA,Pleocyemata,Crustacea,Heterotremata,NA,Multicrustacea,Cancroidea,Eucarida,NA
Micronereis nanaimoensis,Polychaeta,Nereididae,Micronereis,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,Micronereis nanaimoensis,Errantia,Nereidinae,Nereidiformia,NA,NA,NA,NA,NA,NA,NA
Monocorophium,Malacostraca,Corophiidae,Monocorophium,NA,Corophiida,Animalia,Amphipoda,Corophiidira,Arthropoda,NA,Monocorophium acherusicum,Eumalacostraca,Corophiinae,Senticaudata,Crustacea,NA,NA,Multicrustacea,Corophioidea,Peracarida,Corophiini
Munnidae,Malacostraca,Munnidae,NA,NA,NA,Animalia,Isopoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,Asellota,Crustacea,NA,NA,Multicrustacea,Janiroidea,Peracarida,NA
Mytilidae,Bivalvia,Mytilidae,NA,NA,NA,Animalia,Mytilida,NA,Mollusca,NA,NA,Pteriomorphia,NA,NA,NA,NA,NA,NA,Mytiloidea,NA,NA
Nassarius mendicus,Gastropoda,Nassariidae,Nassarius,NA,NA,Animalia,Neogastropoda,NA,Mollusca,NA,Nassarius mendicus,Caenogastropoda,Nassariinae,NA,NA,NA,NA,NA,Buccinoidea,NA,NA
Nematoda,NA,NA,NA,NA,NA,Animalia,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
