"date","site","id","shoot.length","shoot.width","blades","biomass.shoot","microepiphyte.filter","macroepiphyte.shoot","smithora","year","microepiphyte","bryozoan","shoot.rep","sheath.length"
2015-07-04,"choked south pigu","6",83,0.66,6,2.56,9.8,4.52,4.52,2015,NA,NA,NA,NA
2015-07-10,"sandspit","a",129.2,0.8,4,1.26,18.2,NA,0.4577,2015,NA,NA,NA,NA
2015-07-10,"sandspit","b",123,0.8,5,1.25,16.5,NA,NA,2015,NA,NA,NA,NA
2015-07-10,"sandspit","c",131.3,0.63,6,2.63,26.2,NA,NA,2015,NA,NA,NA,NA
2015-07-10,"sandspit","d",115.6,0.57,5,2.07,15.8,NA,NA,2015,NA,NA,NA,NA
2015-07-10,"sandspit","e",129.5,1.05,7,2.81,20.7,NA,NA,2015,NA,NA,NA,NA
2015-07-10,"sandspit","f",111.5,1.1,5,1.41,13.8,NA,NA,2015,NA,NA,NA,NA
2015-07-01,"triquet north","a",96,0.35,4,1.39,12,NA,NA,2015,NA,NA,NA,NA
2015-07-01,"triquet north","b",123.6,0.4,6,1.75,27.6,NA,NA,2015,NA,NA,NA,NA
2015-07-01,"triquet north","c",84.3,0.3,5,0.53,30.1,NA,NA,2015,NA,NA,NA,NA
2015-07-01,"triquet north","d",124,0.4,5,1.79,38.8,NA,NA,2015,NA,NA,NA,NA
2015-07-01,"triquet north","f",89.6,0.29,5,0.84,7.4,NA,NA,2015,NA,NA,NA,NA
2015-07-01,"triquet south","a",141.5,0.5,5,1.08,29,NA,NA,2015,NA,NA,NA,NA
2015-07-01,"triquet south","b",78.9,0.43,5,0.93,29.6,NA,NA,2015,NA,NA,NA,NA
2015-07-01,"triquet south","c",97.8,0.49,5,1,29.6,NA,NA,2015,NA,NA,NA,NA
2015-07-01,"triquet south","d",108.6,0.45,5,1.4,27.9,NA,NA,2015,NA,NA,NA,NA
2015-07-01,"triquet south","e",121.3,0.55,5,1.46,17.4,NA,NA,2015,NA,NA,NA,NA
2015-07-07,"triquet south","f",104.6,0.75,6,1.64,21.2,NA,NA,2015,NA,NA,NA,NA
2016-06-30,"goose south east","1",115,0.6,5,NA,27.5999999999999,NA,NA,2016,1.58,NA,"3",NA
2016-06-30,"goose south east","2",51.9,0.6,4,NA,12.5999999999999,NA,NA,2016,0.65,NA,"3",NA
2016-06-30,"goose south east","3",110.4,0.6,6,NA,24.9000000000001,NA,NA,2016,1.55,NA,"3",NA
2016-06-30,"goose south east","4",118.3,0.6,6,NA,26.7,NA,NA,2016,1.83,NA,"3",NA
2016-06-30,"goose south east","5",63.2,0.6,5,NA,18.7,NA,NA,2016,0.93,NA,"3",NA
2016-06-30,"goose south east","6",98.4,0.6,4,NA,20,NA,NA,2016,1.38,NA,"3",NA
2016-06-30,"goose south east","7",107.6,0.5,4,NA,13.2,NA,NA,2016,1.59,NA,"3",NA
2016-06-30,"goose south east","8",136.4,0.7,4,NA,22.8,NA,NA,2016,2.08,NA,"3",NA
2016-06-30,"goose south east","9",85.8,0.6,6,NA,20.9000000000001,NA,NA,2016,0.89,NA,"3",NA
2016-07-06,"pruth pocket","1",51.1,0.6,5,NA,28.8000000000002,NA,NA,2016,0.44,0.0300000000000002,"3",NA
2016-07-06,"pruth pocket","2",54.4,0.5,5,NA,17.1000000000001,NA,NA,2016,0.42,NA,"3",NA
2016-07-06,"pruth pocket","3",53.7,0.4,5,NA,13.6999999999998,NA,NA,2016,0.27,NA,"3",NA
2016-07-06,"pruth pocket","4",55.4,0.4,6,NA,19.1000000000001,NA,NA,2016,0.62,0.13,"3",NA
2016-07-06,"pruth pocket","5",53,0.5,3,NA,28.8000000000002,NA,NA,2016,0.74,0.78,"3",NA
2016-07-06,"pruth pocket","6",42.9,0.4,4,NA,21.3,NA,NA,2016,0.3,NA,"3",NA
2016-07-06,"pruth pocket","7",80.9,0.5,5,NA,17.8999999999999,NA,NA,2016,0.86,0.32,"3",NA
2016-07-06,"pruth pocket","8",42.6,0.5,5,NA,4.5,NA,NA,2016,0.39,0.3,"3",NA
2016-07-06,"pruth pocket","9",75,0.5,6,NA,18.0999999999999,NA,1.13,2016,0.76,NA,"3",NA
2016-07-06,"wolf choked pass","1",131.1,1,5,NA,28.3,NA,1.72,2016,2.34,NA,"3",NA
2016-07-06,"wolf choked pass","2",100.9,0.9,6,NA,1.5,NA,NA,2016,2.26,NA,"3",NA
2016-07-06,"wolf choked pass","3",79.2,0.8,6,NA,15.2,NA,0.77,2016,1.46,NA,"3",NA
2016-07-06,"wolf choked pass","4",123.3,0.9,5,NA,26,NA,NA,2016,2.58,NA,"3",NA
2016-07-06,"wolf choked pass","5",80.1,0.7,6,NA,23.1999999999998,NA,NA,2016,1.35,NA,"3",NA
