"site","year","MAT","springTemp","summerTemp","growSeaTemp"
"chokedinner",2016,10.1267721518987,NA,NA,NA
"chokedinner",2017,8.55351041666667,7.37056666666667,NA,NA
"chokedinner",2018,9.69667123287671,8.69880434782609,11.3632608695652,10.5477450980392
"chokedsandspit",2015,10.610787037037,NA,NA,NA
"chokedsandspit",2016,10.2142021857923,9.62860869565217,11.6370543478261,10.9676274509804
"chokedsandspit",2017,9.69992876712329,8.6938152173913,11.8325760869565,10.8498823529412
"chokedsandspit",2018,9.72634353741497,8.69711956521739,11.3905543478261,10.5736666666667
"gooseSE",2015,10.4192037037037,NA,NA,NA
"gooseSE",2016,10.9528456140351,10.1400652173913,13.362652173913,12.3471111111111
"gooseSE",2017,11.5957691977876,10.6549111111111,13.804,12.7696277372263
"gooseSE",2018,10.1206734006623,9.14506159419565,13.5521375,12.081
"gooseSW",2015,10.4937222222222,NA,NA,NA
"gooseSW",2016,10.359806010929,9.96396739130435,12.7813043478261,11.8766862745098
"gooseSW",2017,9.3623900929257,8.69226086956522,12.8632,11.3671450381679
"gooseSW",2018,9.64178691679221,8.78363043478261,12.6292,11.3358085106383
"McMullinN",2015,10.5088148148148,NA,NA,NA
"McMullinN",2016,10.33251171875,9.73758695652174,12.2886847826087,11.4731437908497
"McMullinS",2015,10.5258518518519,NA,NA,NA
"McMullinS",2016,9.46047148288973,9.75414130434783,11.969,10.34503125
"McMullinS",2017,9.98774238967466,7.0434,13.1143026315789,12.8477
"McMullinS",2018,9.8481305936,8.63719685990217,12.1473804347826,11.0387254901961
"PruthBay02",2016,9.61685714285714,NA,NA,NA
"PruthBay02",2017,9.44973028920548,8.4883152173913,11.5971086956522,10.6394117647059
"PruthBay02",2018,9.5384,8.43160869565217,11.4126304347826,10.5127581699346
"PruthPocket",2015,10.1740648148148,NA,NA,NA
"PruthPocket",2016,10.0297732240437,9.62653260869565,11.8169456521739,11.1200718954248
"PruthPocket",2017,9.4191095890411,8.49645652173913,11.6770326086957,10.720477124183
"PruthPocket",2018,9.60261258278146,8.39495652173913,11.3595434782609,10.4747124183007
"TriquetBay02",2016,9.3164875,NA,NA,NA
"TriquetBay02",2017,10.1344493150685,8.7990652173913,13.5729239130435,12.0579215686275
"TriquetBay02",2018,10.1772136986301,8.88629347826087,13.244402173913,11.8574117647059
"TriquetNSeagraa",2016,9.6801625,NA,NA,NA
"TriquetNSeagraa",2017,8.21546666666667,7.10502702702703,NA,7.8155
"TriquetNSeagraa",2018,10.0976821917808,8.8435,12.9423695652174,11.6533594771242
