"Sample","year","region","site","host_type","sample_type","survey_type","meso_quadrat_id","ASV8","ASV17","ASV9","ASV24","ASV114","ASV96","ASV51","ASV139","ASV43","ASV20","ASV29","ASV70","ASV79","ASV59","ASV143","ASV197","ASV52","ASV171","ASV97","ASV34","ASV107","ASV27","ASV215","ASV145","ASV358","ASV85","ASV93","ASV151","ASV181","ASV204","ASV199","ASV94","ASV153","ASV118","ASV542","ASV213","ASV128","ASV117","ASV486","ASV351","ASV135","ASV258","ASV330","ASV189","ASV217","ASV617","ASV169","ASV674","ASV146","ASV45","ASV333","ASV773","ASV397","ASV126","ASV665","ASV368","ASV308","ASV653","ASV86","ASV561","ASV632","ASV385","ASV225","ASV818","ASV289","ASV317","ASV268","ASV319","ASV283","ASV384","ASV301","ASV963","ASV989","ASV798","ASV557","ASV1001","ASV778","ASV389","ASV313","ASV1347","ASV91","ASV315","ASV1451","ASV901","ASV1030","ASV442","ASV663","ASV591","ASV772","ASV267","ASV122","ASV1572","ASV98","ASV878","ASV1159","ASV196","ASV240","ASV448","ASV783","ASV1333","ASV192","ASV65","ASV1011","ASV1475","ASV1464","ASV845","ASV520","ASV631","ASV273","ASV419","ASV940","ASV232","ASV72","ASV951","ASV538","ASV1183","ASV1510","ASV1018","ASV770","ASV348","ASV1277","ASV89","ASV554","ASV1228","ASV422","ASV1481","ASV1576","ASV266","ASV1285","ASV282","ASV269","ASV306","ASV157","ASV121","ASV654","ASV1143","ASV167","ASV119","ASV890","ASV1300","ASV666","ASV787","ASV1218","ASV1235","ASV1563","ASV777","ASV124","ASV807","ASV1000","ASV1063","ASV1157","ASV33","ASV661","ASV291","ASV1448","ASV1190","ASV344","ASV1367","ASV141","ASV288","ASV30","ASV536","ASV707","ASV55","ASV687","ASV742","ASV1298","ASV1600","ASV455","ASV469","ASV1224","ASV729","ASV882","ASV1149","ASV625","ASV656","ASV991","ASV635","ASV198","ASV1258","ASV1432","ASV793","ASV1581","ASV1058","ASV1083","ASV1094","ASV998","ASV1286","ASV123","ASV551","ASV886","ASV1528","ASV1547","ASV501","ASV1084","ASV309","ASV366","ASV698","ASV759","ASV905","ASV102","ASV1295","ASV1346","ASV1518","ASV408"
"ZosPBPoldC18",2018,"pruth","pruth_pocket","zostera","leaf_old","meso_quadrat","3",0,0,13515,0,5,0,0,0,0,0,3,0,5077,5105,5,0,4440,0,0,17,90,0,113,0,0,72,0,0,374,0,864,0,0,0,0,0,0,0,2,0,29,0,0,0,1165,0,0,0,0,0,941,0,0,0,0,317,0,0,676,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,460,0,0,0,18,0,0,0,0,0,24,0,0,0,0,0,0,0,114,0,0,189,0,0,178,0,0,0,0,0,0,0,79,0,0,10,0,0,0,0,0,113,0,18,0,107,28,0,0,72,0,94,6,0,76,0,0,0,0,0,0,36,59,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"ZosTQSoldA18",2018,"triquet","triquet_south","zostera","leaf_old","meso_quadrat","1",16,0,0,0,0,0,12992,0,16,774,0,0,0,0,0,0,0,0,0,1269,0,0,0,0,0,0,0,78,0,1940,0,0,0,87,0,0,0,246,0,0,29,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,16,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosTQNoldG16",2016,"triquet","triquet_north","zostera","leaf_old","meso_quadrat","5",0,12340,561,0,0,0,0,0,0,941,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,114,0,40,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosTQSoldF16",2016,"triquet","triquet_south","zostera","leaf_old","meso_quadrat","6",22,0,534,0,0,0,12109,0,0,0,0,12,0,0,0,0,0,0,0,245,0,0,0,0,0,22,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosPBPoldC16",2016,"pruth","pruth_pocket","zostera","leaf_old","meso_quadrat","9",91,0,9774,0,0,0,0,0,754,0,0,0,0,0,13,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,11,475,0,0,0,16,0,0,29,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosCSSoldF18",2018,"choked","choked_sandspit","zostera","leaf_old","meso_quadrat","6",0,0,0,0,0,0,0,0,9190,0,0,34,66,70,24,0,0,10,0,0,0,0,0,0,0,9,451,0,17,0,0,0,1715,0,0,1586,0,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosTQNoldC",2015,"triquet","triquet_north","zostera","leaf_old","meso_quadrat","4",76,0,345,0,0,0,0,0,0,9001,316,0,0,0,0,0,0,0,97,2220,0,0,0,42,0,20,0,2187,0,0,0,0,0,1709,0,0,0,1443,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosCSSoldA16",2016,"choked","choked_sandspit","zostera","leaf_old","meso_quadrat","6",0,0,0,0,0,0,0,0,6300,0,7749,0,0,0,51,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosTQNoldB",2015,"triquet","triquet_north","zostera","leaf_old","meso_quadrat","5",27,0,1678,0,0,0,0,0,0,7186,0,0,0,176,0,0,0,0,11,3477,0,0,0,0,0,396,0,85,0,0,0,0,0,958,0,0,0,964,0,0,27,0,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,48,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,220,0,0,76,0,0,0,0,0,0,0,20,0,0,0,0,160,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZosTQSoldD18",2018,"triquet","triquet_south","zostera","leaf_old","meso_quadrat","4",392,0,0,0,0,0,0,0,0,5,0,6962,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,12,0,0,0,0,0,0,0,0,0,86,22,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
