"","chkd_n_1","chkd_n_2","chkd_n_3","chkd_n_4","chkd_n_5","chkd_n_6","chkd_s_3","chkd_s_4","chkd_s_6","prth_b_1","prth_b_2","prth_b_3","prth_b_4","prth_b_5","prth_p_1","prth_p_2","prth_p_3","prth_p_4","trqt_n_1","trqt_n_2","trqt_n_3","trqt_n_4","trqt_n_5","trqt_n_6","trqt_s_1","trqt_s_2","trqt_s_3","trqt_s_4","trqt_s_5","trqt_s_6"
"chkd_n_1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_2","0.19","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_3","0.195","0.021","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_4","0.199","0.017","0.017","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_5","0.143","0.153","0.152","0.157","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_6","0.164","0.036","0.047","0.046","0.135","0","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_3","0.777","0.84","0.856","0.851","0.802","0.829","0","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_4","0.351","0.428","0.436","0.435","0.401","0.405","0.773","0","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_6","0.151","0.173","0.185","0.183","0.158","0.163","0.751","0.324","0","","","","","","","","","","","","","","","","","","","","",""
"prth_b_1","0.876","0.963","0.966","0.969","0.935","0.94","0.918","0.834","0.88","0","","","","","","","","","","","","","","","","","","","",""
"prth_b_2","0.903","0.967","0.98","0.976","0.918","0.948","0.929","0.87","0.902","0.411","0","","","","","","","","","","","","","","","","","","",""
"prth_b_3","0.879","0.944","0.951","0.954","0.891","0.923","0.923","0.854","0.904","0.486","0.536","0","","","","","","","","","","","","","","","","","",""
"prth_b_4","0.914","0.978","0.991","0.988","0.924","0.96","0.92","0.811","0.883","0.465","0.465","0.478","0","","","","","","","","","","","","","","","","",""
"prth_b_5","0.856","0.903","0.907","0.912","0.849","0.885","0.872","0.837","0.865","0.601","0.461","0.679","0.567","0","","","","","","","","","","","","","","","",""
"prth_p_1","0.897","0.976","0.992","0.987","0.908","0.956","0.927","0.901","0.943","0.782","0.728","0.618","0.684","0.758","0","","","","","","","","","","","","","","",""
"prth_p_2","0.922","0.979","0.981","0.988","0.922","0.957","0.949","0.878","0.939","0.701","0.645","0.542","0.551","0.697","0.531","0","","","","","","","","","","","","","",""
"prth_p_3","0.9","0.977","0.993","0.988","0.89","0.958","0.903","0.885","0.911","0.696","0.603","0.502","0.503","0.699","0.581","0.389","0","","","","","","","","","","","","",""
"prth_p_4","0.744","0.843","0.852","0.853","0.754","0.824","0.732","0.751","0.789","0.713","0.708","0.638","0.654","0.747","0.589","0.575","0.603","0","","","","","","","","","","","",""
"trqt_n_1","0.949","0.981","0.996","0.991","0.953","0.978","0.918","0.962","0.946","0.865","0.874","0.873","0.871","0.915","0.907","0.807","0.679","0.857","0","","","","","","","","","","",""
"trqt_n_2","0.97","0.993","0.995","0.993","0.953","0.984","0.577","0.978","0.95","0.969","0.962","0.973","0.956","0.966","0.926","0.732","0.897","0.828","0.916","0","","","","","","","","","",""
"trqt_n_3","0.956","0.983","0.995","0.992","0.953","0.977","0.519","0.964","0.947","0.952","0.935","0.955","0.957","0.948","0.913","0.869","0.89","0.854","0.901","0.51","0","","","","","","","","",""
"trqt_n_4","0.934","0.979","0.995","0.99","0.952","0.977","0.513","0.943","0.929","0.831","0.816","0.821","0.823","0.891","0.863","0.592","0.729","0.723","0.758","0.363","0.375","0","","","","","","","",""
"trqt_n_5","0.969","0.988","0.996","0.993","0.951","0.987","0.808","0.983","0.955","0.96","0.938","0.906","0.936","0.962","0.407","0.669","0.859","0.674","0.913","0.562","0.74","0.584","0","","","","","","",""
"trqt_n_6","0.951","0.983","0.997","0.994","0.952","0.979","0.512","0.964","0.946","0.893","0.894","0.892","0.866","0.894","0.846","0.82","0.817","0.787","0.839","0.564","0.414","0.379","0.761","0","","","","","",""
"trqt_s_1","0.944","0.98","0.986","0.99","0.982","0.971","0.931","0.893","0.947","0.933","0.934","0.921","0.905","0.93","0.927","0.715","0.915","0.845","0.943","0.575","0.89","0.718","0.725","0.94","0","","","","",""
"trqt_s_2","0.915","0.978","0.988","0.988","0.937","0.955","0.846","0.869","0.923","0.865","0.87","0.883","0.873","0.884","0.866","0.662","0.843","0.764","0.867","0.631","0.805","0.629","0.641","0.839","0.352","0","","","",""
"trqt_s_3","0.94","0.979","0.985","0.99","0.986","0.967","0.933","0.881","0.949","0.887","0.9","0.875","0.873","0.882","0.908","0.68","0.901","0.828","0.934","0.603","0.88","0.706","0.726","0.929","0.196","0.325","0","","",""
"trqt_s_4","0.951","0.982","0.993","0.991","0.939","0.975","0.513","0.968","0.947","0.951","0.956","0.952","0.951","0.961","0.917","0.888","0.858","0.912","0.864","0.575","0.18","0.403","0.798","0.433","0.953","0.867","0.948","0","",""
"trqt_s_5","0.875","0.967","0.973","0.979","0.921","0.944","0.712","0.86","0.872","0.76","0.771","0.716","0.712","0.689","0.684","0.582","0.621","0.716","0.775","0.748","0.727","0.596","0.704","0.697","0.833","0.718","0.751","0.681","0",""
"trqt_s_6","0.92","0.967","0.982","0.978","0.938","0.957","0.737","0.883","0.876","0.85","0.855","0.854","0.832","0.87","0.868","0.627","0.835","0.724","0.873","0.354","0.696","0.487","0.546","0.731","0.467","0.498","0.469","0.762","0.548","0"
