"","chkd_s_6","chkd_s_5","chkd_s_4","chkd_s_3","chkd_s_2","chkd_s_1","chkd_nn_","chkd_nn_.1","chkd_nn_.2","chkd_n_2","chkd_n_1","chkd_n_0","gs_sth_s_6","gs_sth_s_5","gs_sth_s_4","gs_sth_s_3","gs_sth_s_2","gs_sth_s_1","gs_sth_w_6","gs_sth_w_5","gs_sth_w_4","gs_sth_w_3","gs_sth_w_2","gs_sth_w_1","mcmllns_n_6","mcmllns_n_5","mcmllns_n_4","mcmllns_n_3","mcmllns_n_2","mcmllns_n_1","mcmllns_s_6","mcmllns_s_5","mcmllns_s_4","mcmllns_s_3","mcmllns_s_2","mcmllns_s_1","trqt_n_6","trqt_n_5","trqt_n_4","trqt_n_3","trqt_n_2","trqt_n_1","trqt_s_6","trqt_s_5","trqt_s_4","trqt_s_3","trqt_s_2","trqt_s_1"
"chkd_s_6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_5","0.616666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_4","0.366333333333333","0.707","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_3","0.820666666666667","0.910333333333333","0.879666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_2","0.382333333333333","0.568333333333333","0.367666666666667","0.903333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_s_1","0.545666666666667","0.438","0.654666666666667","0.666666666666667","0.537","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_nn_","0.492","0.534333333333333","0.577333333333333","0.894","0.361","0.537","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_nn_.1","0.498666666666667","0.468","0.617666666666667","0.903333333333333","0.371","0.531","0.251333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_nn_.2","0.588","0.426","0.685333333333333","0.904","0.425333333333333","0.557","0.248","0.175666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_2","0.605333333333333","0.749333333333333","0.587666666666667","0.91","0.594333333333333","0.75","0.620666666666667","0.734333333333333","0.735666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_1","0.426333333333333","0.565333333333333","0.480333333333333","0.889","0.309333333333333","0.541","0.315666666666667","0.42","0.430666666666667","0.459","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chkd_n_0","0.434666666666667","0.706666666666667","0.44","0.939666666666667","0.478","0.700666666666667","0.468","0.577","0.634333333333333","0.501333333333333","0.382333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_s_6","0.699333333333333","0.837666666666667","0.613666666666667","0.941333333333333","0.649666666666667","0.822","0.680666666666667","0.723666666666667","0.758","0.683333333333333","0.679","0.658333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_s_5","0.677","0.830333333333333","0.585666666666667","0.951","0.559","0.812666666666667","0.602333333333333","0.658","0.691","0.639","0.634333333333333","0.610666666666667","0.336666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_s_4","0.646333333333333","0.850666666666667","0.553","0.887666666666667","0.508666666666667","0.801666666666667","0.589666666666667","0.658666666666667","0.695666666666667","0.581333333333333","0.556666666666667","0.523333333333333","0.587333333333333","0.455333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_s_3","0.570333333333333","0.797666666666667","0.524666666666667","0.933","0.448","0.752","0.450666666666667","0.497333333333333","0.509333333333333","0.596333333333333","0.504","0.522333333333333","0.568666666666667","0.439","0.383","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_s_2","0.580666666666667","0.781333333333333","0.545666666666667","0.950333333333333","0.481666666666667","0.776","0.592","0.602333333333333","0.663333333333333","0.569333333333333","0.562","0.538","0.485","0.354","0.428","0.379","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_s_1","0.54","0.751333333333333","0.505","0.949","0.476333333333333","0.735333333333333","0.440666666666667","0.479333333333333","0.522666666666667","0.603333333333333","0.486666666666667","0.486666666666667","0.584","0.451","0.448666666666667","0.265333333333333","0.404333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_w_6","0.642333333333333","0.723333333333333","0.585333333333333","0.887666666666667","0.545666666666667","0.670666666666667","0.503666666666667","0.593333333333333","0.593666666666667","0.537","0.552","0.590333333333333","0.548666666666667","0.442666666666667","0.406","0.374333333333333","0.504333333333333","0.412333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_w_5","0.684666666666667","0.856666666666667","0.627","0.927333333333333","0.581","0.842666666666667","0.590333333333333","0.612333333333333","0.653","0.643","0.627333333333333","0.652","0.365666666666667","0.315333333333333","0.493666666666667","0.439","0.453","0.448666666666667","0.396666666666667","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_w_4","0.708","0.905","0.634333333333333","0.924","0.646","0.887","0.744333333333333","0.778","0.808333333333333","0.639666666666667","0.678666666666667","0.705666666666667","0.464333333333333","0.423333333333333","0.568666666666667","0.582","0.540333333333333","0.588","0.512333333333333","0.38","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_w_3","0.618","0.79","0.546333333333333","0.872","0.527","0.768666666666667","0.570666666666667","0.639666666666667","0.66","0.55","0.525333333333333","0.54","0.484","0.386666666666667","0.387333333333333","0.473","0.408333333333333","0.495","0.334","0.397333333333333","0.404333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_w_2","0.714","0.883","0.685","0.923","0.614666666666667","0.865","0.655","0.672","0.697","0.679333333333333","0.645666666666667","0.712333333333333","0.532","0.432666666666667","0.545","0.548333333333333","0.532666666666667","0.548333333333333","0.468333333333333","0.37","0.242","0.382333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"gs_sth_w_1","0.655","0.864","0.610333333333333","0.898","0.59","0.847","0.685","0.719666666666667","0.749","0.607333333333333","0.603666666666667","0.65","0.505","0.425666666666667","0.494333333333333","0.545","0.521","0.541333333333333","0.422","0.406333333333333","0.202666666666667","0.343333333333333","0.239666666666667","0","","","","","","","","","","","","","","","","","","","","","","","",""
"mcmllns_n_6","0.506333333333333","0.697666666666667","0.456","0.922333333333333","0.379","0.692","0.552666666666667","0.545666666666667","0.599","0.616333333333333","0.462666666666667","0.484","0.610333333333333","0.530666666666667","0.503333333333333","0.465333333333333","0.451666666666667","0.451","0.564","0.526666666666667","0.640333333333333","0.526666666666667","0.637333333333333","0.610333333333333","0","","","","","","","","","","","","","","","","","","","","","","",""
"mcmllns_n_5","0.593666666666667","0.766333333333333","0.572666666666667","0.936666666666667","0.459666666666667","0.755","0.627666666666667","0.614666666666667","0.655","0.654","0.575666666666667","0.606","0.661","0.554333333333333","0.559333333333333","0.489666666666667","0.476333333333333","0.509","0.605666666666667","0.562","0.676333333333333","0.584333333333333","0.645666666666667","0.644666666666667","0.284","0","","","","","","","","","","","","","","","","","","","","","",""
"mcmllns_n_4","0.553666666666667","0.725666666666667","0.499666666666667","0.929666666666667","0.448666666666667","0.709","0.609666666666667","0.604","0.657333333333333","0.653","0.562","0.555666666666667","0.579666666666667","0.532666666666667","0.563666666666667","0.506333333333333","0.469666666666667","0.497666666666667","0.599666666666667","0.53","0.643666666666667","0.572666666666667","0.672333333333333","0.631","0.237666666666667","0.282666666666667","0","","","","","","","","","","","","","","","","","","","","",""
"mcmllns_n_3","0.571333333333333","0.732","0.500333333333333","0.915333333333333","0.478666666666667","0.711666666666667","0.658","0.655","0.706","0.623333333333333","0.596666666666667","0.576333333333333","0.592666666666667","0.572","0.571333333333333","0.527333333333333","0.507","0.542333333333333","0.632","0.565333333333333","0.645333333333333","0.596","0.698","0.649666666666667","0.288666666666667","0.292666666666667","0.236333333333333","0","","","","","","","","","","","","","","","","","","","",""
"mcmllns_n_2","0.519","0.725","0.483","0.919666666666667","0.436","0.718","0.619333333333333","0.613","0.665666666666667","0.610666666666667","0.551333333333333","0.544333333333333","0.595666666666667","0.562666666666667","0.575666666666667","0.514333333333333","0.492","0.512333333333333","0.618","0.551666666666667","0.635666666666667","0.594333333333333","0.675","0.633333333333333","0.232","0.229666666666667","0.213","0.219","0","","","","","","","","","","","","","","","","","","",""
"mcmllns_n_1","0.586","0.744666666666667","0.565","0.931333333333333","0.543333333333333","0.718333333333333","0.668333333333333","0.638","0.698666666666667","0.710333333333333","0.615","0.614666666666667","0.623","0.602","0.648","0.579666666666667","0.544","0.567333333333333","0.690333333333333","0.616","0.688","0.656","0.696","0.688333333333333","0.389","0.399666666666667","0.247333333333333","0.302666666666667","0.311","0","","","","","","","","","","","","","","","","","",""
"mcmllns_s_6","0.569","0.811","0.546666666666667","0.939333333333333","0.492666666666667","0.821666666666667","0.640333333333333","0.657333333333333","0.72","0.554","0.560666666666667","0.601333333333333","0.565666666666667","0.484333333333333","0.485666666666667","0.425666666666667","0.401666666666667","0.436666666666667","0.511666666666667","0.461666666666667","0.534666666666667","0.488666666666667","0.545666666666667","0.481666666666667","0.415","0.433","0.469","0.496","0.43","0.558666666666667","0","","","","","","","","","","","","","","","","",""
