"","chkd_s_6","chkd_s_1","chkd_s_3","chkd_s_2","chkd_s_9","chkd_s_7","gs_sth_s_3","gs_sth_s_2","gs_sth_s_1","gs_sth_s_5","gs_st__8","gs_sth_s_7","gs_sth_w_5","gs_st__4","gs_sth_w_7","gs_st__6","gs_sth_w_3","gs_sth_w_1","gs_sth_w_2","gs_st__9","prth_b_1","prth_b_2","prth_b_3","prth_b_4","prth_b_8","prth_b_6","prth_b_5","prth_b_7","prth_p_5","prth_p_9","prth_p_3","prth_p_7","prth_p_1","prth_p_4","prth_p_2","trqt_n_2","trqt_n_8","trqt_n_9","trqt_n_6","trqt_n_1","trqt_n_4","trqt_n_5","trqt_n_3","trqt_s_2","trqt_s_4","trqt_s_8","trqt_s_9","trqt_s_5","trqt_s_6","trqt_s_1","trqt_s_3"
"trqt_n_6","0.99","0.998","0.991","0.973","0.991","0.997","0.654","0.761","0.849","0.337","0.476","0.814","0.373","0.554","0.333","0.331","0.611","0.449","0.439","0.364","0.514","0.771","0.874","0.678","0.947","0.892","0.699","0.943","0.846","0.998","0.928","0.927","0.964","0.944","0.996","0.203","0.21","0.269","0","","","","","","","","","","","",""
"trqt_n_1","0.976","0.999","0.908","0.974","0.907","0.995","0.747","0.72","0.719","0.683","0.647","0.677","0.591","0.592","0.699","0.6","0.62","0.575","0.645","0.671","0.607","0.778","0.861","0.804","0.941","0.833","0.706","0.773","0.781","0.987","0.92","0.896","0.952","0.857","0.957","0.629","0.652","0.753","0.765","0","","","","","","","","","","",""
"trqt_n_4","0.981","0.995","0.917","0.97","0.853","0.995","0.617","0.737","0.693","0.314","0.411","0.694","0.238","0.415","0.276","0.249","0.473","0.3","0.413","0.285","0.549","0.722","0.871","0.685","0.964","0.846","0.743","0.973","0.82","0.99","0.938","0.932","0.98","0.982","0.983","0.284","0.304","0.311","0.356","0.602","0","","","","","","","","","",""
"trqt_n_5","0.976","0.997","0.985","0.973","0.949","0.997","0.595","0.696","0.727","0.277","0.391","0.748","0.29","0.469","0.331","0.269","0.531","0.339","0.354","0.299","0.476","0.721","0.86","0.67","0.943","0.876","0.68","0.886","0.79","0.995","0.924","0.909","0.957","0.915","0.985","0.295","0.279","0.321","0.357","0.632","0.287","0","","","","","","","","",""
"trqt_n_3","0.957","0.846","0.897","0.866","0.859","0.824","0.426","0.593","0.663","0.487","0.471","0.656","0.587","0.487","0.476","0.584","0.563","0.538","0.559","0.508","0.583","0.746","0.736","0.554","0.839","0.796","0.649","0.826","0.77","0.923","0.84","0.92","0.913","0.846","0.865","0.574","0.558","0.57","0.643","0.745","0.551","0.525","0","","","","","","","",""
"trqt_s_2","0.981","0.986","0.982","0.972","0.986","0.99","0.584","0.724","0.795","0.264","0.409","0.764","0.281","0.461","0.31","0.264","0.561","0.377","0.335","0.297","0.344","0.737","0.85","0.628","0.917","0.854","0.593","0.753","0.776","0.977","0.913","0.917","0.935","0.864","0.961","0.226","0.229","0.351","0.34","0.582","0.335","0.29","0.55","0","","","","","","",""
"trqt_s_4","0.977","0.975","0.988","0.961","0.975","0.982","0.573","0.7","0.753","0.261","0.386","0.744","0.264","0.441","0.327","0.259","0.529","0.348","0.322","0.284","0.345","0.71","0.843","0.638","0.918","0.868","0.602","0.764","0.768","0.966","0.907","0.923","0.938","0.854","0.961","0.224","0.232","0.364","0.355","0.555","0.311","0.239","0.558","0.144","0","","","","","",""
"trqt_s_8","0.988","0.993","0.997","0.968","0.962","0.993","0.597","0.733","0.766","0.395","0.399","0.776","0.39","0.474","0.458","0.403","0.56","0.42","0.402","0.44","0.348","0.744","0.869","0.661","0.934","0.885","0.624","0.783","0.815","0.991","0.918","0.927","0.961","0.874","0.988","0.344","0.363","0.475","0.471","0.481","0.436","0.312","0.518","0.28","0.262","0","","","","",""
"trqt_s_9","0.972","0.928","0.97","0.903","0.903","0.952","0.498","0.625","0.703","0.232","0.334","0.673","0.301","0.42","0.204","0.255","0.514","0.335","0.346","0.23","0.539","0.717","0.816","0.642","0.905","0.87","0.718","0.932","0.782","0.975","0.889","0.916","0.969","0.915","0.931","0.203","0.179","0.235","0.205","0.709","0.28","0.308","0.547","0.329","0.312","0.472","0","","","",""
"trqt_s_5","0.971","0.979","0.959","0.965","0.957","0.986","0.564","0.677","0.753","0.228","0.353","0.708","0.228","0.41","0.257","0.183","0.495","0.302","0.293","0.241","0.447","0.712","0.843","0.651","0.927","0.848","0.639","0.874","0.764","0.982","0.915","0.911","0.947","0.89","0.969","0.217","0.197","0.273","0.286","0.621","0.264","0.245","0.568","0.226","0.204","0.385","0.224","0","","",""
"trqt_s_6","0.991","0.996","0.989","0.973","0.967","0.998","0.596","0.725","0.785","0.319","0.446","0.781","0.344","0.529","0.323","0.296","0.582","0.414","0.407","0.322","0.558","0.721","0.883","0.684","0.968","0.902","0.747","0.977","0.823","0.998","0.94","0.939","0.984","0.992","0.994","0.232","0.22","0.259","0.116","0.756","0.287","0.324","0.631","0.351","0.339","0.473","0.139","0.259","0","",""
"trqt_s_1","0.983","0.992","0.99","0.966","0.986","0.989","0.612","0.732","0.8","0.333","0.422","0.775","0.31","0.476","0.383","0.329","0.558","0.38","0.366","0.365","0.345","0.741","0.861","0.663","0.933","0.876","0.619","0.786","0.804","0.985","0.916","0.921","0.951","0.869","0.98","0.276","0.279","0.398","0.391","0.445","0.383","0.308","0.589","0.199","0.17","0.15","0.387","0.273","0.413","0",""
"trqt_s_3","0.979","0.997","0.994","0.972","0.983","0.997","0.561","0.69","0.778","0.248","0.378","0.722","0.234","0.423","0.302","0.181","0.509","0.325","0.307","0.271","0.407","0.716","0.873","0.667","0.941","0.886","0.629","0.824","0.795","0.996","0.921","0.911","0.959","0.867","0.983","0.147","0.155","0.279","0.261","0.613","0.276","0.247","0.61","0.213","0.196","0.339","0.219","0.16","0.217","0.264","0"
