date,site,quadrat #,epi blade #,epi blade length (cm),epi blade width (cm) ,sheath length (cm),epi foil weight (g),epi wet weight (g),epiphyte dry weight (g),GF/C weight (g),GF/C with dry sample (g),macroalgae species,macroalgae wet weight (g),macroalgae foil (g),macroalgae dry (g),notes
28-Jun-18,pruth pocket,1,4,57.2,0.4,12,2,3.8,2.29,1.3657,1.3851,NA,NA,NA,NA,
28-Jun-18,pruth pocket,2,6,66.4,0.6,14,2.13,5.41,2.68,1.3686,1.3876,NA,NA,NA,NA,
28-Jun-18,pruth pocket,3,5,71.5,0.5,15.8,2.33,5.68,2.93,1.3605,1.3794,NA,NA,NA,NA,
28-Jun-18,pruth pocket,4,5,63,0.6,11.6,1.54,4.73,2.04,1.3563,1.3765,NA,NA,NA,NA,
28-Jun-18,pruth pocket,5,3,38.8,0.5,10.2,2.4,3.69,2.61,1.3619,1.3824,NA,NA,NA,NA,
28-Jun-18,pruth pocket,6,5,32.4,0.4,6.8,2.1,3.32,2.3,1.3631,1.3803,NA,NA,NA,NA,
28-Jun-18,pruth pocket,7,5,100.2,0.6,23.4,2.29,9.21,3.5,1.3671,1.3871,NA,NA,NA,NA,
28-Jun-18,pruth pocket,8,4,64,0.3,18.4,2.21,3.62,2.43,1.3633,1.3839,NA,NA,NA,NA,
28-Jun-18,pruth pocket,9,6,51.2,0.4,11.2,2.47,4.59,2.82,1.368,1.3859,NA,NA,NA,NA,
27-Jun-18,inner choked i5,1,4,147.6,0.8,37.5,2.33,21.55,4.82,1.3907,1.4148,Smithora,16.21,2.23,4.51,
27-Jun-18,inner choked i5,2,5,215.9,0.8,46.5,2.18,28,6.11,1.3845,1.4093,Smithora,14.54,2.28,4.37,
27-Jun-18,inner choked i5,3,5,186,0.9,36.8,2.25,21.35,5.07,1.3925,1.4172,Smithora,11.35,2.21,4.32,
27-Jun-18,inner choked i5,4,4,119.8,0.8,26.2,2.48,9.87,3.52,1.3892,1.4018,Smithora,12.81,1.48,2.53,
27-Jun-18,inner choked i5,5,5,200,0.8,48,2.18,26.09,5.2,1.3877,1.4045,Smithora,9,1.39,1.9,
27-Jun-18,inner choked i5,6,3,53,0.6,15,1.34,3.49,1.66,1.3907,1.414,Smithora,trace,NA,NA,
27-Jun-18,inner choked i5,7,5,106.5,0.7,30.5,2.26,11.48,3.43,1.3847,1.4128,Smithora,29.31,2.16,3.36,
27-Jun-18,inner choked i5,8,8,195.5,0.9,46.2,2.32,27.87,5.69,1.3696,1.3983,Smithora,20.83,2.38,10.6,
27-Jun-18,inner choked i5,9,4,84.5,0.6,19.6,2.3,7.08,2.94,1.385,1.4008,Smithora,5.3,1.98,NA,
22-Jun-18,pruth bay,1,6,86.5,0.5,18.5,1.48,7.24,2.25,1.3825,1.3884,NA,NA,NA,NA,
22-Jun-18,pruth bay,2,4,41.4,0.4,7,1.25,2.95,1.49,1.384,1.3984,NA,NA,NA,NA,
22-Jun-18,pruth bay,3,9,53.5,0.6,13.8,1.24,4.79,1.8,1.3784,1.3953,NA,NA,NA,NA,
22-Jun-18,pruth bay,4,5,35.3,0.3,7.8,1.39,2.97,1.54,1.3795,1.4003,NA,NA,NA,NA,
22-Jun-18,pruth bay,5,4,43,0.4,7.9,1.34,3.19,1.55,1.3835,1.4004,NA,NA,NA,NA,
22-Jun-18,pruth bay,6,4,60.3,0.4,10.8,1.44,4.85,1.79,1.385,1.4166,NA,NA,NA,NA,
22-Jun-18,pruth bay,7,5,45.8,0.4,5.8,1.51,4.87,1.77,1.3616,1.3703,NA,NA,NA,NA,
22-Jun-18,pruth bay,8,5,53.5,0.4,11.1,1.6,5.04,1.93,1.3718,1.4003,NA,NA,NA,NA,
22-Jun-18,pruth bay,9,5,45.3,0.4,10.6,1.64,5.25,1.96,1.3842,1.3867,NA,NA,NA,NA,
23-Jun-18,sand spit,1,6,114.6,1,23.2,2.46,19.21,4.91,1.3862,1.3977,Smithora ,5.42,1.15,1.64,
23-Jun-18,sand spit,2,3,84.7,0.6,13.8,2.29,6.63,2.76,1.3768,1.3958,Smithora,3,1.14,1.3,
