"site_quadrat_id","SampleID","year","region","site","meso_quadrat_id","Peronosporomycete_uncultured","Prorocentrum","Navicula","Aplanochytrium","Amphidinium","Cercozoa_Novel_Clade_Gran-1","Ploimida","Vampyrellidae_uncultured","Cothurnia","Fragilariales","Salpingoecidae_uncultured","Cylindrotheca","Labyrinthula","Ephelota","Eufolliculina","Salpingoecidae_uncultured_2","Halochlorococcum","Centrohelida_H15-6_uncultured","Chytridium","Licmophora","Salpingoeca","Grammonema","Cymbella","Ciliophrys","Parvamoeba","Centrohelida_CV1-B1-93","Labyrinthuloides","Rhoicosphenia","Acineta","Giraudyopsis","Harpacticoida","Olpidiopsis_sp._4439","Phaeodactylum","Phytomyxea_Novel_Clade_9","Metromonas"
"triquet_north_5","ZosTQNoldB",2015,"triquet","triquet_north","5",58,668,2,2,99,0,90,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0
"triquet_north_4","ZosTQNoldC",2015,"triquet","triquet_north","4",6,777,3,1,52,0,53,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,0,0,0
"triquet_north_2","ZosTQNoldD",2015,"triquet","triquet_north","2",33,358,0,6,438,4,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0
"triquet_north_3","ZosTQNoldE",2015,"triquet","triquet_north","3",5,772,0,0,35,0,12,0,0,0,0,0,0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0
"triquet_north_1","ZosTQNoldF",2015,"triquet","triquet_north","1",2,709,1,1,122,0,82,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0
"triquet_south_6","ZosTQSoldA",2015,"triquet","triquet_south","6",21,111,7,63,270,53,2,52,0,2,0,4,106,0,1,5,24,0,0,0,0,0,48,4,1,0,0,3,0,2,51,0,0,0,0
"triquet_south_5","ZosTQSoldB",2015,"triquet","triquet_south","5",9,130,1,7,437,0,69,43,0,0,0,1,4,0,0,0,6,2,0,0,0,1,0,2,0,0,0,0,0,0,94,0,0,0,0
"triquet_south_4","ZosTQSoldC",2015,"triquet","triquet_south","4",19,101,0,34,165,2,0,18,0,0,7,17,69,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,22,0,0,0,0
"triquet_south_3","ZosTQSoldD",2015,"triquet","triquet_south","3",0,56,3,90,182,71,0,209,0,0,10,9,111,0,2,3,8,0,0,0,0,0,41,0,10,0,0,2,0,6,14,0,0,0,0
"choked_sandspit_6","ZosCSSoldA16",2016,"choked","choked_sandspit","6",6,0,2,8,0,28,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,717,0,0,0
"choked_sandspit_1","ZosCSSoldC16",2016,"choked","choked_sandspit","1",0,0,34,0,0,0,0,0,0,0,0,0,141,189,0,0,0,0,0,0,0,18,0,0,7,0,58,3,0,0,389,90,0,0,0
"choked_sandspit_3","ZosCSSoldE16",2016,"choked","choked_sandspit","3",83,0,0,46,0,43,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,25,15,0,0,0,446,0,0,0
"choked_sandspit_2","ZosCSSoldF16",2016,"choked","choked_sandspit","2",0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,16,0,0,0,6,0,0,0,403,288,0,0,0
"choked_sandspit_9","ZosCSSoldG16",2016,"choked","choked_sandspit","9",148,0,0,2,0,0,0,0,11,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,507,0,0,0
"choked_sandspit_7","ZosCSSoldH16",2016,"choked","choked_sandspit","7",0,0,97,4,0,53,0,0,0,0,36,0,0,0,0,7,0,0,0,0,0,0,47,0,6,0,25,0,0,17,40,649,0,0,0
"goose_south_east_3","ZosGSEoldB16",2016,"goose","goose_south_east","3",2,316,42,59,25,47,72,49,40,0,14,0,8,0,0,2,18,26,30,0,39,0,0,0,1,8,0,0,0,0,105,0,0,0,0
"goose_south_east_2","ZosGSEoldC16",2016,"goose","goose_south_east","2",13,186,11,2,44,0,71,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,301,0,0,16,0
"goose_south_east_1","ZosGSEoldD16",2016,"goose","goose_south_east","1",68,136,21,11,6,7,57,0,7,1,1,0,0,0,0,0,0,0,530,0,29,0,0,0,0,0,1,0,0,0,43,0,0,0,0
"goose_south_east_5","ZosGSEoldE16",2016,"goose","goose_south_east","5",12,600,5,1,78,3,54,23,17,0,0,0,0,0,0,0,6,0,12,0,14,0,0,0,0,0,0,0,0,0,135,0,0,0,0
"goose_south_east_8","ZosGSEoldF16",2016,"goose","goose_south_east","8",59,461,24,18,64,19,82,4,40,0,0,0,0,0,0,0,13,3,38,0,26,0,0,0,0,0,4,0,0,0,76,0,0,0,0
"goose_south_east_7","ZosGSEoldH16",2016,"goose","goose_south_east","7",113,128,21,30,49,45,185,5,17,0,0,0,0,0,0,0,14,1,65,0,4,0,0,0,0,0,0,0,0,0,302,0,0,0,0
"goose_south_west_5","ZosGSWoldA16",2016,"goose","goose_south_west","5",141,559,0,1,101,1,145,6,1,2,0,0,0,0,0,0,0,1,17,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0
"goose_south_west_4","ZosGSWoldB16",2016,"goose","goose_south_west","4",169,378,11,3,96,1,145,2,5,0,0,0,0,3,0,0,0,1,39,1,0,1,0,1,0,0,0,0,0,0,120,0,0,0,0
"goose_south_west_7","ZosGSWoldC16",2016,"goose","goose_south_west","7",53,622,10,7,24,6,20,0,5,1,2,0,0,9,0,0,0,4,31,3,11,0,0,13,0,0,0,0,0,2,117,0,0,0,0
"goose_south_west_6","ZosGSWoldD16",2016,"goose","goose_south_west","6",79,606,0,0,97,0,146,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"goose_south_west_3","ZosGSWoldE16",2016,"goose","goose_south_west","3",139,319,0,1,66,1,343,0,6,1,0,0,0,7,0,2,0,0,58,0,0,0,0,6,0,0,0,0,0,0,22,0,0,0,0
"goose_south_west_1","ZosGSWoldF16",2016,"goose","goose_south_west","1",132,479,4,4,56,2,127,7,5,0,0,0,0,0,0,0,0,1,20,0,0,0,0,22,0,0,0,0,0,0,27,1,0,0,0
"goose_south_west_2","ZosGSWoldG16",2016,"goose","goose_south_west","2",26,493,2,7,92,6,127,4,3,0,0,0,0,8,0,0,0,1,8,0,1,1,0,1,0,0,0,0,0,0,32,2,0,0,0
"goose_south_west_9","ZosGSWoldH16",2016,"goose","goose_south_west","9",58,582,6,10,40,12,132,10,8,0,2,0,0,14,0,1,0,0,23,2,1,0,0,0,4,0,0,0,0,1,48,0,4,0,0
"pruth_bay_1","ZosPBSoldA16",2016,"pruth","pruth_bay","1",1,429,14,10,206,14,0,1,3,64,0,7,5,0,36,3,14,8,0,0,0,0,0,0,1,15,0,2,0,0,6,0,0,15,7
"pruth_bay_2","ZosPBSoldB16",2016,"pruth","pruth_bay","2",1,215,0,1,9,3,57,1,0,25,4,0,0,541,0,0,0,1,0,0,0,12,0,0,0,2,0,1,26,0,0,0,0,2,0
"pruth_bay_3","ZosPBSoldC16",2016,"pruth","pruth_bay","3",18,99,6,0,20,34,0,7,1,41,13,4,0,314,99,20,0,0,0,0,2,28,3,0,0,4,0,3,2,3,48,0,10,40,1
"pruth_bay_4","ZosPBSoldD16",2016,"pruth","pruth_bay","4",3,297,12,34,21,41,0,98,3,9,8,4,3,0,75,29,0,9,0,0,11,0,0,0,23,14,20,5,66,0,32,0,29,72,6
"pruth_bay_8","ZosPBSoldE16",2016,"pruth","pruth_bay","8",0,25,6,2,27,55,0,17,2,184,11,15,0,0,4,15,0,9,0,0,0,0,0,0,6,49,1,0,61,1,51,0,254,31,19
"pruth_bay_6","ZosPBSoldF16",2016,"pruth","pruth_bay","6",58,79,25,71,19,30,0,13,0,62,83,27,3,1,1,9,5,3,0,0,2,0,0,0,2,55,22,0,8,0,7,0,26,62,37
"pruth_bay_5","ZosPBSoldG16",2016,"pruth","pruth_bay","5",6,239,3,70,122,38,0,27,1,45,12,2,6,0,0,10,0,14,0,0,15,0,0,0,3,13,0,10,0,0,18,0,206,94,1
"pruth_bay_7","ZosPBSoldH16",2016,"pruth","pruth_bay","7",1,0,19,89,195,51,0,41,0,23,9,20,4,0,26,19,0,23,0,0,6,0,0,0,14,6,5,8,22,0,39,0,55,200,4
"pruth_pocket_5","ZosPBPoldB16",2016,"pruth","pruth_pocket","5",9,112,17,8,33,22,48,24,0,40,5,7,0,0,0,0,352,2,14,102,4,61,0,0,0,0,0,0,84,1,14,0,0,0,2
"pruth_pocket_9","ZosPBPoldC16",2016,"pruth","pruth_pocket","9",0,0,31,0,0,1,0,8,0,13,9,0,2,0,0,20,0,0,0,49,0,12,0,0,8,0,0,8,6,0,23,0,5,2,7
"pruth_pocket_3","ZosPBPoldD16",2016,"pruth","pruth_pocket","3",0,52,28,0,20,34,0,0,0,142,7,13,0,0,14,12,10,2,0,13,0,28,0,0,3,6,3,2,18,6,39,0,160,0,33
"pruth_pocket_7","ZosPBPoldE16",2016,"pruth","pruth_pocket","7",0,55,6,1,16,0,0,0,0,28,0,2,0,0,0,0,354,0,11,250,1,83,0,0,0,1,0,0,114,0,0,0,0,0,2
"pruth_pocket_1","ZosPBPoldF16",2016,"pruth","pruth_pocket","1",0,7,28,0,28,12,0,11,0,263,27,12,1,3,0,6,1,0,0,70,6,21,0,0,5,19,0,22,3,0,2,0,326,3,39
"pruth_pocket_4","ZosPBPoldG16",2016,"pruth","pruth_pocket","4",0,0,28,3,117,23,0,0,0,191,17,0,0,86,0,9,36,0,0,176,0,95,0,0,0,0,0,11,12,5,94,0,0,13,0
"pruth_pocket_2","ZosPBPoldH16",2016,"pruth","pruth_pocket","2",0,0,17,27,0,125,3,33,0,66,102,0,0,15,0,49,0,0,0,55,34,88,0,0,33,18,0,0,30,11,65,0,0,18,17
"triquet_north_2","ZosTQNoldA16",2016,"triquet","triquet_north","2",32,730,0,0,153,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"triquet_north_8","ZosTQNoldB16",2016,"triquet","triquet_north","8",6,724,2,10,121,4,35,2,0,0,0,0,0,2,9,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0
"triquet_north_9","ZosTQNoldC16",2016,"triquet","triquet_north","9",32,696,0,17,22,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,45,0,1,0
"triquet_north_6","ZosTQNoldD16",2016,"triquet","triquet_north","6",6,916,0,1,54,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0
"triquet_north_1","ZosTQNoldE16",2016,"triquet","triquet_north","1",81,160,0,4,403,0,49,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0
"triquet_north_4","ZosTQNoldF16",2016,"triquet","triquet_north","4",134,621,0,0,5,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0
"triquet_north_5","ZosTQNoldG16",2016,"triquet","triquet_north","5",15,571,1,0,71,0,52,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,66,0,0,0,0,0,0,2,0,0,0,0
"triquet_north_3","ZosTQNoldH16",2016,"triquet","triquet_north","3",34,317,71,9,25,2,19,22,7,0,0,0,0,0,17,0,0,12,0,0,0,0,58,2,10,0,0,0,0,0,89,0,0,6,0
"triquet_south_2","ZosTQSoldA16",2016,"triquet","triquet_south","2",8,588,0,6,194,0,28,19,1,0,2,4,0,0,0,0,2,0,5,0,0,0,0,5,1,0,0,4,0,0,3,0,0,0,0
"triquet_south_4","ZosTQSoldB16",2016,"triquet","triquet_south","4",3,572,0,4,196,1,52,10,0,0,0,1,0,5,0,0,0,0,0,2,0,0,0,16,0,0,0,4,0,0,13,0,0,0,0
"triquet_south_8","ZosTQSoldC16",2016,"triquet","triquet_south","8",3,459,0,0,314,0,27,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0
"triquet_south_9","ZosTQSoldD16",2016,"triquet","triquet_south","9",22,757,0,1,18,0,68,0,0,0,0,0,0,0,0,0,1,0,24,0,0,0,0,18,0,0,0,0,0,0,65,7,0,0,0
"triquet_south_5","ZosTQSoldE16",2016,"triquet","triquet_south","5",24,634,0,7,93,0,65,7,0,0,0,4,0,0,0,0,0,0,7,2,0,0,0,12,0,0,0,0,0,0,6,4,0,0,0
"triquet_south_6","ZosTQSoldF16",2016,"triquet","triquet_south","6",11,860,0,0,5,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0
"triquet_south_1","ZosTQSoldG16",2016,"triquet","triquet_south","1",4,535,0,2,329,1,27,6,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,14,0,0,0,0,0,0,5,3,0,0,0
"triquet_south_3","ZosTQSoldH16",2016,"triquet","triquet_south","3",5,668,0,0,137,0,88,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0
"choked_inner_3","ZosCIoldC17",2017,"choked","choked_inner","3",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,11,0,0,0
"choked_sandspit_5","ZosCSSoldE18",2017,"choked","choked_sandspit","5",19,0,0,152,0,17,9,0,0,0,38,0,42,36,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,374,98,0,0,0
"pruth_pocket_5","ZosPBPoldE18",2017,"pruth","pruth_pocket","5",0,21,65,0,0,18,15,311,0,102,27,0,40,40,7,0,0,0,0,29,0,21,0,0,0,0,0,0,4,0,232,0,0,0,0
"pruth_pocket_5","ZosPBPolEE17",2017,"pruth","pruth_pocket","5",0,11,11,23,0,142,0,109,29,0,8,0,0,0,88,0,0,0,11,18,5,18,0,0,0,0,19,0,8,0,8,0,0,0,26
"triquet_north_5","ZosTQNoldD17",2017,"triquet","triquet_north","5",33,590,9,63,0,4,0,10,0,0,2,0,82,0,0,2,0,3,8,3,0,0,47,0,0,0,7,0,0,0,70,0,0,0,0
"triquet_south_1","ZosTQSoldB17",2017,"triquet","triquet_south","1",22,692,0,19,0,0,0,89,22,0,0,4,6,0,0,0,15,14,0,0,0,0,0,29,0,0,0,0,0,0,38,0,0,0,0
"triquet_south_3","ZosTQSoldC17",2017,"triquet","triquet_south","3",21,365,0,48,0,0,0,6,19,0,3,0,5,0,0,0,0,0,4,0,0,4,0,306,0,0,4,0,0,3,32,0,0,0,0
"triquet_south_5","ZosTQSolEE17",2017,"triquet","triquet_south","5",15,30,3,21,0,6,0,640,25,28,7,15,0,0,0,3,2,16,0,16,1,31,0,0,0,1,0,2,0,6,20,0,0,0,0
"choked_inner_1","ZosCIoldA18",2018,"choked","choked_inner","1",1,0,26,4,0,0,7,0,0,31,0,0,3,718,0,0,0,0,0,1,1,0,0,0,0,0,3,0,5,0,13,9,0,0,0
"choked_inner_2","ZosCIoldB18",2018,"choked","choked_inner","2",0,0,8,3,0,0,0,0,0,2,0,0,0,910,0,0,0,0,0,0,0,0,6,0,0,0,0,0,43,1,0,0,0,0,0
"choked_inner_3","ZosCIoldC18",2018,"choked","choked_inner","3",0,0,0,1,0,0,0,0,1,1,0,0,1,847,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0
"choked_inner_4","ZosCIoldD18",2018,"choked","choked_inner","4",0,0,0,1,0,0,0,0,0,1,0,0,1,950,0,0,0,0,0,0,0,0,4,0,0,0,2,0,26,0,1,0,0,0,0
"choked_inner_5","ZosCIoldE18",2018,"choked","choked_inner","5",0,0,0,0,0,0,0,0,0,72,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,47,4,0,0,0
"choked_inner_6","ZosCIoldF18",2018,"choked","choked_inner","6",0,0,7,0,0,0,6,0,0,17,0,0,0,824,0,0,0,0,0,0,0,0,1,0,0,0,2,0,42,0,3,0,0,0,0
"choked_sandspit_3","ZosCSSoldC18",2018,"choked","choked_sandspit","3",0,0,18,6,0,0,3,0,0,5,0,0,14,138,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,454,122,0,0,0
"choked_sandspit_4","ZosCSSoldD18",2018,"choked","choked_sandspit","4",0,0,20,38,0,0,77,0,1,42,5,1,79,498,0,0,0,0,0,1,0,0,0,0,2,0,12,1,50,3,4,11,0,0,0
"choked_sandspit_6","ZosCSSoldF18",2018,"choked","choked_sandspit","6",0,0,16,22,0,2,13,0,2,1,2,0,22,805,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,1,22,0,0,0
"pruth_bay_1","ZosPBSoldA18",2018,"pruth","pruth_bay","1",172,0,38,29,0,19,0,0,4,43,11,9,5,0,5,31,0,0,0,0,8,0,0,0,15,11,0,0,18,0,4,0,63,32,49
"pruth_bay_2","ZosPBSoldB18",2018,"pruth","pruth_bay","2",107,20,25,15,0,74,0,10,0,68,9,72,7,0,0,18,0,0,0,0,7,0,0,0,13,123,0,0,14,0,0,0,10,8,33
"pruth_bay_3","ZosPBSoldC18",2018,"pruth","pruth_bay","3",285,0,30,0,0,55,8,63,0,204,38,13,3,0,0,50,0,0,0,0,5,0,0,0,0,12,2,26,33,0,0,0,20,0,0
"pruth_bay_4","ZosPBSoldD18",2018,"pruth","pruth_bay","4",70,0,69,21,0,58,0,1,5,135,2,31,51,0,0,28,0,1,0,0,6,26,0,4,12,26,0,0,0,0,0,0,123,5,23
"pruth_bay_5","ZosPBSoldE18",2018,"pruth","pruth_bay","5",6,0,32,0,0,84,0,0,0,88,0,23,0,74,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,9,0,16
"pruth_pocket_1","ZosPBPoldA18",2018,"pruth","pruth_pocket","1",8,11,18,10,0,89,0,484,0,106,55,4,3,0,11,36,0,1,4,55,4,18,0,0,3,2,0,0,0,0,15,0,0,0,1
"pruth_pocket_2","ZosPBPoldB18",2018,"pruth","pruth_pocket","2",11,216,39,25,0,79,0,32,1,150,42,3,0,0,93,26,0,1,38,59,5,21,0,0,14,24,2,0,0,0,2,0,15,0,5
"pruth_pocket_3","ZosPBPoldC18",2018,"pruth","pruth_pocket","3",7,22,94,22,0,108,1,3,0,276,31,17,1,1,164,15,0,0,0,40,6,12,0,0,3,40,0,0,0,0,33,0,4,0,11
"pruth_pocket_4","ZosPBPoldD18",2018,"pruth","pruth_pocket","4",6,100,98,1,0,14,0,111,0,74,12,14,30,107,0,6,0,0,0,17,34,65,0,0,0,3,0,0,7,0,26,0,29,0,0
"triquet_north_1","ZosTQNoldA18",2018,"triquet","triquet_north","1",21,0,1,4,0,11,0,0,0,0,0,0,0,0,773,0,0,0,0,0,0,0,87,0,0,0,1,0,0,2,55,0,0,0,0
"triquet_north_2","ZosTQNoldB18",2018,"triquet","triquet_north","2",6,531,1,1,0,5,9,0,3,0,0,0,0,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0
