"site_quadrat_id","SampleID","year","region","site","meso_quadrat_id","Bacillariophyceae","Thraustochytriaceae","Peronosporomycetes_uncultured","Prorocentrales","Fragilariales","Cercozoa_Novel_Clade_Gran-1","Monogononta","Vampyrellidae","Suctoria","Peritrichia","Salpingoecidae","Coscinodiscophytina","Craspedida","Labyrinthulaceae","Heterotrichea","Ulotrichales","Centrohelida_H15-6","Chytridiaceae","Pedinellales","Dactylopodida","Centrohelida_CV1-B1-93","Lobulomycetaceae","Chrysomerophyceae","Cercozoa_Incertae_Sedis","Cercozoa_Novel_Clade_Gran-3","Melosirids","Oligohymenophorea","Sarcinochrysidales","Cercozoa","Cyrtophoria","Olpidiopsis","Copepoda","Prymnesium","Gymnodiniphycidae"
"triquet_north_5","ZosTQNoldB",2015,"triquet","triquet_north","5",4,3,58,668,1,0,90,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,7,0,0,0,0,0,5,0,99
"triquet_north_4","ZosTQNoldC",2015,"triquet","triquet_north","4",4,2,6,777,17,0,53,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,65,0,52
"triquet_north_2","ZosTQNoldD",2015,"triquet","triquet_north","2",0,6,33,358,8,4,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,133,0,438
"triquet_north_3","ZosTQNoldE",2015,"triquet","triquet_north","3",0,0,5,772,2,0,12,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,109,0,35
"triquet_north_1","ZosTQNoldF",2015,"triquet","triquet_north","1",4,1,2,709,5,0,82,3,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,8,0,0,122
"triquet_south_6","ZosTQSoldA",2015,"triquet","triquet_south","6",64,76,21,111,22,53,2,52,0,0,5,2,0,106,1,24,0,0,4,1,0,3,2,0,1,0,0,0,0,0,0,51,0,270
"triquet_south_5","ZosTQSoldB",2015,"triquet","triquet_south","5",3,7,9,130,9,0,69,43,0,0,0,0,0,4,0,6,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,95,0,437
"triquet_south_4","ZosTQSoldC",2015,"triquet","triquet_south","4",53,56,19,101,95,2,0,18,0,0,0,0,7,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,165
"triquet_south_3","ZosTQSoldD",2015,"triquet","triquet_south","3",55,115,0,56,26,71,0,209,0,0,3,0,10,111,2,8,0,0,0,10,0,2,6,0,3,0,0,0,0,0,0,14,0,182
"choked_sandspit_6","ZosCSSoldA16",2016,"choked","choked_sandspit","6",4,8,6,0,0,28,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,14,0,11
"choked_sandspit_1","ZosCSSoldC16",2016,"choked","choked_sandspit","1",75,58,0,0,18,0,0,0,189,0,0,0,0,141,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,90,389,0,0
"choked_sandspit_3","ZosCSSoldE16",2016,"choked","choked_sandspit","3",267,71,83,0,0,43,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0
"choked_sandspit_2","ZosCSSoldF16",2016,"choked","choked_sandspit","2",16,6,0,25,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,410,0,0
"choked_sandspit_9","ZosCSSoldG16",2016,"choked","choked_sandspit","9",0,2,148,0,0,0,0,0,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,94,0,23
"choked_sandspit_7","ZosCSSoldH16",2016,"choked","choked_sandspit","7",144,29,0,0,0,53,0,0,0,0,7,0,36,0,0,0,0,0,0,6,0,0,17,0,0,0,0,0,0,0,649,40,0,0
"goose_south_east_3","ZosGSEoldB16",2016,"goose","goose_south_east","3",48,71,2,316,0,47,72,49,0,66,41,0,14,8,0,18,26,30,0,1,8,0,0,0,0,0,0,0,0,0,0,105,0,25
"goose_south_east_2","ZosGSEoldC16",2016,"goose","goose_south_east","2",11,2,13,186,0,0,71,0,0,259,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,48
"goose_south_east_1","ZosGSEoldD16",2016,"goose","goose_south_east","1",21,16,68,136,9,7,57,0,0,8,29,1,1,0,0,0,0,530,0,0,0,0,0,0,0,2,0,0,0,0,0,43,0,6
"goose_south_east_5","ZosGSEoldE16",2016,"goose","goose_south_east","5",8,1,12,600,0,3,54,23,0,18,14,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,135,0,78
"goose_south_east_8","ZosGSEoldF16",2016,"goose","goose_south_east","8",24,22,59,461,0,19,82,4,0,40,26,0,0,0,0,13,3,38,0,0,0,0,0,0,0,0,0,6,0,0,0,76,0,64
"goose_south_east_7","ZosGSEoldH16",2016,"goose","goose_south_east","7",22,39,113,128,2,45,185,5,0,20,4,0,0,0,0,14,1,65,0,0,0,0,0,0,0,0,1,0,0,0,0,303,0,49
"goose_south_west_5","ZosGSWoldA16",2016,"goose","goose_south_west","5",0,1,141,559,0,1,145,6,0,1,0,2,0,0,0,0,1,17,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,101
"goose_south_west_4","ZosGSWoldB16",2016,"goose","goose_south_west","4",11,3,169,378,5,1,145,2,3,5,0,0,0,0,0,0,1,39,1,0,0,0,0,0,0,0,0,2,0,0,0,120,0,96
"goose_south_west_7","ZosGSWoldC16",2016,"goose","goose_south_west","7",10,7,53,622,6,6,20,0,9,5,11,1,2,0,0,0,4,31,13,0,0,0,2,0,0,0,0,2,0,0,0,117,0,24
"goose_south_west_6","ZosGSWoldD16",2016,"goose","goose_south_west","6",2,0,86,606,0,0,146,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,97
"goose_south_west_3","ZosGSWoldE16",2016,"goose","goose_south_west","3",0,2,139,319,0,1,343,0,7,6,2,1,0,0,0,0,0,58,6,0,0,0,0,0,0,5,0,0,0,0,0,22,0,66
"goose_south_west_1","ZosGSWoldF16",2016,"goose","goose_south_west","1",4,4,151,479,0,2,127,7,0,5,0,0,0,0,0,0,1,20,22,0,0,2,0,0,0,0,0,1,0,0,6,27,0,56
"goose_south_west_2","ZosGSWoldG16",2016,"goose","goose_south_west","2",2,7,36,493,1,6,127,4,8,3,1,0,0,0,0,0,1,8,1,0,0,1,0,0,0,0,0,0,0,0,8,32,0,92
"goose_south_west_9","ZosGSWoldH16",2016,"goose","goose_south_west","9",14,10,58,582,9,12,132,10,14,8,2,0,2,0,0,0,0,23,0,4,0,0,1,0,0,0,0,0,0,0,5,48,0,44
"pruth_bay_1","ZosPBSoldA16",2016,"pruth","pruth_bay","1",25,12,1,429,4,14,0,1,26,3,3,64,0,5,36,14,8,0,0,1,15,10,0,7,21,0,0,0,4,1,0,8,0,206
"pruth_bay_2","ZosPBSoldB16",2016,"pruth","pruth_bay","2",1,1,1,215,22,3,57,1,647,0,0,25,4,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,9
"pruth_bay_3","ZosPBSoldC16",2016,"pruth","pruth_bay","3",29,0,18,99,43,34,0,7,319,35,22,41,13,0,99,0,0,0,0,0,4,0,3,1,0,0,0,0,2,2,0,50,14,22
"pruth_bay_4","ZosPBSoldD16",2016,"pruth","pruth_bay","4",53,58,3,297,0,41,0,98,66,3,40,9,8,3,75,0,9,0,0,23,14,16,0,6,0,0,0,0,0,0,0,36,0,21
"pruth_bay_8","ZosPBSoldE16",2016,"pruth","pruth_bay","8",282,3,0,25,0,55,0,17,71,2,15,184,11,0,4,0,9,0,0,6,49,48,1,19,0,0,32,0,5,0,0,52,11,33
"pruth_bay_6","ZosPBSoldF16",2016,"pruth","pruth_bay","6",92,116,58,79,2,30,0,13,9,0,11,62,83,3,1,5,3,0,0,2,55,55,0,43,13,0,0,0,14,4,0,8,117,21
"pruth_bay_5","ZosPBSoldG16",2016,"pruth","pruth_bay","5",221,70,6,239,0,38,0,27,0,1,25,45,12,6,0,0,14,0,0,3,13,24,0,1,0,0,4,0,0,5,0,18,3,122
