Cast PK,File PK,Hakai_ID,Filename,CTD model,CTD serial number,CTD firmware version,Cruise,Station,Station Longitude,Station Latitude,Distance from station,Location Flag,Drop number,Start time,Drop time (s),Drop depth (m),Target depth (m),Drop speed (m/s),Bottom time,Operators,Comments,Cast Type,Sensors Submerged,Water Depth (m),Soak Start,Soak End,Weather
3929,1623,018032_2015-03-15T19:38:43.500Z,018032_20150315_1440,XRX-620,18032,6.81,QCSD2015,KFPS08,-128.1243,51.6803,3.88026232,,,2015-03-15 12:38:43.500,16,16.10829185,14,1.039244203,2015-03-15 12:38:59.000,"Nelson Roberts,Lawren McNab,Bryn Fedje",,,,,Invalid date,Invalid date,
3930,1623,018032_2015-03-15T20:19:28.000Z,018032_20150315_1440,XRX-620,18032,6.81,QCSD2015,KFPS04,-128.1171,51.6796,4.36257589,,,2015-03-15 13:19:28.000,14,13.94472433,13,0.996052131,2015-03-15 13:19:42.000,"Nelson Roberts,Lawren McNab,Bryn Fedje",,,,,Invalid date,Invalid date,
3980,1630,018032_2015-03-22T19:06:16.500Z,018032_20150322_1344,XRX-620,18032,6.81,QCSD,KFPS08,-128.1243,51.6803,3.88026232,,,2015-03-22 12:06:16.667,13,13.80532027,14,1.075767841,2015-03-22 12:06:29.500,"Nelson Roberts,Lawren McNab,Bryn Fedje",,,,,Invalid date,Invalid date,
3981,1630,018032_2015-03-22T19:11:07.833Z,018032_20150322_1344,XRX-620,18032,6.81,QCSD,KFPS04,-128.1171,51.6796,4.36257589,,,2015-03-22 12:11:07.833,21,14.00763431,13,0.672344775,2015-03-22 12:11:28.667,"Nelson Roberts,Lawren McNab,Bryn Fedje",,,,,Invalid date,Invalid date,
4042,1644,018032_2015-04-05T20:37:26.166Z,018032_20150405_1506,XRX-620,18032,6.81,QCSD,KFPS08,-128.1243,51.6803,3.88026232,,,2015-04-05 13:37:26.333,15,16.76242564,14,1.081447067,2015-04-05 13:37:41.833,"Nelson Roberts,Lawren McNab,Lucy Qualey",,,,,Invalid date,Invalid date,
4043,1644,018032_2015-04-05T20:45:07.000Z,018032_20150405_1506,XRX-620,18032,6.81,QCSD,KFPS04,-128.1171,51.6796,4.36257589,,,2015-04-05 13:45:07.000,23,14.40037534,13,0.635329347,2015-04-05 13:45:29.666,"Nelson Roberts,Lawren McNab,Lucy Qualey",,,,,Invalid date,Invalid date,
4077,1649,018032_2015-04-10T16:49:59.501Z,018032_20150410_1256,XRX-620,18032,6.81,QCSD,KFPS04,-128.1171,51.6796,4.36257589,,,2015-04-10 09:49:59.667,33,13.95841527,13,0.416669121,2015-04-10 09:50:33.167,"Nelson Roberts,Lawren McNab,Bryn Fedje",,,,,Invalid date,Invalid date,
4078,1649,018032_2015-04-10T17:21:40.833Z,018032_20150410_1256,XRX-620,18032,6.81,QCSD,KFPS08,-128.1243,51.6803,3.88026232,,,2015-04-10 10:21:40.833,13,14.25755278,14,1.056115241,2015-04-10 10:21:54.333,"Nelson Roberts,Lawren McNab,Bryn Fedje",,,,,Invalid date,Invalid date,
4162,1659,018032_2015-04-25T19:58:33.167Z,018032_20150425_2045,XRX-620,18032,6.81,QCSD,KFPS08,-128.1243,51.6803,3.88026232,,,2015-04-25 12:58:33.167,13,12.53848147,14,0.928776599,2015-04-25 12:58:46.667,"Lawren McNab,Bryn Fedje,Lucy Qualey",,,,,Invalid date,Invalid date,
4163,1659,018032_2015-04-25T20:07:25.834Z,018032_20150425_2045,XRX-620,18032,6.81,QCSD,KFPS04,-128.1171,51.6796,4.36257589,,,2015-04-25 13:07:26.167,13,11.69904057,13,0.92358414,2015-04-25 13:07:38.834,"Lawren McNab,Bryn Fedje,Lucy Qualey",,,,,Invalid date,Invalid date,
