sample_names(all_years_16S_filtered),x,year,
asuCPW10,2015:07:07,2015,
asuCPW2,2015:07:07,2015,
asuCPW23,2015:06:25,2015,
asuCPW30,2015:06:25,2015,
asuCPW5,2015:07:07,2015,
asuCPW67,2015:06:25,2015,
asuCPW70,2015:06:25,2015,
asuCPWedge,2015:07:07,2015,
asuCPWinner,2015:07:07,2015,
AugZosAmbtEdge1,2015:08:09,2015,
AugZosAmbtEdge2,2015:08:09,2015,
AugZosAmbtInner1,2015:08:09,2015,
AugZosAmbtInner2,2015:08:09,2015,
AugZosEdgeB,2015:08:09,2015,
AugZosEdgeC,2015:08:09,2015,
AugZosEdgeD,2015:08:09,2015,
AugZosEdgeF,2015:08:09,2015,
AugZosEdgeH,2015:08:09,2015,
AugZosEdgeK,2015:08:09,2015,
AugZosInnerA,2015:08:09,2015,
AugZosInnerD,2015:08:09,2015,
AugZosInnerF,2015:08:09,2015,
AugZosInnerG,2015:08:09,2015,
AugZosInnerH,2015:08:09,2015,
AugZosInnerK,2015:08:09,2015,
BryzCISa,2015:05:29,2015,
BryzCISb,2015:05:29,2015,
BryzCISd,2015:05:29,2015,
BryzCISe,2015:05:29,2015,
Cap.1.D.1,2015:08:05,2015,
Cap.1.D.2,2015:08:05,2015,
Cap.1.D.3,2015:08:05,2015,
Cap.1.D.4,2015:08:05,2015,
Cap.1.D.5,2015:08:05,2015,
Cap.1.D.6,2015:08:05,2015,
CS.1.X.4,2015:08:05,2015,
EXT_NEG_2017_PLATE_8_H12,NA,NA,
EXT_NEG_2018_PLATE_B_H9,NA,NA,
GS.1.C.1,2015:08:05,2015,
GS.1.C.2,2015:08:05,2015,
GS.1.C.3,2015:08:05,2015,
GS.1.C.4,2015:08:05,2015,
Idotea.1.A.1,2015:08:05,2015,
Idotea.1.A.2,2015:08:05,2015,
Idotea.1.A.5,2015:08:05,2015,
Idotea.1.A.6,2015:08:05,2015,
Idotea.1.A.7,2015:08:07,2015,
Idotea.1.A.8,2015:08:07,2015,
Idotea.1.F.1,2015:08:05,2015,
Idotea.1.F.2,2015:08:05,2015,
Idotea.1.F.3,2015:08:05,2015,
JulyZosEdgeB,2015:07:10,2015,
JulyZosEdgeC,2015:07:10,2015,
JulyZosEdgeF,2015:07:10,2015,
JulyZosEdgeH,2015:07:10,2015,
JulyZosEdgeK,2015:07:10,2015,
JulyZosInnerA,2015:07:10,2015,
JulyZosInnerD,2015:07:10,2015,
JulyZosInnerF,2015:07:10,2015,
JulyZosInnerG,2015:07:10,2015,
JulyZosInnerH,2015:07:10,2015,
JulyZosInnerK,2015:07:10,2015,
KC.2.D.2,2015:08:07,2015,
KC.2.D.3,2015:08:07,2015,
KC.2.D.4,2015:08:07,2015,
RS.1.B.4,2015:08:05,2015,
sea4_blank01,na,NA,
sea5_blank01,7-8-2016,2016,
sea5_blank02,7-8-2016,2016,
sea5_pcrblank,7-8-2016,2016,
SedCIA17,04-07-2017,2017,
SedCIA18,27-Jun-18,2018,
SedCIB18,27-Jun-18,2018,
SedCIC17,04-07-2017,2017,
SedCIC18,27-Jun-18,2018,
SedCID17,04-07-2017,2017,
SedCID18,27-Jun-18,2018,
SedCIE17,04-07-2017,2017,
SedCIE18,27-Jun-18,2018,
SedCIF18,27-Jun-18,2018,
SedCIG17,04-07-2017,2017,
SedCSSA17,01-07-2017,2017,
SedCSSA18,23-Jun-18,2018,
SedCSSB17,01-07-2017,2017,
SedCSSB18,23-Jun-18,2018,
SedCSSC17,01-07-2017,2017,
SedCSSD17,01-07-2017,2017,
SedCSSD18,23-Jun-18,2018,
SedCSSE18,23-Jun-18,2018,
SedCSSF17,01-07-2017,2017,
SedCSSF18,23-Jun-18,2018,
SedPBPA17,05-07-2017,2017,
SedPBPA18,28-Jun-18,2018,
SedPBPB17,05-07-2017,2017,
SedPBPB18,28-Jun-18,2018,
SedPBPC17,05-07-2017,2017,
SedPBPC18,28-Jun-18,2018,
SedPBPD17,05-07-2017,2017,
SedPBPD18,28-Jun-18,2018,
SedPBPE17,05-07-2017,2017,
SedPBPE18,28-Jun-18,2018,
SedPBPF18,28-Jun-18,2018,
SedPBSA17,01-07-2017,2017,
SedPBSA18,22-Jun-18,2018,
SedPBSB17,01-07-2017,2017,
SedPBSB18,22-Jun-18,2018,
