"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Accession"
"ASV4","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","uncultured","uncultured_gamma_proteobacterium","AB597540.1.1539"
"ASV5","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","Psychrobacter_sp._Mad7.1","JX436428.1.1359"
"ASV6","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylophilus","Methylophilus_sp._EM8","AY436800.1.1430"
"ASV11","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","uncultured","uncultured_bacterium","AB530225.1.1511"
"ASV13","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio_sp._hMe-34","JX411932.1.1394"
"ASV14","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera","uncultured_soil_bacterium","FQ658785.1.1358"
"ASV15","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","uncultured_Flavobacterium_sp.","FJ745252.1.1367"
"ASV17","Bacteria","Actinobacteria","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus_Actinomarina","uncultured_bacterium",NA
"ASV18","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Cocleimonas","uncultured_bacterium","JQ200201.1.1364"
"ASV19","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_sp._KJF12-1","JQ800198.1.1497"
"ASV20","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","uncultured","uncultured_Methylophaga_sp.","JQ279021.1.1497"
"ASV21","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter_sp._MGE_SAT_274","JX854411.1.1342"
"ASV22","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter","uncultured_bacterium","JQ195040.1.1282"
"ASV24","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_bacterium","AB476288.1.1448"
"ASV27","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","uncultured","uncultured_bacterium","FJ999602.1.1373"
"ASV28","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","Granulosicoccus","uncultured_proteobacterium","JQ218705.1.1493"
"ASV30","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","uncultured","uncultured_Methylophaga_sp.","JQ279047.1.1497"
"ASV33","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Leucothrix","uncultured_bacterium",NA
"ASV36","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group","uncultured_bacterium","JQ194858.1.1360"
"ASV37","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","Granulosicoccus","uncultured_proteobacterium","JQ218703.1.1493"
"ASV39","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Marinomonadaceae","Marinomonas","Marinomonas_aquiplantarum","EU188447.1.1393"
"ASV40","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Cocleimonas","uncultured_bacterium","JQ200201.1.1364"
"ASV42","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ascidiaceihabitans","uncultured_Sulfitobacter_sp.","FJ744918.1.1295"
"ASV43","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hellea","uncultured_marine_bacterium","FJ825915.1.1422"
"ASV46","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)_clade","uncultured_bacterium","JQ195109.1.1356"
"ASV47","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","uncultured_bacterium","JQ199855.1.1305"
"ASV48","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_sp._Hel1_85","JX854147.1.1280"
"ASV49","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter","alpha_proteobacterium_SF82","GU061008.1.1327"
"ASV50","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","uncultured_Flavobacteriia_bacterium","FN433442.1.1489"
"ASV51","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_bacterium","AB476201.1.1445"
"ASV52","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flaviramulus","marine_bacterium_J20-17","GU991524.1.1497"
"ASV53","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","Tenacibaculum_sp._MaP4","JX436441.1.1263"
"ASV54","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","uncultured","uncultured_bacterium","FJ999602.1.1373"
"ASV57","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","uncultured_gamma_proteobacterium","uncultured_gamma_proteobacterium","uncultured_gamma_proteobacterium","FJ745006.1.1369"
"ASV60","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella_aquimarina","JX005841.1.1443"
"ASV61","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter","Sulfitobacter_sp._IS1","AY967725.1.1373"
"ASV62","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","uncultured_bacterium","JQ195248.1.1306"
"ASV63","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_bacterium","JQ215151.1.1349"
"ASV65","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Ulvibacter","uncultured_Flavobacteriia_bacterium","FN433370.1.1478"
"ASV66","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_bacterium",NA
"ASV68","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","Granulosicoccus","uncultured_proteobacterium","JQ218703.1.1493"
"ASV69","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_bacterium","AB476226.1.1449"
