"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Accession"
"ASV945","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae",NA,NA,NA
"ASV953","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae",NA,NA,NA
"ASV959","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae",NA,NA,NA
"ASV971","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","uncultured",NA,NA,NA
"ASV989","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","uncultured_bacterium",NA,NA,NA
"ASV996","Bacteria","Aegiribacteria","uncultured_bacterium","uncultured_bacterium","uncultured_bacterium",NA,NA,NA
"ASV1012","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XII",NA,NA,NA
"ASV1016","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","uncultured_bacterium",NA,NA,NA
"ASV1017","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","PS1_clade",NA,NA,NA
"ASV1018","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","uncultured_bacterium",NA,NA,NA
"ASV1023","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA,NA
"ASV1033","Bacteria","Planctomycetes","BD7-11","uncultured_bacterium","uncultured_bacterium",NA,NA,NA
"ASV1036","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae",NA,NA,NA
"ASV1068","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A_clade","marine_gamma_proteobacterium_HTCC2089",NA,NA,NA
"ASV1070","Bacteria","Actinobacteria","Actinobacteria","PeM15","uncultured_soil_bacterium",NA,NA,NA
"ASV1087","Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59","uncultured_sediment_bacterium",NA,NA,NA
"ASV1119","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",NA,NA,NA
"ASV1128","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA,NA
"ASV1144","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae",NA,NA,NA
"ASV1148","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA,NA,NA
"ASV1158","Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353_marine_group","uncultured_marine_bacterium",NA,NA,NA
"ASV1164","Bacteria","Verrucomicrobia","Verrucomicrobiae","LD1-PB3","uncultured_rumen_bacterium",NA,NA,NA
"ASV1199","Bacteria","Gemmatimonadetes","BD2-11_terrestrial_group","uncultured_bacterium","uncultured_bacterium",NA,NA,NA
"ASV1200","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,NA
"ASV1207","Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353_marine_group","uncultured_gamma_proteobacterium",NA,NA,NA
"ASV1214","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group",NA,NA,NA
"ASV1225","Bacteria","Proteobacteria","Gammaproteobacteria","OM182_clade","uncultured_bacterium",NA,NA,NA
"ASV1229","Bacteria","Modulibacteria","Moduliflexia","Moduliflexales","Moduliflexaceae",NA,NA,NA
"ASV1254","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","uncultured_delta_proteobacterium",NA,NA,NA
"ASV1328","Bacteria","Acidobacteria","Subgroup_22","uncultured_delta_proteobacterium","uncultured_delta_proteobacterium",NA,NA,NA
"ASV1330","Bacteria","Actinobacteria","Actinobacteria","PeM15","uncultured_Actinomycetales_bacterium",NA,NA,NA
"ASV1335","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae",NA,NA,NA
"ASV1358","Bacteria","Planctomycetes","OM190","unidentified_planctomycete","unidentified_planctomycete",NA,NA,NA
"ASV1380","Bacteria","Cloacimonetes","Cloacimonadia","Cloacimonadales","MSBL8",NA,NA,NA
"ASV1382","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae",NA,NA,NA
"ASV1394","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae",NA,NA,NA
"ASV1405","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","OCS116_clade",NA,NA,NA
"ASV1417","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae",NA,NA,NA
"ASV1418","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae",NA,NA,NA
"ASV1426","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Moritellaceae",NA,NA,NA
"ASV1483","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae",NA,NA,NA
"ASV1487","Bacteria","Gemmatimonadetes","PAUC43f_marine_benthic_group","uncultured_bacterium","uncultured_bacterium",NA,NA,NA
"ASV1503","Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","uncultured_bacterium",NA,NA,NA
"ASV1510","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidetes_VC2.1_Bac22","uncultured_bacterium",NA,NA,NA
"ASV1548","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae",NA,NA,NA
"ASV1574","Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j","uncultured_Acidobacteria_bacterium",NA,NA,NA
"ASV1639","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae",NA,NA,NA
"ASV1668","Bacteria","Acidobacteria","Subgroup_17","uncultured_bacterium","uncultured_bacterium",NA,NA,NA
"ASV1677","Bacteria","Marinimicrobia_(SAR406_clade)","uncultured_bacterium","uncultured_bacterium","uncultured_bacterium",NA,NA,NA
"ASV1700","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured",NA,NA,NA
"ASV1702","Bacteria","Acidobacteria","Subgroup_21","uncultured_Acidobacteria_bacterium","uncultured_Acidobacteria_bacterium",NA,NA,NA
"ASV1708","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA,NA
"ASV1794","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfarculales","Desulfarculaceae",NA,NA,NA
"ASV1795","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae",NA,NA,NA
"ASV1798","Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae",NA,NA,NA
"ASV1870","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae",NA,NA,NA
"ASV1879","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gimesiaceae",NA,NA,NA
"ASV1925","Bacteria","Chloroflexi","KD4-96","uncultured_bacterium","uncultured_bacterium",NA,NA,NA
"ASV1964","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae",NA,NA,NA
