sample_names(all_years_16S_filtered),year,growth
ZosCFInewG16,2016,new
ZosCFInewH16,2016,new
ZosCFIoldB16,2016,old
ZosCFIoldF16,2016,old
ZosCFIrzmH16,2016,NA
ZosCInewA17,2017,new
ZosCInewA18,2018,new
ZosCInewB17,2017,new
ZosCInewB18,2018,new
ZosCInewC17,2017,new
ZosCInewC18,2018,new
ZosCInewD17,2017,new
ZosCInewD18,2018,new
ZosCInewE17,2017,new
ZosCInewE18,2018,new
ZosCInewF18,2018,new
ZosCIoldA17,2017,old
ZosCIoldA18,2018,old
ZosCIoldB17,2017,old
ZosCIoldB18,2018,old
ZosCIoldC17,2017,old
ZosCIoldC18,2018,old
ZosCIoldD17,2017,old
ZosCIoldD18,2018,old
ZosCIoldF18,2018,old
ZosCIrhrA17,2017,NA
ZosCIrhrA18,2018,NA
ZosCIrhrB17,2017,NA
ZosCIrhrB18,2018,NA
ZosCIrhrC17,2017,NA
ZosCIrhrC18,2018,NA
ZosCIrhrD18,2018,NA
ZosCIrhrE17,2017,NA
ZosCIrhrE18,2018,NA
ZosCIrhrF18,2018,NA
ZosCISnewA,2015,new
ZosCISnewB,2015,new
ZosCISnewC,2015,new
ZosCISnewD,2015,new
ZosCISnewE,2015,new
ZosCISoldA,2015,old
ZosCISoldB,2015,old
ZosCISoldC,2015,old
ZosCISoldD,2015,old
ZosCISoldE,2015,old
ZosCITtrans1a1,2015,old
ZosCITtrans1a2,2015,old
ZosCITtrans1Amb1,2015,old
ZosCITtrans1Amb2,2015,old
ZosCITtrans1Amb3,2015,old
ZosCITtrans1b1,2015,old
ZosCITtrans1b2,2015,old
ZosCITtrans1c1,2015,old
ZosCITtrans1c2,2015,old
ZosCPWnewA,2015,new
ZosCPWnewB,2015,new
ZosCPWnewC,2015,new
ZosCPWnewD,2015,new
ZosCPWnewE,2015,new
ZosCPWnewF,2015,new
ZosCPWoldA,2015,old
ZosCPWoldB,2015,old
ZosCPWoldC,2015,old
ZosCPWoldD,2015,old
ZosCPWoldE,2015,old
ZosCPWoldF,2015,old
ZosCSPE,2015,NA
ZosCSPF,2015,NA
ZosCSPnewA,2015,new
ZosCSPnewB,2015,new
ZosCSPnewB2,2015,new
ZosCSPnewC,2015,new
ZosCSPnewD,2015,new
ZosCSPnewE,2015,new
ZosCSPnewG,2015,new
ZosCSPnewH,2015,new
ZosCSPnewL,2015,new
ZosCSPnewM,2015,new
ZosCSPoldA,2015,old
ZosCSPoldB,2015,old
ZosCSPoldC,2015,old
ZosCSPoldF,2015,old
ZosCSPoldG,2015,old
ZosCSPoldH,2015,old
ZosCSPoldL,2015,old
ZosCSPoldM,2015,old
ZosCSPtrans2a1,2015,old
ZosCSPtrans2a2,2015,old
ZosCSPtrans2b1,2015,old
ZosCSPtrans2b2,2015,old
ZosCSPtrans2c1,2015,old
ZosCSPtrans3a1,2015,old
ZosCSPtrans3a2,2015,old
ZosCSPtrans3Amb1,2015,old
ZosCSPtrans3Amb2,2015,old
ZosCSPtrans3Amb3,2015,old
ZosCSPtrans3b1,2015,old
ZosCSPtrans3c1,2015,old
ZosCSSnewA,2015,new
ZosCSSnewA16,2016,new
ZosCSSnewA18,2018,new
ZosCSSnewB,2015,new
ZosCSSnewB16,2016,new
ZosCSSnewC,2015,new
ZosCSSnewC16,2016,new
ZosCSSnewC18,2018,new
ZosCSSnewD16,2016,new
ZosCSSnewD18,2018,new
ZosCSSnewE,2015,new
ZosCSSnewE16,2016,new
ZosCSSnewF,2015,new
ZosCSSnewF16,2016,new
ZosCSSnewF17,2017,new
ZosCSSnewF18,2018,new
ZosCSSnewG16,2016,new
ZosCSSnewH16,2016,new
ZosCSSoldA,2015,old
ZosCSSoldA16,2016,old
ZosCSSoldA17,2017,old
ZosCSSoldA18,2018,old
ZosCSSoldB,2015,old
ZosCSSoldB16,2016,old
ZosCSSoldB17,2017,old
ZosCSSoldB18,2018,old
ZosCSSoldC,2015,old
ZosCSSoldC16,2016,old
ZosCSSoldC17,2017,old
ZosCSSoldC18,2018,old
ZosCSSoldD,2015,old
ZosCSSoldD17,2017,old
ZosCSSoldD18,2018,old
ZosCSSoldE,2015,old
ZosCSSoldE16,2016,old
ZosCSSoldE18,2018,old
ZosCSSoldF,2015,old
ZosCSSoldF16,2016,old
ZosCSSoldF18,2018,old
ZosCSSoldG16,2016,old
ZosCSSoldH16,2016,old
ZosCSSolFF17,2017,old
ZosCSSrhrA17,2017,NA
ZosCSSrhrA18,2018,NA
ZosCSSrhrB17,2017,NA
ZosCSSrhrB18,2018,NA
ZosCSSrhrC17,2017,NA
ZosCSSrhrC18,2018,NA
ZosCSSrhrD17,2017,NA
ZosCSSrhrD18,2018,NA
ZosCSSrhrE18,2018,NA
ZosCSSrhrF17,2017,NA
ZosCSSrhrF18,2018,NA
ZosCSSrzmB16,2016,NA
ZosCSSrzmC16,2016,NA
ZosCSSrzmD16,2016,NA
ZosCSSrzmE16,2016,NA
ZosCSSrzmF16,2016,NA
ZosCSSrzmG16,2016,NA
ZosCSSrzmH16,2016,NA
ZosGSEnewA,2015,new
ZosGSEnewA16,2016,new
ZosGSEnewB,2015,new
ZosGSEnewB16,2016,new
ZosGSEnewC,2015,new
ZosGSEnewC16,2016,new
ZosGSEnewD,2015,new
ZosGSEnewE,2015,new
ZosGSEnewH16,2016,new
ZosGSEoldA,2015,old
ZosGSEoldB,2015,old
ZosGSEoldB16,2016,old
ZosGSEoldC,2015,old
ZosGSEoldC16,2016,old
ZosGSEoldD,2015,old
ZosGSEoldD16,2016,old
ZosGSEoldE,2015,old
ZosGSEoldF,2015,old
ZosGSEoldF16,2016,old
ZosGSEoldH16,2016,old
ZosGSWnewA,2015,new
ZosGSWnewA16,2016,new
ZosGSWnewB,2015,new
ZosGSWnewB16,2016,new
ZosGSWnewC,2015,new
ZosGSWnewC16,2016,new
ZosGSWnewD,2015,new
ZosGSWnewD16,2016,new
ZosGSWnewE,2015,new
ZosGSWnewE16,2016,new
ZosGSWnewF,2015,new
ZosGSWnewF16,2016,new
ZosGSWnewG16,2016,new
ZosGSWoldA,2015,old
ZosGSWoldA16,2016,old
ZosGSWoldB,2015,old
ZosGSWoldB16,2016,old
ZosGSWoldC,2015,old
ZosGSWoldC16,2016,old
ZosGSWoldD,2015,old
ZosGSWoldD16,2016,old
ZosGSWoldE,2015,old
ZosGSWoldF,2015,old
ZosGSWoldF16,2016,old
ZosGSWoldG16,2016,old
ZosGSWoldH16,2016,old
ZosMcNnewA,2015,new
ZosMcNnewB,2015,new
ZosMcNnewC,2015,new
ZosMcNnewD,2015,new
ZosMcNnewE,2015,new
ZosMcNnewF,2015,new
ZosMcNnewF16,2016,new
ZosMcNoldA,2015,old
ZosMcNoldA16,2016,old
ZosMcNoldB,2015,old
ZosMcNoldB16,2016,old
ZosMcNoldC,2015,old
ZosMcNoldC16,2016,old
ZosMcNoldD,2015,old
ZosMcNoldD16,2016,old
ZosMcNoldE,2015,old
ZosMcNoldE16,2016,old
ZosMcNoldF,2015,old
ZosMcNoldF16,2016,old
ZosMcSnewA,2015,new
ZosMcSnewB,2015,new
ZosMcSnewC,2015,new
ZosMcSnewD,2015,new
ZosMcSnewE,2015,new
ZosMcSnewF,2015,new
ZosMcSoldA,2015,old
ZosMcSoldA16,2016,old
ZosMcSoldB,2015,old
ZosMcSoldB16,2016,old
ZosMcSoldC,2015,old
ZosMcSoldC16,2016,old
ZosMcSoldD,2015,old
ZosMcSoldD16,2016,old
ZosMcSoldE,2015,old
ZosMcSoldE16,2016,old
ZosMcSoldF,2015,old
ZosMcSoldF16,2016,old
ZosPBPnewA16,2016,new
ZosPBPnewB16,2016,new
ZosPBPnewB17,2017,new
ZosPBPnewC16,2016,new
ZosPBPnewC17,2017,new
ZosPBPnewC18,2018,new
ZosPBPnewD16,2016,new
ZosPBPnewD17,2017,new
ZosPBPnewD18,2018,new
ZosPBPnewE16,2016,new
ZosPBPnewE17,2017,new
ZosPBPnewE18,2018,new
ZosPBPnewG16,2016,new
ZosPBPnewH16,2016,new
