SampleID,ZosCIoldA17,ZosCIoldB17,ZosCIoldC17,ZosCIoldD17,ZosCSSoldA17,ZosCSSoldB17,ZosCSSoldC17,ZosCSSoldD17,ZosCSSolFF17,ZosPBSoldA17,ZosPBSoldC17,ZosPBSolEE17,ZosPBSoldB17,ZosPBSoldD17,ZosPBPoldA17,ZosPBPoldB17,ZosPBPoldC17,ZosPBPoldD17,ZosPBPolEE17,ZosTQNoldB17,ZosTQNoldA17,ZosTQNoldC17,ZosTQNolEE17,ZosTQNoldD17,ZosTQSoldB17,ZosTQSoldA17,ZosTQSoldC17,ZosTQSoldD17
ZosCIoldA17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosCIoldB17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosCIoldC17,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosCIoldD17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosCSSoldA17,548,548,548,548,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosCSSoldB17,548,548,548,548,548,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosCSSoldC17,548,548,548,548,548,548,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosCSSoldD17,548,548,548,548,548,548,548,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosCSSolFF17,548,548,548,548,548,548,548,548,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldA17,9780,9780,9780,9780,9378,9378,9378,9378,9378,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldC17,9780,9780,9780,9780,9378,9378,9378,9378,9378,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSolEE17,9780,9780,9780,9780,9378,9378,9378,9378,9378,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldB17,9780,9780,9780,9780,9378,9378,9378,9378,9378,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldD17,9780,9780,9780,9780,9378,9378,9378,9378,9378,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldA17,9896,9896,9896,9896,9514,9514,9514,9514,9514,1814,1814,1814,1814,1814,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldB17,9896,9896,9896,9896,9514,9514,9514,9514,9514,1814,1814,1814,1814,1814,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldC17,9896,9896,9896,9896,9514,9514,9514,9514,9514,1814,1814,1814,1814,1814,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldD17,9896,9896,9896,9896,9514,9514,9514,9514,9514,1814,1814,1814,1814,1814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPolEE17,9896,9896,9896,9896,9514,9514,9514,9514,9514,1814,1814,1814,1814,1814,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldB17,19207,19207,19207,19207,19704,19704,19704,19704,19704,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,0,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldA17,19207,19207,19207,19207,19704,19704,19704,19704,19704,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,0,0,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldC17,19207,19207,19207,19207,19704,19704,19704,19704,19704,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,0,0,0,NA,NA,NA,NA,NA,NA
ZosTQNolEE17,19207,19207,19207,19207,19704,19704,19704,19704,19704,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,0,0,0,0,NA,NA,NA,NA,NA
ZosTQNoldD17,19207,19207,19207,19207,19704,19704,19704,19704,19704,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,0,0,0,0,0,NA,NA,NA,NA
ZosTQSoldB17,18181,18181,18181,18181,18661,18661,18661,18661,18661,24133,24133,24133,24133,24133,24271,24271,24271,24271,24271,1182,1182,1182,1182,1182,0,NA,NA,NA
ZosTQSoldA17,18181,18181,18181,18181,18661,18661,18661,18661,18661,24133,24133,24133,24133,24133,24271,24271,24271,24271,24271,1182,1182,1182,1182,1182,0,0,NA,NA
ZosTQSoldC17,18181,18181,18181,18181,18661,18661,18661,18661,18661,24133,24133,24133,24133,24133,24271,24271,24271,24271,24271,1182,1182,1182,1182,1182,0,0,0,NA
ZosTQSoldD17,18181,18181,18181,18181,18661,18661,18661,18661,18661,24133,24133,24133,24133,24133,24271,24271,24271,24271,24271,1182,1182,1182,1182,1182,0,0,0,0
