"year","level","key","value"
2015,"alpha","observed",0.138471907358618
2015,"beta_sample","observed",0.149684455609338
2015,"beta_site","observed",0.126263709331536
2015,"beta_region","observed",0.585579927700508
2016,"alpha","observed",0.105113553963512
2016,"beta_sample","observed",0.173511809805571
2016,"beta_site","observed",0.117551797816902
2016,"beta_region","observed",0.603822838414015
2017,"alpha","observed",0.205678584683905
2017,"beta_sample","observed",0.105097117406903
2017,"beta_site","observed",0.120190523320549
2017,"beta_region","observed",0.569033774588643
2018,"alpha","observed",0.11168705924899
2018,"beta_sample","observed",0.146434814055813
2018,"beta_site","observed",0.146359472002893
2018,"beta_region","observed",0.595518654692303
2015,"alpha","null",0.169014613075179
2015,"beta_sample","null",0.222309447950493
2015,"beta_site","null",0.157327982354022
2015,"beta_region","null",0.451347956620305
2016,"alpha","null",0.142254498167861
2016,"beta_sample","null",0.300045440921967
2016,"beta_site","null",0.149395007299552
2016,"beta_region","null",0.40830505361062
2017,"alpha","null",0.295694667821353
2017,"beta_sample","null",0.133282815786218
2017,"beta_site","null",0.145638995422492
2017,"beta_region","null",0.425383520969937
2018,"alpha","null",0.169502290398409
2018,"beta_sample","null",0.25009417756615
2018,"beta_site","null",0.176859441866072
2018,"beta_region","null",0.403544090169369
