"year","level","key","value"
2015,"alpha","observed",0.139721880616782
2015,"beta_sample","observed",0.139721880616782
2015,"beta_site","observed",0.115883076340933
2015,"beta_region","observed",0.604673162425504
2016,"alpha","observed",0.103940217391304
2016,"beta_sample","observed",0.157744565217391
2016,"beta_site","observed",0.116847826086956
2016,"beta_region","observed",0.621467391304348
2017,"alpha","observed",0.247967479674797
2017,"beta_sample","observed",0.0172764227642277
2017,"beta_site","observed",0.106707317073171
2017,"beta_region","observed",0.628048780487805
2018,"alpha","observed",0.150745257452575
2018,"beta_sample","observed",0.174203929539295
2018,"beta_site","observed",0.168191056910569
2018,"beta_region","observed",0.506859756097561
2015,"alpha","null",0.174094314634377
2015,"beta_sample","null",0.254203575820641
2015,"beta_site","null",0.169124018541292
2015,"beta_region","null",0.402578091003689
2016,"alpha","null",0.156850566123188
2016,"beta_sample","null",0.325707427536232
2016,"beta_site","null",0.140951947463768
2016,"beta_region","null",0.376490058876812
2017,"alpha","null",0.373483739837398
2017,"beta_sample","null",0.0480980691056911
2017,"beta_site","null",0.0957317073170732
2017,"beta_region","null",0.482686483739837
2018,"alpha","null",0.237099000677507
2018,"beta_sample","null",0.281111703929539
2018,"beta_site","null",0.16517039295393
2018,"beta_region","null",0.316618902439024
