chkd_n_1,chkd_n_2,chkd_n_3,chkd_n_4,chkd_n_5,chkd_s_1,chkd_s_2,chkd_s_3,chkd_s_4,chkd_s_5,chkd_s_6,gs_nrt_1,gs_nrt_2,gs_nrt_3,gs_nrt_4,gs_nrt_5,gs_nrt_6,gs_sth_s_1,gs_sth_s_3,gs_sth_s_4,gs_sth_s_5,gs_sth_s_6,gs_sth_w_1,gs_st__2,gs_sth_w_3,gs_sth_w_4,gs_sth_w_5,gs_sth_w_6,mcmllns_n_1,mcmllns_n_2,mcmllns_n_3,mcmllns_n_4,mcmllns_n_5,mcmllns_n_6,mcmllns_s_1,mcmllns_s_2,mcmllns_s_3,mcmllns_s_4,mcmllns_s_5,mcmllns_s_6,trqt_n_2,trqt_n_3,trqt_n_4,trqt_n_5,trqt_n_6,trqt_s_2,trqt_s_4,trqt_s_5,trqt_s_6
0,0.3333333333333333,0.8181818181818182,0.3333333333333333,0.23809523809523808,0.29411764705882354,0.4,0.8181818181818182,0.25,0.42857142857142855,0.6666666666666666,0.6470588235294118,0.7391304347826086,0.4,0.6666666666666666,0.42857142857142855,0.5,0.4666666666666667,0.42857142857142855,0.3103448275862069,0.25,0.5555555555555556,0.42857142857142855,0.36,0.3333333333333333,0.5,0.6,0.6470588235294118,0.6363636363636364,0.4,0.5,0.4444444444444444,0.75,0.52,0.8181818181818182,0.6923076923076923,0.8333333333333334,0.8181818181818182,0.8333333333333334,0.8181818181818182,0.8461538461538461,0.5555555555555556,0.6842105263157895,0.75,0.75,0.8,0.5,0.8461538461538461,0.7391304347826086
0.3333333333333333,0,0.7777777777777778,0.125,0.47368421052631576,0.4666666666666667,0.4444444444444444,0.7777777777777778,0.42857142857142855,0.5,0.6,0.6,0.8095238095238095,0.5555555555555556,0.6363636363636364,0.5789473684210527,0.7272727272727273,0.5384615384615384,0.3333333333333333,0.5555555555555556,0.5714285714285714,0.75,0.6842105263157895,0.5652173913043478,0.47368421052631576,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.7,0.6666666666666666,0.5714285714285714,0.625,0.7142857142857143,0.7391304347826086,1,0.8181818181818182,1,1,1,1,1,0.6,0.7647058823529411,0.8571428571428571,0.8181818181818182,0.8888888888888888,0.5714285714285714,1,0.8095238095238095
0.8181818181818182,0.7777777777777778,0,0.7777777777777778,0.8333333333333334,0.75,0.8181818181818182,0,0.7142857142857143,0.6,0.3333333333333333,0.75,0.8571428571428571,0.8181818181818182,0.8666666666666667,0.8333333333333334,0.8666666666666667,0.6666666666666666,0.6,0.9,0.7142857142857143,0.7777777777777778,0.8333333333333334,0.875,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.75,0.8461538461538461,0.8181818181818182,0.7142857142857143,0.7777777777777778,1,0.875,1,0.5,1,1,1,1,1,0.8888888888888888,0.8,0.7142857142857143,0.8666666666666667,1,0.7142857142857143,1,0.8571428571428571
0.3333333333333333,0.125,0.7777777777777778,0,0.3684210526315789,0.4666666666666667,0.4444444444444444,0.7777777777777778,0.42857142857142855,0.5,0.6,0.6,0.8095238095238095,0.5555555555555556,0.6363636363636364,0.5789473684210527,0.7272727272727273,0.5384615384615384,0.3333333333333333,0.5555555555555556,0.5714285714285714,0.75,0.6842105263157895,0.5652173913043478,0.47368421052631576,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.7,0.6666666666666666,0.5714285714285714,0.625,0.8571428571428571,0.7391304347826086,1,0.8181818181818182,1,1,1,1,1,0.6,0.7647058823529411,0.8571428571428571,0.8181818181818182,0.8888888888888888,0.5714285714285714,1,0.8095238095238095
0.23809523809523808,0.47368421052631576,0.8333333333333334,0.3684210526315789,0,0.3333333333333333,0.42857142857142855,0.8333333333333334,0.29411764705882354,0.4666666666666667,0.6923076923076923,0.6666666666666666,0.8333333333333334,0.42857142857142855,0.68,0.45454545454545453,0.6,0.5,0.6,0.4666666666666667,0.29411764705882354,0.6842105263157895,0.5454545454545454,0.46153846153846156,0.36363636363636365,0.5238095238095238,0.7142857142857143,0.7777777777777778,0.7391304347826086,0.5238095238095238,0.6470588235294118,0.47368421052631576,0.8823529411764706,0.6153846153846154,1,0.8571428571428571,1,1,1,1,1,0.6428571428571429,0.8,0.8823529411764706,0.84,0.9047619047619048,0.6470588235294118,1,0.8333333333333334
0.29411764705882354,0.4666666666666667,0.75,0.4666666666666667,0.3333333333333333,0,0.5294117647058824,0.75,0.23076923076923078,0.2727272727272727,0.5555555555555556,0.5714285714285714,0.8,0.29411764705882354,0.7142857142857143,0.3333333333333333,0.5238095238095238,0.3333333333333333,0.6363636363636364,0.46153846153846156,0.23076923076923078,0.7333333333333333,0.4444444444444444,0.45454545454545453,0.2222222222222222,0.4117647058823529,0.6470588235294118,0.7142857142857143,0.6842105263157895,0.29411764705882354,0.5384615384615384,0.3333333333333333,0.8461538461538461,0.45454545454545453,1,0.8,1,1,1,1,1,0.6666666666666666,0.75,0.8461538461538461,0.8095238095238095,0.8823529411764706,0.5384615384615384,1,0.8
0.4,0.4444444444444444,0.8181818181818182,0.4444444444444444,0.42857142857142855,0.5294117647058824,0,0.8181818181818182,0.5,0.5714285714285714,0.6666666666666666,0.5294117647058824,0.6521739130434783,0.6,0.5833333333333334,0.42857142857142855,0.5833333333333334,0.6,0.5714285714285714,0.5172413793103449,0.5,0.5555555555555556,0.7142857142857143,0.6,0.42857142857142855,0.7,0.6,0.6470588235294118,0.5454545454545454,0.5,0.625,0.6666666666666666,0.625,0.6,1,0.8461538461538461,1,1,1,1,0.8461538461538461,0.5555555555555556,0.6842105263157895,0.75,0.8333333333333334,0.9,0.625,1,0.7391304347826086
0.8181818181818182,0.7777777777777778,0,0.7777777777777778,0.8333333333333334,0.75,0.8181818181818182,0,0.7142857142857143,0.6,0.3333333333333333,0.75,0.8571428571428571,0.8181818181818182,0.8666666666666667,0.8333333333333334,0.8666666666666667,0.6666666666666666,0.6,0.9,0.7142857142857143,0.7777777777777778,0.8333333333333334,0.875,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.75,0.8461538461538461,0.8181818181818182,0.7142857142857143,0.7777777777777778,1,0.875,1,0.5,1,1,1,1,1,0.8888888888888888,0.8,0.7142857142857143,0.8666666666666667,1,0.7142857142857143,1,0.8571428571428571
0.25,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.29411764705882354,0.23076923076923078,0.5,0.7142857142857143,0,0.2,0.5,0.5384615384615384,0.8947368421052632,0.375,0.8,0.4117647058823529,0.5,0.2727272727272727,0.4,0.52,0.16666666666666666,0.7142857142857143,0.4117647058823529,0.42857142857142855,0.29411764705882354,0.375,0.75,0.6923076923076923,0.7777777777777778,0.375,0.5,0.2857142857142857,1,0.5238095238095238,1,0.7777777777777778,1,1,1,1,1,0.6521739130434783,0.7333333333333333,0.8333333333333334,0.8,1,0.5,1,0.7894736842105263
0.42857142857142855,0.5,0.6,0.5,0.4666666666666667,0.2727272727272727,0.5714285714285714,0.6,0.2,0,0.3333333333333333,0.45454545454545453,0.8823529411764706,0.42857142857142855,0.7777777777777778,0.4666666666666667,0.5555555555555556,0.1111111111111111,0.5,0.6521739130434783,0.2,0.6666666666666666,0.4666666666666667,0.5789473684210527,0.4666666666666667,0.42857142857142855,0.7142857142857143,0.6363636363636364,0.75,0.42857142857142855,0.4,0.3333333333333333,1,0.5789473684210527,1,0.7142857142857143,1,1,1,1,1,0.7142857142857143,0.6923076923076923,0.8,0.7777777777777778,1,0.4,1,0.7647058823529411
0.6666666666666666,0.6,0.3333333333333333,0.6,0.6923076923076923,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0,0.5555555555555556,0.8666666666666667,0.6666666666666666,0.75,0.6923076923076923,0.75,0.42857142857142855,0.3333333333333333,0.8095238095238095,0.5,0.6,0.6923076923076923,0.7647058823529411,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.7142857142857143,0.6666666666666666,0.5,0.6,1,0.7647058823529411,1,0.6,1,1,1,1,1,0.7894736842105263,0.6363636363636364,0.75,0.75,1,0.5,1,0.7333333333333333
0.6470588235294118,0.6,0.75,0.6,0.6666666666666666,0.5714285714285714,0.5294117647058824,0.75,0.5384615384615384,0.45454545454545453,0.5555555555555556,0,0.6,0.5294117647058824,0.6190476190476191,0.3333333333333333,0.6190476190476191,0.5,0.6363636363636364,0.7692307692307693,0.5384615384615384,0.6,0.5555555555555556,0.45454545454545453,0.5555555555555556,0.5294117647058824,0.4117647058823529,0.42857142857142855,0.3684210526315789,0.5294117647058824,0.38461538461538464,0.4666666666666667,0.8461538461538461,0.5454545454545454,1,0.8,1,1,1,1,0.8,0.6666666666666666,0.625,0.6923076923076923,0.5238095238095238,1,0.5384615384615384,1,0.5
0.7391304347826086,0.8095238095238095,0.8571428571428571,0.8095238095238095,0.8333333333333334,0.8,0.6521739130434783,0.8571428571428571,0.8947368421052632,0.8823529411764706,0.8666666666666667,0.6,0,0.6521739130434783,0.4074074074074074,0.5,0.4074074074074074,0.8888888888888888,0.8823529411764706,0.75,0.8947368421052632,0.42857142857142855,0.6666666666666666,0.6428571428571429,0.75,0.8260869565217391,0.21739130434782608,0.4,0.36,0.6521739130434783,0.5789473684210527,0.8095238095238095,0.5789473684210527,0.5,0.8571428571428571,0.625,0.7333333333333333,0.8571428571428571,0.7333333333333333,0.8571428571428571,0.625,0.4666666666666667,0.36363636363636365,0.3684210526315789,0.5555555555555556,0.4782608695652174,0.5789473684210527,0.625,0.3076923076923077
0.4,0.5555555555555556,0.8181818181818182,0.5555555555555556,0.42857142857142855,0.29411764705882354,0.6,0.8181818181818182,0.375,0.42857142857142855,0.6666666666666666,0.5294117647058824,0.6521739130434783,0,0.5833333333333334,0.3333333333333333,0.4166666666666667,0.4666666666666667,0.7142857142857143,0.3793103448275862,0.375,0.7777777777777778,0.23809523809523808,0.36,0.3333333333333333,0.2,0.6,0.6470588235294118,0.6363636363636364,0.4,0.5,0.3333333333333333,0.875,0.52,1,0.8461538461538461,1,1,1,1,1,0.5555555555555556,0.7894736842105263,0.875,0.5833333333333334,0.9,0.625,1,0.7391304347826086
0.6666666666666666,0.6363636363636364,0.8666666666666667,0.6363636363636364,0.68,0.7142857142857143,0.5833333333333334,0.8666666666666667,0.8,0.7777777777777778,0.75,0.6190476190476191,0.4074074074074074,0.5833333333333334,0,0.52,0.5,0.7894736842105263,0.7777777777777778,0.696969696969697,0.8,0.5454545454545454,0.52,0.5862068965517241,0.6,0.6666666666666666,0.4166666666666667,0.42857142857142855,0.38461538461538464,0.5,0.5,0.7272727272727273,0.4,0.4482758620689655,0.8666666666666667,0.6470588235294118,0.75,0.8666666666666667,0.75,0.8666666666666667,0.6470588235294118,0.5483870967741935,0.5652173913043478,0.6,0.5714285714285714,0.75,0.6,0.7647058823529411,0.5555555555555556
0.42857142857142855,0.5789473684210527,0.8333333333333334,0.5789473684210527,0.45454545454545453,0.3333333333333333,0.42857142857142855,0.8333333333333334,0.4117647058823529,0.4666666666666667,0.6923076923076923,0.3333333333333333,0.5,0.3333333333333333,0.52,0,0.44,0.5,0.7333333333333333,0.6,0.4117647058823529,0.6842105263157895,0.36363636363636365,0.38461538461538464,0.36363636363636365,0.42857142857142855,0.42857142857142855,0.5555555555555556,0.391304347826087,0.3333333333333333,0.5294117647058824,0.3684210526315789,0.6470588235294118,0.38461538461538464,1,0.8571428571428571,1,1,1,1,0.8571428571428571,0.6428571428571429,0.7,0.7647058823529411,0.68,0.9047619047619048,0.6470588235294118,1,0.5833333333333334
0.5,0.7272727272727273,0.8666666666666667,0.7272727272727273,0.6,0.5238095238095238,0.5833333333333334,0.8666666666666667,0.5,0.5555555555555556,0.75,0.6190476190476191,0.4074074074074074,0.4166666666666667,0.5,0.44,0,0.5789473684210527,0.7777777777777778,0.5151515151515151,0.5,0.36363636363636365,0.36,0.5172413793103449,0.44,0.4166666666666667,0.4166666666666667,0.42857142857142855,0.6153846153846154,0.25,0.5,0.5454545454545454,0.7,0.3793103448275862,0.8666666666666667,0.6470588235294118,0.75,0.8666666666666667,0.75,0.8666666666666667,0.6470588235294118,0.41935483870967744,0.391304347826087,0.4,0.5714285714285714,0.6666666666666666,0.4,0.6470588235294118,0.48148148148148145
