year,pair,samples,ss,signif,corr
2017,macro-16S,15,0.4706787369996406,0.001,0.727544681102377
2017,macro-18S,5,0.407721141791755,0.08333333333333333,0.7695965554810162
2017,18S-16S,8,0.31351795840738905,5e-4,0.8285421181766265
