year,pair,samples,ss,corr,signif
2015,macro-16S,43,0.943,0.238,0.131
2015,macro-18S,36,0.887,0.337,0.034
2015,18S-16S,39,0.627,0.610,0.000
2016,macro-16S,18,0.815,0.431,0.074
2016,macro-18S,19,0.794,0.453,0.032
2016,18S-16S,29,0.575,0.652,0.000
2017,macro-16S,15,0.471,0.728,0.001
2017,macro-18S,5,0.408,0.770,0.083
2017,18S-16S,8,0.314,0.829,0.001
2018,18S-16S,26,0.978,0.147,0.827
