year,pair,samples,ss,signif,corr
2016,macro-16S,18,0.8428560944277141,0.115,0.3964138059809293
2016,macro-18S,22,0.8701166678543343,0.096,0.36039330202664105
2016,18S-16S,33,0.48428575139075125,1e-4,0.7181324728831365
