date,site,sample ID,macrophyte ID,# of shoots in quadrat,eelgrass foil weight,foil+ wet weight,foil+ dry weight,detritus foil weight,detritus wet weight,detritus foil+ dry weight,,epiphyte species,epiphyte bag wt.,epiphyte wet wt.,epiphyte bag+ dry wt.,,notes
30.06.2016,Goose South West,8,Zostera marina,3,6.96,35.84,10.48,2.88,6.79,3.2,,,,,,,
30.06.2016,Goose South West,4,Zostera marina,9,7,54.94,13.64,2.57,5.79,2.86,,,,,,,
30.06.2016,Goose South West,2,Zostera marina,8,7,60.97,14.19,2.69,7.86,3.09,,,,,,,
30.06.2016,Goose South West,7,Zostera marina,9,6.93,61.2,14.57,2.11,7.6,2.64,,,,,,,
30.06.2016,Goose South West,3,Zostera marina,10,6.99,52.27,12.67,2.23,8.85,2.87,,,,,,,
30.06.2016,Goose South West,9,Zostera marina,5,6.46,61.82,15.24,2.54,9.53,3.37,,,,,,,
02.06.2016,Triquet North,5,Zostera marina,3,6.9,28.43,8.64,0.82,5.33,1.24,,,,,,,
02.06.2016,Triquet North,3,Zostera marina,3,6.95,96.81,8.43,,,,,,,,,,
02.06.2016,Triquet North,4,Zostera marina,4,6.91,52,12.34,2.13,6.13,2.49,,,,,,,
02.06.2016,Triquet North,6,Zostera marina,6,6.84,49.93,11.24,2.07,10.59,2.78,,,,,,,
02.06.2016,Triquet North,1,Zostera marina,5,6.08,35.04,10.44,6.99,,,,,,,,,
02.06.2016,Triquet North,7,Zostera marina,6,6.95,36.89,9.82,1.04,11.88,2.59,,,,,,,
02.06.2016,Triquet North,8,Zostera marina,3,6.9,35.35,9.73,1.46,7.9,1.56,,,,,,,
02.06.2016,Triquet North,1,Zostera marina,3,6.99,25.96,8.2,2.7,25.96,8.2,,,,,,,
02.06.2016,Triquet North,9,Zostera marina,2,6.97,44.8,10.45,,,0.1,,,,,,,
02.06.2016,Triquet North,2,Zostera marina,3,6.92,29.25,8.72,,,0.1,,,,,,,
02.07.2016,Triquet Bay,1,Zostera marina,11,6.92,43.21,10.89,0.81,5.18,1.1,,,,,,,
02.07.2016,Triquet Bay,2,Zostera marina,16,6.94,49.64,11.46,1.02,6.28,1.14,,,,,,,
02.07.2016,Triquet Bay,3,Zostera marina,16,6.9,37.73,10.42,2.23,5.57,5.57,,,,,,,
02.07.2016,Triquet Bay,4,Zostera marina,18,6.88,46.16,10.46,1.07,6.69,1.43,,,,,,,
02.07.2016,Triquet Bay,5,Zostera marina,,6.93,49.16,11.86,,,,,,,,,,
02.07.2016,Triquet Bay,6,Zostera marina,8,6.92,34.48,9.84,0.83,,1.34,,,,,,,
02.07.2016,Triquet Bay,7,Zostera marina,12,6.91,45.77,11.16,0.81,8.26,1.31,,,,,,,
02.07.2016,Triquet Bay,8,Zostera marina,10,6.92,30.17,9.39,,,0.1,,,,,,,
02.07.2016,Triquet Bay,9,Zostera marina,13,6.93,47.26,11.45,0.8,3.16,0.91,,,,,,,
08.07.2016,Pruth Bay,1,Zostera marina,19,6.7,68.95,14.24,1.84,19.82,2.96,,,,,,,
08.07.2016,Pruth Bay,2,Zostera marina,13,6.81,63.81,13.35,1.76,21.25,2.93,,,,,,,
08.07.2016,Pruth Bay,3,Zostera marina,8,6.69,42.59,11.13,0.9,5.6,1.36,,,,,,,
08.07.2016,Pruth Bay,4,Zostera marina,7,6.87,62.15,13.31,1.42,9.34,1.91,,,,,,,
08.07.2016,Pruth Bay,5,Zostera marina,15,6.77,66.06,13.99,1.53,13.85,2.47,,,,,,,
08.07.2016,Pruth Bay,6,Zostera marina,26,6.71,45.56,12.03,1.59,19.78,2.65,,,,,,,
08.07.2016,Pruth Bay,7,Zostera marina,15,6.87,78.28,15.77,0.94,9.26,1.78,,,,,,,
08.07.2016,Pruth Bay,8,Zostera marina,12,6.77,65.39,13.88,2.36,19.98,3.63,,,,,,,
08.07.2016,Pruth Bay,9,Zostera marina,6,6.8,41.96,10.54,0.99,4.16,1.27,,,,,,,
