"","Df","SumOfSqs","R2","F","Pr(>F)"
"region",4,10.7571502186107,0.245518102989107,11.1939150221525,0.001
"year",1,1.23098138253948,0.0280955650626803,5.12384812332885,0.001
"Residual",124,29.7904402630357,0.679928441264762,NA,NA
"Total",129,43.8140816813331,1,NA,NA
