"","Df","SumOfSqs","R2","F","Pr(>F)"
"region",4,10.15890857842,0.209974738708032,10.6633305534211,0.001
"year",1,1.1320595078518,0.0233985666401277,4.75307938650413,0.001
"Residual",152,36.2024345063659,0.748269035732488,NA,NA
"Total",157,48.3815750453003,1,NA,NA
