"","Df","SumOfSqs","R2","F","Pr(>F)"
"region",4,6.70372437577562,0.188229509956548,9.94907413402366,0.001
"year",1,1.2047187046106,0.0338265117557287,7.15174731594122,0.001
"Residual",159,26.783702719211,0.752042141809513,NA,NA
"Total",164,35.6146301253356,1,NA,NA
