"","Df","SumOfSqs","R2","F","Pr(>F)"
"region",4,14.5216491301154,0.225527651101472,17.638336177394,0.001
"year",1,12.2762329756035,0.190655342417042,59.64400386638,0.001
"Residual",176,36.2252173503748,0.562593690735,NA,NA
"Total",181,64.3896615744985,1,NA,NA
