"","Df","SumOfSqs","R2","F","Pr(>F)"
"region",4,12.5766650578923,0.264705107174024,13.4242432938054,0.001
"year",1,1.68743923986926,0.0355160754288309,7.20464281914024,0.001
"Residual",136,31.8533121465146,0.670426887157941,NA,NA
"Total",141,47.5119849109073,1,NA,NA
