Site,Diversity,Diversity_SD,,,,Arich,Arich_SD,Abundance,Abundance_SD
Choked,0.74013631,0.060638906,,,,12.40277778,4.122161303,234.3333333,171.0812318
Goose,0.548186299,0.247673042,,,,10.82407407,5.220227159,88.44444444,109.0127414
Goose East,0.412187,0.271577676,,,,13.63888889,8.20357307,424.5555556,465.8581091
Lower Choked,0.759664708,0.064649087,,,,17.60714286,4.843073109,605.2857143,547.321878
McMullin,0.360043967,0.166018309,,,,9.59375,3.229157066,138.25,89.2680554
NMcMullin,0.320869889,0.113235922,,,,11.63888889,3.974746673,716.3333333,532.4532843
Triquet,0.42830932,0.221652922,,,,9.911111111,3.21459346,125.5555556,150.42283
Triquet_NNC,0.282342656,0.130068973,,,,11.75757576,2.88325013,854.3636364,440.4727625
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,Site,Mesograzer Richness,Richness SD,
,,,,,,Choked Sandspit,12.40277778,4.122161303,
,,,,,,Choked Lower Islands,17.60714286,4.843073109,
,,,,,,Goose West ,10.82407407,5.220227159,
,,,,,,Goose East,13.63888889,8.20357307,
,,,,,,McMullin South,9.59375,3.229157066,
,,,,,,McMullin North,11.63888889,3.974746673,
,,,,,,Triquet Bay ,9.911111111,3.21459346,
,,,,,,Triquet North,11.75757576,2.88325013,
