chkd_n_1,chkd_n_2,chkd_n_3,chkd_n_4,chkd_n_6,chkd_s_1,chkd_s_2,chkd_s_3,chkd_s_4,chkd_s_5,chkd_s_6,prth_b_1,prth_b_2,prth_b_3,prth_b_5,prth_b_6,prth_p_1,prth_p_2,prth_p_3,prth_p_4,prth_p_5,prth_p_6,trqt_n_1,trqt_n_2,trqt_n_3,trqt_n_4,trqt_n_5,trqt_n_6,trqt_s_1,trqt_s_2,trqt_s_3,trqt_s_4,trqt_s_5,trqt_s_6
0,0.8043333333333333,0.8156666666666667,0.718,0.7303333333333333,0.8683333333333333,0.851,0.6736666666666666,0.8996666666666666,0.878,0.798,0.8673333333333333,0.9086666666666666,0.8973333333333333,0.91,0.9496666666666667,0.9133333333333333,0.941,0.9506666666666667,0.8596666666666667,0.7873333333333333,0.926,0.887,0.916,0.815,0.9166666666666666,0.93966666666666665,0.8453333333333334,0.933,0.9263333333333333,0.946,0.8233333333333334,0.9323333333333333,0.929
0.8043333333333333,0,0.5016666666666667,0.49166666666666664,0.5363333333333333,0.769,0.8353333333333334,0.7896666666666666,0.8503333333333334,0.8516666666666667,0.7993333333333333,0.9066666666666666,0.9373333333333334,0.909,0.926,0.9476666666666667,0.8903333333333333,0.92,0.95,0.872,0.828,0.906,0.8446666666666667,0.9003333333333333,0.8583333333333333,0.8266666666666667,0.905,0.8373333333333334,0.922,0.89,0.939,0.876,0.9073333333333333,0.8853333333333333
0.8156666666666667,0.5016666666666667,0,0.671,0.616,0.6956666666666667,0.7786666666666666,0.822,0.7083333333333334,0.7303333333333333,0.7526666666666667,0.8866666666666667,0.917,0.9173333333333333,0.9183333333333333,0.9336666666666666,0.861,0.8673333333333333,0.9316666666666666,0.8106666666666666,0.8183333333333334,0.8466666666666667,0.905,0.8046666666666666,0.812,0.7863333333333333,0.747,0.7973333333333333,0.906,0.8813333333333333,0.9113333333333333,0.7903333333333333,0.8873333333333333,0.8466666666666667
0.718,0.49166666666666664,0.671,0,0.509,0.8873333333333333,0.8823333333333333,0.7,0.928,0.91,0.816,0.896,0.9143333333333333,0.8836666666666667,0.922,0.9593333333333334,0.9366666666666666,0.9673333333333334,0.973,0.834,0.809,0.9506666666666667,0.7566666666666667,0.9463333333333334,0.6696666666666666,0.8233333333333334,0.9676666666666667,0.8,0.947,0.9293333333333333,0.97,0.7986666666666666,0.9456666666666667,0.9333333333333333
0.7303333333333333,0.5363333333333333,0.616,0.509,0,0.788,0.812,0.6713333333333333,0.8403333333333334,0.82,0.7736666666666666,0.9096666666666666,0.9516666666666667,0.9363333333333334,0.9393333333333334,0.9656666666666667,0.8883333333333333,0.9266666666666666,0.9503333333333334,0.8886666666666667,0.8713333333333333,0.9083333333333333,0.7296666666666667,0.8913333333333333,0.7456666666666667,0.779,0.9153333333333333,0.757,0.9243333333333333,0.89,0.9433333333333334,0.8646666666666667,0.9156666666666666,0.8903333333333333
0.8683333333333333,0.769,0.6956666666666667,0.8873333333333333,0.788,0,0.5796666666666667,0.803,0.4716666666666667,0.4056666666666667,0.6696666666666666,0.885,0.954,0.939,0.9596666666666667,0.9473333333333334,0.817,0.8156666666666667,0.913,0.9166666666666666,0.815,0.7416666666666667,0.9113333333333333,0.7506666666666667,0.916,0.7593333333333333,0.7696666666666667,0.869,0.8513333333333334,0.7993333333333333,0.8716666666666667,0.888,0.823,0.7616666666666667
0.851,0.8353333333333334,0.7786666666666666,0.8823333333333333,0.812,0.5796666666666667,0,0.7213333333333334,0.5733333333333334,0.51,0.527,0.8936666666666667,0.9453333333333334,0.9326666666666666,0.9436666666666667,0.9533333333333334,0.8426666666666667,0.8556666666666667,0.9253333333333333,0.9466666666666667,0.885,0.8363333333333334,0.923,0.7906666666666666,0.9426666666666667,0.8526666666666667,0.8693333333333333,0.9086666666666666,0.8633333333333333,0.834,0.8743333333333333,0.8983333333333333,0.8583333333333333,0.8206666666666667
0.6736666666666666,0.7896666666666666,0.822,0.7,0.6713333333333333,0.803,0.7213333333333334,0,0.8136666666666666,0.8063333333333333,0.618,0.7983333333333333,0.8683333333333333,0.867,0.864,0.913,0.8383333333333334,0.8893333333333333,0.9213333333333333,0.816,0.745,0.8586666666666667,0.809,0.875,0.736,0.8283333333333334,0.8883333333333333,0.7176666666666667,0.8863333333333333,0.88,0.8983333333333333,0.7346666666666667,0.891,0.8876666666666667
0.8996666666666666,0.8503333333333334,0.7083333333333334,0.928,0.8403333333333334,0.4716666666666667,0.5733333333333334,0.8136666666666666,0,0.4046666666666667,0.6383333333333333,0.904,0.956,0.95,0.9583333333333334,0.9456666666666667,0.796,0.774,0.9256666666666666,0.925,0.8493333333333334,0.7636666666666667,0.9276666666666666,0.634,0.928,0.8133333333333334,0.742,0.881,0.863,0.8206666666666667,0.86,0.8916666666666667,0.8116666666666666,0.7936666666666666
0.878,0.8516666666666667,0.7303333333333333,0.91,0.82,0.4056666666666667,0.51,0.8063333333333333,0.4046666666666667,0,0.614,0.8816666666666667,0.956,0.9266666666666666,0.9623333333333334,0.9556666666666667,0.8143333333333334,0.81,0.9256666666666666,0.9266666666666666,0.844,0.762,0.9243333333333333,0.655,0.931,0.8286666666666667,0.7703333333333333,0.899,0.8586666666666667,0.809,0.8703333333333333,0.8973333333333333,0.8106666666666666,0.779
