year,site,site_quadrat_id,labels
2016,choked_sandspit,choked_sandspit_1,chkd_s_1
2016,choked_sandspit,choked_sandspit_3,chkd_s_3
2016,choked_sandspit,choked_sandspit_5,chkd_s_5
2016,choked_sandspit,choked_sandspit_6,chkd_s_6
2016,choked_sandspit,choked_sandspit_7,chkd_s_7
2016,goose_south_east,goose_south_east_1,gs_st__1
2016,goose_south_east,goose_south_east_2,gs_sth_s_2
2016,goose_south_east,goose_south_east_3,gs_st__3
2016,goose_south_east,goose_south_east_7,gs_sth_s_7
2016,goose_south_west,goose_south_west_2,gs_sth_w_2
2016,goose_south_west,goose_south_west_4,gs_st__4
2016,goose_south_west,goose_south_west_5,gs_st__5
2016,goose_south_west,goose_south_west_7,gs_sth_w_7
2016,goose_south_west,goose_south_west_9,gs_st__9
2016,pruth_bay,pruth_bay_1,prth_b_1
2016,pruth_bay,pruth_bay_2,prth_b_2
2016,pruth_bay,pruth_bay_3,prth_b_3
2016,pruth_bay,pruth_bay_5,prth_b_5
2016,pruth_bay,pruth_bay_6,prth_b_6
2016,pruth_bay,pruth_bay_7,prth_b_7
2016,pruth_pocket,pruth_pocket_1,prth_p_1
2016,pruth_pocket,pruth_pocket_2,prth_p_2
2016,pruth_pocket,pruth_pocket_3,prth_p_3
2016,pruth_pocket,pruth_pocket_9,prth_p_9
2016,triquet_north,triquet_north_1,trqt_n_1
2016,triquet_north,triquet_north_2,trqt_n_2
2016,triquet_north,triquet_north_4,trqt_n_4
2016,triquet_north,triquet_north_8,trqt_n_8
2016,triquet_north,triquet_north_9,trqt_n_9
2016,triquet_south,triquet_south_1,trqt_s_1
2016,triquet_south,triquet_south_2,trqt_s_2
2016,triquet_south,triquet_south_3,trqt_s_3
2016,triquet_south,triquet_south_4,trqt_s_4
2016,triquet_south,triquet_south_5,trqt_s_5
2016,triquet_south,triquet_south_6,trqt_s_6
2016,triquet_south,triquet_south_8,trqt_s_8
2016,triquet_south,triquet_south_9,trqt_s_9
