year,sample
2014,choked_inner_11
2014,choked_inner_11B
2014,choked_inner_4
2014,choked_inner_4A
2014,choked_inner_6
2014,choked_inner_6A
2014,choked_inner_8
2014,choked_sandspit_1
2014,choked_sandspit_10
2014,choked_sandspit_11
2014,choked_sandspit_13
2014,choked_sandspit_5
2014,choked_sandspit_6A
2014,choked_sandspit_6B
2014,choked_sandspit_7A
2014,choked_sandspit_7B
2014,choked_sandspit_8A
2014,choked_sandspit_8B
2014,choked_sandspit_9
2014,goose_south_east_1
2014,goose_south_east_10
2014,goose_south_east_11
2014,goose_south_east_12
2014,goose_south_east_4
2014,goose_south_east_6
2014,goose_south_east_7
2014,goose_south_east_8
2014,goose_south_east_9
2014,goose_south_west_10
2014,goose_south_west_11
2014,goose_south_west_13
2014,goose_south_west_2
2014,goose_south_west_3
2014,goose_south_west_4
2014,goose_south_west_5
2014,goose_south_west_6
2014,goose_south_west_7
2014,mcmullins_north_10
2014,mcmullins_north_11
2014,mcmullins_north_12
2014,mcmullins_north_3
2014,mcmullins_north_4
2014,mcmullins_north_6
2014,mcmullins_north_7
2014,mcmullins_north_8
2014,mcmullins_north_9
2014,mcmullins_south_12
2014,mcmullins_south_2
2014,mcmullins_south_3
2014,mcmullins_south_4
2014,mcmullins_south_5
2014,mcmullins_south_6
2014,mcmullins_south_7
2014,mcmullins_south_8
2014,triquet_north_1
2014,triquet_north_12
2014,triquet_north_2
2014,triquet_north_3
2014,triquet_north_4
2014,triquet_north_5
2014,triquet_north_7
2014,triquet_north_8
2014,triquet_north_9
2014,triquet_south_10
2014,triquet_south_11
2014,triquet_south_12
2014,triquet_south_13
2014,triquet_south_2
2014,triquet_south_4
2014,triquet_south_5
2014,triquet_south_6A
2014,triquet_south_6B
2014,triquet_south_7
2014,triquet_south_9
