chkd__NA,chkd__NA.1,chkd_n_3,chkd__NA.2,chkd_s_6,chkd_s_5,gs_sth_s_5,gs_sth_s_2,gs_sth_s_1,gs_sth_s_4,gs_sth_s_6,gs_sth_s_3,gs_sth_w_4,gs_sth_w_3,gs_sth_w_6,gs_sth_w_2,gs_sth_w_5,gs_sth_w_1,mcmllns_n_4,mcmllns_n_5,mcmllns_n_1,mcmllns_n_2,mcmllns_n_3,mcmllns_n_6,mcmllns_s_2,mcmllns_s_5,mcmllns_s_6,mcmllns_s_3,mcmllns_s_1,mcmllns_s_4,trqt_n_5,trqt_n_1,trqt_n_4,trqt_n_2,trqt_n_6,trqt_n_3,trqt_s_5,trqt_s_6,trqt_s_4,trqt_s_3
0,1,1,1,0.25,1,1,1,1,0.875,1,1,1,1,0.9259259259259259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0.8,0.8,0.75,0.8666666666666667,0.6470588235294118,0.5,0.8181818181818182,0.92,0.76,1,0.8571428571428571,0.8571428571428571,0.8666666666666667,0.8888888888888888,1,1,1,1,1,0.9459459459459459,0.9310344827586207,1,0.9,1,1,0.9333333333333333,0.9047619047619048,0.8947368421052632,0.8461538461538461,1,1,0.8181818181818182,0.8461538461538461,0.7777777777777778,0.8
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9333333333333333,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.25,1,1,0.8,0,1,1,1,1,0.8888888888888888,1,1,1,1,0.9310344827586207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8571428571428571,1,1
1,0.8,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.8,1,1,1,1,0,0.2,0.47368421052631576,0.5238095238095238,0.5,0.6,0.4482758620689655,0.4482758620689655,0.875,0.5555555555555556,0.3333333333333333,0.2631578947368421,0.5454545454545454,0.5789473684210527,0.5555555555555556,0.5,0.6,0.7142857142857143,0.7073170731707317,0.696969696969697,0.6190476190476191,0.4166666666666667,0.6,0.5294117647058824,0.5294117647058824,0.44,0.4782608695652174,0.4117647058823529,0.7142857142857143,0.7142857142857143,0.46153846153846156,0.6470588235294118,0.8461538461538461,0.8571428571428571
1,0.75,1,1,1,1,0.2,0,0.3333333333333333,0.5294117647058824,0.5,0.45454545454545453,0.6,0.6,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.3333333333333333,0.4444444444444444,0.4666666666666667,0.42857142857142855,0.3333333333333333,0.45454545454545453,0.6,0.7297297297297297,0.6551724137931034,0.5294117647058824,0.4,0.5,0.38461538461538464,0.5333333333333333,0.42857142857142855,0.3684210526315789,0.5384615384615384,0.6,0.6,0.6363636363636364,0.6923076923076923,0.7777777777777778,0.8
1,0.8666666666666667,1,1,1,1,0.47368421052631576,0.3333333333333333,0,0.5,0.4666666666666667,0.4,0.6666666666666666,0.5833333333333334,0.8518518518518519,0.8461538461538461,0.5384615384615384,0.42857142857142855,0.5294117647058824,0.5714285714285714,0.5384615384615384,0.45454545454545453,0.4,0.5555555555555556,0.7222222222222222,0.7142857142857143,0.625,0.47368421052631576,0.6,0.5,0.6551724137931034,0.5,0.4444444444444444,0.5,0.5555555555555556,0.5555555555555556,0.6190476190476191,0.6666666666666666,0.75,0.7777777777777778
0.875,0.6470588235294118,1,1,0.8888888888888888,1,0.5238095238095238,0.5294117647058824,0.5,0,0.4117647058823529,0.5,0.6923076923076923,0.6153846153846154,0.7241379310344828,0.7333333333333333,0.4666666666666667,0.5,0.6842105263157895,0.75,0.7333333333333333,0.6923076923076923,0.6666666666666666,0.6363636363636364,0.7894736842105263,0.8,0.7777777777777778,0.6190476190476191,0.7647058823529411,0.7142857142857143,0.7419354838709677,0.6363636363636364,0.7,0.42857142857142855,0.6363636363636364,0.6363636363636364,0.5652173913043478,0.5714285714285714,0.8,0.6363636363636364
