chkd_n_4,chkd_n_3,chkd_n_2,chkd_n_1,chkd_s_4,chkd_s_2,chkd_s_6,chkd_s_1,chkd_s_3,prth_b_5,prth_b_7,prth_b_4,prth_b_3,prth_b_6,prth_p_1,prth_p_4,prth_p_5,prth_p_3,prth_p_2,trqt_n_3,trqt_n_5,trqt_n_4,trqt_n_2,trqt_n_1,trqt_s_4,trqt_s_3,trqt_s_1,trqt_s_2
0,0.6293333333333333,0.20166666666666666,0.392,0.8576666666666667,0.7993333333333333,0.8406666666666667,0.8526666666666667,0.848,0.8076666666666666,0.7353333333333333,0.7733333333333333,0.6786666666666666,0.7053333333333334,0.699,0.668,0.7533333333333333,0.7676666666666667,0.7363333333333333,0.838,0.745,0.777,0.8313333333333334,0.7666666666666667,0.8333333333333334,0.7866666666666666,0.8173333333333334,0.797
0.6293333333333333,0,0.6633333333333333,0.6163333333333333,0.8613333333333333,0.843,0.874,0.8713333333333333,0.8873333333333333,0.7653333333333333,0.7466666666666667,0.7523333333333333,0.6516666666666666,0.68,0.7053333333333334,0.7253333333333334,0.767,0.7163333333333334,0.7556666666666667,0.8496666666666667,0.751,0.7646666666666667,0.825,0.7346666666666667,0.804,0.7546666666666667,0.7526666666666667,0.7736666666666666
0.20166666666666666,0.6633333333333333,0,0.40066666666666667,0.8646666666666667,0.834,0.854,0.8643333333333333,0.8596666666666667,0.8243333333333334,0.736,0.7826666666666666,0.7026666666666667,0.7683333333333333,0.7353333333333333,0.664,0.7636666666666667,0.7913333333333333,0.7523333333333333,0.877,0.8186666666666667,0.8486666666666667,0.868,0.7943333333333333,0.855,0.833,0.868,0.7986666666666666
0.392,0.6163333333333333,0.40066666666666667,0,0.854,0.799,0.8676666666666667,0.8443333333333334,0.8453333333333334,0.7873333333333333,0.7436666666666667,0.741,0.6603333333333333,0.689,0.7103333333333334,0.681,0.7716666666666666,0.7483333333333333,0.7636666666666667,0.8553333333333333,0.7833333333333333,0.807,0.83,0.8036666666666666,0.8583333333333333,0.802,0.866,0.85
0.8576666666666667,0.8613333333333333,0.8646666666666667,0.854,0,0.156,0.144,0.218,0.23433333333333334,0.8656666666666667,0.7056666666666667,0.797,0.8286666666666667,0.8163333333333334,0.78,0.74,0.722,0.7886666666666666,0.6296666666666667,0.666,0.6236666666666667,0.6083333333333333,0.5346666666666666,0.7356666666666667,0.6506666666666666,0.717,0.7096666666666667,0.71
0.7993333333333333,0.843,0.834,0.799,0.156,0,0.20433333333333334,0.24366666666666667,0.24433333333333335,0.8156666666666667,0.7046666666666667,0.801,0.8066666666666666,0.7613333333333333,0.7783333333333333,0.698,0.7323333333333333,0.7816666666666666,0.622,0.6936666666666667,0.645,0.6053333333333333,0.5853333333333334,0.7136666666666667,0.6566666666666666,0.7266666666666667,0.7446666666666667,0.7336666666666667
0.8406666666666667,0.874,0.854,0.8676666666666667,0.144,0.20433333333333334,0,0.301,0.133,0.8576666666666667,0.698,0.7953333333333333,0.8206666666666667,0.8116666666666666,0.781,0.728,0.733,0.7973333333333333,0.6343333333333333,0.726,0.67,0.6473333333333333,0.614,0.7746666666666666,0.68,0.7283333333333334,0.7656666666666667,0.7496666666666667
0.8526666666666667,0.8713333333333333,0.8643333333333333,0.8443333333333334,0.218,0.24366666666666667,0.301,0,0.35933333333333334,0.8446666666666667,0.722,0.824,0.82,0.7913333333333333,0.7873333333333333,0.7223333333333334,0.7366666666666667,0.7943333333333333,0.616,0.6543333333333333,0.637,0.5713333333333334,0.518,0.7213333333333334,0.6486666666666666,0.7433333333333333,0.74,0.7356666666666667
0.848,0.8873333333333333,0.8596666666666667,0.8453333333333334,0.23433333333333334,0.24433333333333335,0.133,0.35933333333333334,0,0.872,0.752,0.8523333333333334,0.8526666666666667,0.83,0.8513333333333334,0.7043333333333334,0.797,0.838,0.6716666666666666,0.825,0.738,0.722,0.7146666666666667,0.81466666666666665,0.7636666666666667,0.797,0.8643333333333333,0.8416666666666667
0.8076666666666666,0.7653333333333333,0.8243333333333334,0.7873333333333333,0.8656666666666667,0.8156666666666667,0.8576666666666667,0.8446666666666667,0.872,0,0.42633333333333334,0.32233333333333336,0.29433333333333334,0.38333333333333336,0.5346666666666666,0.56466666666666665,0.44733333333333336,0.45566666666666666,0.478,0.7556666666666667,0.6743333333333333,0.728,0.7386666666666667,0.6546666666666666,0.7263333333333334,0.65,0.719,0.623
0.7353333333333333,0.7466666666666667,0.736,0.7436666666666667,0.7056666666666667,0.7046666666666667,0.698,0.722,0.752,0.42633333333333334,0,0.34933333333333333,0.38366666666666666,0.36733333333333335,0.5083333333333333,0.49033333333333334,0.43033333333333335,0.43233333333333335,0.383,0.609,0.48633333333333334,0.5486666666666666,0.5486666666666666,0.572,0.5693333333333334,0.532,0.6116666666666667,0.532
0.7733333333333333,0.7523333333333333,0.7826666666666666,0.741,0.797,0.801,0.7953333333333333,0.824,0.8523333333333334,0.32233333333333336,0.34933333333333333,0,0.30233333333333334,0.37066666666666664,0.44166666666666665,0.523,0.3953333333333333,0.391,0.43633333333333335,0.7,0.5993333333333334,0.6986666666666667,0.6936666666666667,0.6783333333333333,0.6523333333333333,0.587,0.6453333333333333,0.5473333333333333
0.6786666666666666,0.6516666666666666,0.7026666666666667,0.6603333333333333,0.8286666666666667,0.8066666666666666,0.8206666666666667,0.82,0.8526666666666667,0.29433333333333334,0.38366666666666666,0.30233333333333334,0,0.31066666666666665,0.47,0.5083333333333333,0.4766666666666667,0.464,0.487,0.724,0.618,0.6576666666666666,0.701,0.6293333333333333,0.6986666666666667,0.624,0.6956666666666667,0.596
0.7053333333333334,0.68,0.7683333333333333,0.689,0.8163333333333334,0.7613333333333333,0.8116666666666666,0.7913333333333333,0.83,0.38333333333333336,0.36733333333333335,0.37066666666666664,0.31066666666666665,0,0.55,0.6193333333333333,0.5836666666666667,0.525,0.5693333333333334,0.7493333333333333,0.628,0.6856666666666666,0.716,0.6623333333333333,0.7056666666666667,0.644,0.6886666666666666,0.6683333333333333
0.699,0.7053333333333334,0.7353333333333333,0.7103333333333334,0.78,0.7783333333333333,0.781,0.7873333333333333,0.8513333333333334,0.5346666666666666,0.5083333333333333,0.44166666666666665,0.47,0.55,0,0.3616666666666667,0.35933333333333334,0.32,0.3983333333333333,0.7203333333333334,0.6286666666666667,0.681,0.6876666666666666,0.6676666666666666,0.683,0.634,0.6973333333333334,0.5983333333333334
0.668,0.7253333333333334,0.664,0.681,0.74,0.698,0.728,0.7223333333333334,0.7043333333333334,0.56466666666666665,0.49033333333333334,0.523,0.5083333333333333,0.6193333333333333,0.3616666666666667,0,0.38433333333333336,0.42933333333333334,0.27466666666666667,0.7553333333333333,0.6613333333333333,0.6343333333333333,0.6546666666666666,0.67,0.7016666666666667,0.6833333333333333,0.7796666666666666,0.658
0.7533333333333333,0.767,0.7636666666666667,0.7716666666666666,0.722,0.7323333333333333,0.733,0.7366666666666667,0.797,0.44733333333333336,0.43033333333333335,0.3953333333333333,0.4766666666666667,0.5836666666666667,0.35933333333333334,0.38433333333333336,0,0.3396666666666667,0.3303333333333333,0.5716666666666667,0.49033333333333334,0.5743333333333334,0.5533333333333333,0.5513333333333333,0.5456666666666666,0.48633333333333334,0.5303333333333333,0.44633333333333336
0.7676666666666667,0.7163333333333334,0.7913333333333333,0.7483333333333333,0.7886666666666666,0.7816666666666666,0.7973333333333333,0.7943333333333333,0.838,0.45566666666666666,0.43233333333333335,0.391,0.464,0.525,0.32,0.42933333333333334,0.3396666666666667,0,0.31366666666666665,0.6236666666666667,0.5653333333333334,0.579,0.628,0.5303333333333333,0.6256666666666667,0.5346666666666666,0.6053333333333333,0.5216666666666666
