year,sample
2017,choked_inner_2
2017,choked_inner_3
2017,choked_inner_5
2017,choked_inner_7
2017,choked_inner_8
2017,choked_inner_9
2017,choked_sandspit_1
2017,choked_sandspit_2
2017,choked_sandspit_5
2017,choked_sandspit_6
2017,choked_sandspit_8
2017,choked_sandspit_9
2017,pruth_pocket_2
2017,pruth_pocket_3
2017,pruth_pocket_4
2017,triquet_north_1
2017,triquet_north_2
2017,triquet_north_4
2017,triquet_north_5
2017,triquet_north_6
2017,triquet_north_8
2017,triquet_south_2
2017,triquet_south_3
2017,triquet_south_4
2017,triquet_south_5
2017,triquet_south_8
2017,triquet_south_9
