chkd__NA,chkd_n_1,chkd_n_2,chkd__NA.1,chkd__NA.2,chkd__NA.3,chkd__NA.4,chkd_s_1,chkd_s_2,chkd_s_3,chkd_s_4,chkd_s_5,chkd_s_6,gs_sth_s_1,gs_sth_s_2,gs_sth_s_3,gs_sth_s_4,gs_sth_s_5,gs_sth_s_6,gs_sth_w_1,gs_sth_w_2,gs_sth_w_3,gs_sth_w_4,gs_sth_w_5,gs_sth_w_6,mcmllns_n_1,mcmllns_n_2,mcmllns_n_3,mcmllns_n_4,mcmllns_n_5,mcmllns_n_6,mcmllns_s_1,mcmllns_s_2,mcmllns_s_3,mcmllns_s_4,mcmllns_s_5,mcmllns_s_6,trqt_n_1,trqt_n_2,trqt_n_3,trqt_n_4,trqt_n_5,trqt_n_6,trqt_s_1,trqt_s_2,trqt_s_3,trqt_s_4,trqt_s_5,trqt_s_6
0,0.566,0.5973333333333334,0.6933333333333334,0.766,0.8003333333333333,0.7886666666666666,0.8606666666666667,0.7166666666666667,0.959,0.7096666666666667,0.869,0.6673333333333333,0.8503333333333334,0.851,0.808,0.8433333333333334,0.936,0.961,0.8896666666666667,0.9253333333333333,0.7976666666666666,0.9273333333333333,0.9153333333333333,0.8163333333333334,0.8626666666666667,0.827,0.8456666666666667,0.8453333333333334,0.8183333333333334,0.8043333333333333,0.8336666666666667,0.8043333333333333,0.8396666666666667,0.8053333333333333,0.791,0.8263333333333334,0.7906666666666666,0.894,0.7976666666666666,0.824,0.8936666666666667,0.8093333333333333,0.9763333333333334,0.7693333333333333,0.863,0.8613333333333333,0.8893333333333333,0.862
0.566,0,0.5936666666666667,0.5716666666666667,0.622,0.6443333333333333,0.6706666666666666,0.8356666666666667,0.7306666666666667,0.9536666666666667,0.7496666666666667,0.809,0.6706666666666666,0.8486666666666667,0.847,0.8276666666666667,0.8243333333333334,0.9303333333333333,0.941,0.865,0.9166666666666666,0.765,0.9093333333333333,0.9033333333333333,0.784,0.8766666666666667,0.8473333333333334,0.851,0.8523333333333334,0.8466666666666667,0.825,0.8443333333333334,0.836,0.8486666666666667,0.8213333333333334,0.801,0.8466666666666667,0.7696666666666667,0.8863333333333333,0.7456666666666667,0.8143333333333334,0.896,0.754,0.958,0.7403333333333333,0.8756666666666667,0.8713333333333333,0.8716666666666667,0.863
0.5973333333333334,0.5936666666666667,0,0.7443333333333333,0.8296666666666667,0.8446666666666667,0.8203333333333334,0.8723333333333333,0.7493333333333333,0.9466666666666667,0.7593333333333333,0.8786666666666667,0.7776666666666666,0.844,0.7993333333333333,0.814,0.8166666666666667,0.8973333333333333,0.921,0.8553333333333333,0.9093333333333333,0.8136666666666666,0.8753333333333333,0.8776666666666667,0.855,0.8736666666666667,0.8243333333333334,0.834,0.829,0.8456666666666667,0.831,0.83,0.8303333333333334,0.8193333333333334,0.8,0.776,0.8166666666666667,0.7273333333333334,0.869,0.729,0.7646666666666667,0.818,0.7156666666666667,0.9593333333333334,0.847,0.869,0.8776666666666667,0.8503333333333334,0.8703333333333333
0.6933333333333334,0.5716666666666667,0.7443333333333333,0,0.511,0.424,0.5253333333333333,0.8256666666666667,0.7986666666666666,0.9386666666666666,0.81033333333333335,0.768,0.693,0.8813333333333333,0.8566666666666667,0.8493333333333334,0.875,0.9073333333333333,0.9283333333333333,0.8813333333333333,0.911,0.7296666666666667,0.9106666666666666,0.9056666666666666,0.7443333333333333,0.912,0.8923333333333333,0.8943333333333333,0.8843333333333333,0.9,0.89,0.877,0.865,0.8756666666666667,0.8583333333333333,0.8546666666666667,0.8586666666666667,0.815,0.9113333333333333,0.822,0.8366666666666667,0.8883333333333333,0.8213333333333334,0.9463333333333334,0.7716666666666666,0.9266666666666666,0.896,0.8926666666666667,0.8986666666666666
0.766,0.622,0.8296666666666667,0.511,0,0.4513333333333333,0.32133333333333336,0.7643333333333333,0.81466666666666665,0.9553333333333334,0.8613333333333333,0.7346666666666667,0.754,0.9156666666666666,0.909,0.905,0.9176666666666666,0.9476666666666667,0.9693333333333334,0.9343333333333333,0.9546666666666667,0.8316666666666667,0.9456666666666667,0.936,0.823,0.919,0.918,0.915,0.909,0.9126666666666666,0.9103333333333333,0.9156666666666666,0.8856666666666667,0.9033333333333333,0.9076666666666666,0.8963333333333333,0.9006666666666666,0.886,0.9206666666666666,0.906,0.878,0.9283333333333333,0.884,0.941,0.8466666666666667,0.931,0.9166666666666666,0.928,0.92
0.8003333333333333,0.6443333333333333,0.8446666666666667,0.424,0.4513333333333333,0,0.47433333333333333,0.8446666666666667,0.875,0.9453333333333334,0.9026666666666666,0.6346666666666667,0.7873333333333333,0.9206666666666666,0.9223333333333333,0.915,0.9223333333333333,0.95,0.9673333333333334,0.9223333333333333,0.949,0.8266666666666667,0.9433333333333334,0.9426666666666667,0.8176666666666667,0.9446666666666667,0.9336666666666666,0.932,0.935,0.9333333333333333,0.9253333333333333,0.9306666666666666,0.911,0.9266666666666666,0.9223333333333333,0.9063333333333333,0.9193333333333333,0.8546666666666667,0.9383333333333334,0.8526666666666667,0.8876666666666667,0.9356666666666666,0.8456666666666667,0.96,0.8456666666666667,0.9556666666666667,0.927,0.9346666666666666,0.937
0.7886666666666666,0.6706666666666666,0.8203333333333334,0.5253333333333333,0.32133333333333336,0.47433333333333333,0,0.7526666666666667,0.8196666666666667,0.944,0.8626666666666667,0.678,0.7426666666666667,0.9156666666666666,0.9133333333333333,0.901,0.9083333333333333,0.9453333333333334,0.9536666666666667,0.9056666666666666,0.9296666666666666,0.8346666666666667,0.921,0.9266666666666666,0.8363333333333334,0.9266666666666666,0.9186666666666666,0.9176666666666666,0.909,0.9326666666666666,0.919,0.9126666666666666,0.886,0.904,0.902,0.891,0.9073333333333333,0.8486666666666667,0.9083333333333333,0.8713333333333333,0.878,0.9136666666666666,0.842,0.907,0.8413333333333334,0.928,0.9046666666666666,0.91,0.9206666666666666
0.8606666666666667,0.8356666666666667,0.8723333333333333,0.8256666666666667,0.7643333333333333,0.8446666666666667,0.7526666666666667,0,0.8283333333333334,0.6936666666666667,0.8363333333333334,0.629,0.747,0.947,0.9303333333333333,0.9356666666666666,0.9373333333333334,0.967,0.961,0.9186666666666666,0.9476666666666667,0.8683333333333333,0.9516666666666667,0.936,0.8026666666666666,0.9413333333333334,0.9283333333333333,0.9296666666666666,0.932,0.9293333333333333,0.929,0.913,0.895,0.9223333333333333,0.917,0.911,0.9076666666666666,0.9266666666666666,0.9393333333333334,0.9303333333333333,0.921,0.948,0.921,0.9643333333333334,0.8836666666666667,0.919,0.933,0.9276666666666666,0.9226666666666666
0.7166666666666667,0.7306666666666667,0.7493333333333333,0.7986666666666666,0.81466666666666665,0.875,0.8196666666666667,0.8283333333333334,0,0.9533333333333334,0.41333333333333333,0.8766666666666667,0.5556666666666666,0.7023333333333334,0.7596666666666667,0.6846666666666666,0.8023333333333333,0.867,0.9013333333333333,0.8256666666666667,0.852,0.826,0.858,0.827,0.8446666666666667,0.7566666666666667,0.7086666666666667,0.729,0.7246666666666667,0.6966666666666667,0.711,0.7176666666666667,0.7206666666666667,0.7573333333333333,0.6903333333333334,0.6746666666666666,0.7533333333333333,0.7246666666666667,0.818,0.758,0.7573333333333333,0.8636666666666667,0.7,0.9593333333333334,0.7726666666666666,0.777,0.7703333333333333,0.8223333333333334,0.773
0.959,0.9536666666666667,0.9466666666666667,0.9386666666666666,0.9553333333333334,0.9453333333333334,0.944,0.6936666666666667,0.9533333333333334,0,0.9476666666666667,0.9446666666666667,0.9096666666666666,0.99,0.9816666666666667,0.99,0.9586666666666667,0.9936666666666667,0.9816666666666667,0.9496666666666667,0.986,0.9446666666666667,0.9743333333333334,0.9673333333333334,0.9363333333333334,0.9683333333333334,0.969,0.9696666666666667,0.97,0.976,0.9743333333333334,0.964,0.9673333333333334,0.9736666666666667,0.9756666666666667,0.957,0.9723333333333334,0.983,0.9766666666666667,0.9553333333333334,0.978,0.9806666666666667,0.9816666666666667,0.944,0.958,0.9763333333333334,0.9806666666666667,0.9653333333333334,0.9813333333333333
