chkd_n_4,chkd_n_7,chkd_s_9,chkd_s_6,chkd_s_1,chkd_s_3,chkd_s_2,chkd_s_7,gs_sth_s_1,gs_sth_s_5,gs_sth_s_9,gs_sth_s_2,gs_sth_s_4,gs_sth_s_7,gs_sth_s_3,gs_st__8,gs_sth_w_9,gs_sth_w_7,gs_sth_w_5,gs_sth_w_1,gs_sth_w_2,gs_st__6,gs_sth_w_4,gs_sth_w_3,prth_b_1,prth_b_7,prth_b_8,prth_b_4,prth_b_5,prth_b_2,prth_b_6,prth_b_3,prth_p_9,prth_p_5,prth_p_7,prth_p_3,trqt_n_9,trqt_n_4,trqt_n_5,trqt_n_8,trqt_n_2,trqt_n_1,trqt_n_6,trqt_n_3,trqt_s_5,trqt_s_6,trqt_s_9,trqt_s_2,trqt_s_3,trqt_s_4,trqt_s_1,trqt_s_8
0,0.3333333333333333,0.875,0.8,0.7333333333333333,0.8,0.8,0.3333333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3333333333333333,0,0.8666666666666667,0.7777777777777778,0.8571428571428571,0.7777777777777778,0.7777777777777778,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9130434782608695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.875,0.8666666666666667,0,0.36363636363636365,0.8518518518518519,0.5454545454545454,0.45454545454545453,0.8666666666666667,1,1,1,1,0.9285714285714286,0.8947368421052632,1,1,0.9411764705882353,0.9259259259259259,0.8709677419354839,0.8235294117647058,1,0.9259259259259259,0.8064516129032258,0.8064516129032258,1,1,1,1,1,1,0.8947368421052632,0.9047619047619048,1,1,1,1,0.9444444444444444,0.8888888888888888,1,1,1,0.9310344827586207,1,1,1,1,1,1,1,1,1,1
0.8,0.7777777777777778,0.36363636363636365,0,0.8095238095238095,0.5,0.5,0.7777777777777778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9333333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7333333333333333,0.8571428571428571,0.8518518518518519,0.8095238095238095,0,0.8095238095238095,0.8095238095238095,0.8571428571428571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9487179487179487,1,0.6923076923076923,1,0.6,1,1,1,1,0.9428571428571428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.8,0.7777777777777778,0.5454545454545454,0.5,0.8095238095238095,0,0.5,0.7777777777777778,1,1,1,1,0.9090909090909091,0.8461538461538461,1,1,0.9285714285714286,0.9047619047619048,0.92,0.9285714285714286,1,0.9047619047619048,0.92,0.92,1,1,1,1,1,1,0.9375,1,1,1,1,1,0.9333333333333333,0.9333333333333333,1,1,1,0.9130434782608695,1,1,1,1,1,1,1,1,1,1
0.8,0.7777777777777778,0.45454545454545453,0.5,0.8095238095238095,0.5,0,0.7777777777777778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8666666666666667,1,1,1,1,0.9333333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3333333333333333,0,0.8666666666666667,0.7777777777777778,0.8571428571428571,0.7777777777777778,0.7777777777777778,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9130434782608695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0.75,0.6923076923076923,0.6842105263157895,0.6521739130434783,0.7142857142857143,0.8,0.8,0.7931034482758621,0.8181818181818182,0.8461538461538461,0.7931034482758621,0.84,0.8181818181818182,0.7692307692307693,0.7692307692307693,0.8974358974358975,1,0.95,0.8857142857142857,0.9024390243902439,0.8181818181818182,0.8787878787878788,0.875,1,0.8823529411764706,0.9285714285714286,0.8888888888888888,0.8709677419354839,0.8064516129032258,0.7857142857142857,0.8181818181818182,0.8095238095238095,0.8333333333333334,0.75,0.6363636363636364,0.8666666666666667,0.8260869565217391,0.76,0.8571428571428571,0.8333333333333334,0.8,0.8,0.6842105263157895
1,1,1,1,1,1,1,1,0.75,0,0.2727272727272727,0.5294117647058824,0.9047619047619048,0.8333333333333334,0.75,0.75,0.48148148148148145,0.4,0.4166666666666667,0.48148148148148145,0.391304347826087,0.3,0.4166666666666667,0.4166666666666667,0.6216216216216216,0.9555555555555556,0.8947368421052632,0.5757575757575758,0.6410256410256411,0.7,0.8709677419354839,0.8571428571428571,1,0.75,0.9230769230769231,0.875,0.5862068965517241,0.5862068965517241,0.46153846153846156,0.3,0.2631578947368421,0.6363636363636364,0.14285714285714285,0.5555555555555556,0.5,0.42857142857142855,0.4782608695652174,0.46153846153846156,0.36363636363636365,0.2222222222222222,0.2222222222222222,0.29411764705882354
